类别,校验项,数值,单位,结论
超参数,最终日边际预测候选的负载指数衰减天数（仅marginal生效）,10.000000,天,通过
超参数,最终日边际预测候选的光伏指数衰减天数（仅marginal生效）,7.000000,天,通过
超参数,最终日选择的日末储电量惩罚系数（硬终端日不计罚）,1.395200,元/kWh,通过
预测,负载 MAE,28.930297,kWh/时段,参考
预测,负载 RMSE,38.880044,kWh/时段,参考
预测,负载 0.8 分位数损失（joint方法不以此为校准目标）,8.673528,kWh/时段,参考
预测,光伏 MAE,33.481716,kWh/时段,参考
预测,光伏 RMSE,65.724344,kWh/时段,参考
预测,光伏 0.2 分位数损失（joint方法不以此为校准目标）,9.518200,kWh/时段,参考
预测,负载使用附件1冷启动先验的正式天数,0,天,参考
预测,光伏使用附件1冷启动先验的正式天数,0,天,参考
约束,最大计划电量平衡残差,0.000000,kWh,通过
约束,最大计划状态转移残差,0.000000,kWh,通过
约束,最大实际电量平衡残差,0.000000,kWh,通过
约束,最大实际状态转移残差,0.000000,kWh,通过
约束,最大跨日储电量连续误差,0.000000,kWh,通过
约束,实际最小储电量,1200.000000,kWh,通过
约束,实际最大储电量,10800.000000,kWh,通过
约束,12 月 31 日 24:00 终端储电量误差,212.852394,kWh,失败：不得提交
数量,计划购电总量,21873914.902384,kWh,参考
数量,紧急购电总量,209639.388521,kWh,参考
数量,紧急购电 10 分钟时段数,7540,个,参考
数量,连续紧急购电区间数,3612,个,参考
数量,弃光总量,2453602.447026,kWh,参考
数量,未利用计划购电总量,494497.605039,kWh,参考
费用,计划购电费,13342410.182271,元,参考
费用,紧急购电费,930568.701378,元,参考
费用,实际总购电费,14272978.883649,元,参考
费用,紧急购电费占比,0.065198,比例,参考
边界,最大实际充电量超过计划量,0.000000,kWh,通过
边界,最大实际放电量超过计划量,0.000000,kWh,通过
超参数,最终日预测方法,marginal,方法,参考
超参数,最终日联合净负荷衰减天数（仅joint生效）,7.000000,天,参考
预测,净负荷 MAE,56.401338,kWh/时段,参考
预测,净负荷 0.8 分位数损失,15.186390,kWh/时段,参考
预测,净负荷实际值不超过预测值的时段比例,0.785325,比例,参考
