日期,阶段,预测历史截止,调参历史截止,负载先验回退,光伏先验回退,负载衰减天数（仅marginal生效）,光伏衰减天数（仅marginal生效）,终端惩罚,求解路径,求解状态,MIP相对间隙,预测秒数,选中方案求解秒数,当日预测与候选计算秒数（不含写盘）,日初储电量,计划日末储电量,实际日末储电量,计划购电费,紧急购电费,实际总购电费,预测方法,联合净负荷衰减天数（仅joint生效）,净负荷MAE,净负荷0.8分位数损失,净负荷覆盖率,紧急购电费占比,紧急购电量,未利用计划购电量,未利用计划购电对应费用（已含在计划费用中）,实际弃光量,计划充电截断量,计划放电截断量,实际减计划日末储电量,截断偏差恒等式残差
2025-01-01,初始化,附件1,预设参数,是,是,14.0,14.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000175,0.004998,0.019642,6000.000000,6000.000000,5918.741550,35127.262348,167332.093560,202459.355908,marginal,14.0,253.718142,202.886108,0.020833,0.826497,34827.203241,21.217300,8.967833,0.000000,8493.996248,6807.004356,-81.258450,6.366462912410498e-12
2025-01-02,初始化,2025-01-01,2025-01-01,否,否,14.0,14.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000153,0.003736,0.015503,5918.741550,6000.000000,5846.422590,61816.996769,9032.004754,70849.001523,marginal,14.0,28.586379,16.064192,0.416667,0.127482,1964.202420,715.397883,399.702265,675.059500,726.928567,450.592470,-153.577410,3.581135388230905e-12
2025-01-03,初始化,2025-01-02,2025-01-02,是,否,14.0,14.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000153,0.003257,0.014739,5846.422590,6000.000000,9423.611130,50342.633564,10.087816,50352.721380,marginal,14.0,217.598469,43.711170,0.986111,0.000200,4.690917,14362.186386,10688.836380,15336.768617,8069.700802,9617.707667,3423.611130,1.8189894035458565e-12
2025-01-04,初始化,2025-01-03,2025-01-03,否,否,14.0,14.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000152,0.003364,0.014835,9423.611130,6000.000000,6104.986913,25395.988798,4918.637522,30314.626321,marginal,14.0,40.534086,14.023877,0.597222,0.162253,1248.666883,834.714983,395.488765,3472.819183,824.398883,762.251317,104.986913,4.547473508864641e-12
2025-01-05,初始化,2025-01-04,2025-01-04,否,否,14.0,14.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000174,0.003275,0.014214,6104.986913,6000.000000,6217.265185,64070.099284,1601.648048,65671.747333,marginal,14.0,34.847673,9.061434,0.756944,0.024389,422.975350,1552.735576,1004.814060,2844.291153,819.141379,859.043183,217.265185,6.821210263296962e-13
2025-01-06,初始化,2025-01-05,2025-01-05,否,否,14.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000191,0.003400,0.014572,6217.265185,6000.000000,6260.372537,64014.103007,1493.742154,65507.845161,marginal,14.0,36.439601,8.895760,0.812500,0.022802,302.112667,1800.790883,1190.925460,2889.309447,772.545329,860.097000,260.372537,-4.547473508864641e-13
2025-01-07,初始化,2025-01-06,2025-01-06,否,否,14.0,21.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000195,0.003504,0.014538,6260.372537,6000.000000,6325.442796,64359.526659,2598.117951,66957.644609,marginal,14.0,32.756093,10.168884,0.791667,0.038802,609.509550,2174.529993,1406.942971,1278.189385,819.527778,956.716017,325.442796,2.0463630789890885e-12
2025-01-08,初始化,2025-01-07,2025-01-07,否,否,14.0,21.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000200,0.003297,0.014303,6325.442796,6000.000000,6358.995981,64373.140155,1140.275450,65513.415605,marginal,14.0,47.705032,11.297557,0.819444,0.017405,333.540467,2119.826072,1400.237867,4134.771428,1146.173683,1251.497067,358.995981,-2.2737367544323206e-12
2025-01-09,初始化,2025-01-08,2025-01-08,否,否,14.0,21.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000215,0.003188,0.013962,6358.995981,6000.000000,6266.393744,64347.656354,696.398787,65044.055142,marginal,14.0,36.801446,8.955480,0.805556,0.010707,246.545317,2234.475499,1422.818203,2485.142029,942.684544,1003.328850,266.393744,-4.547473508864641e-13
2025-01-10,初始化,2025-01-09,2025-01-09,否,否,14.0,21.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000214,0.003240,0.014705,6266.393744,6000.000000,6384.950648,28128.069001,1741.920399,29869.989400,marginal,14.0,34.982857,9.015773,0.805556,0.058317,391.196183,1614.770600,823.389470,2660.518623,853.863457,1038.084983,384.950648,-1.1368683772161603e-12
