日期,时间段,训练样本最晚日期,参数验证最晚日期,负载预测来源,光伏预测来源,电价（元/kWh）,预测负载电量（kWh）,预测光伏电量（kWh）,实际负载电量（kWh）,实际光伏电量（kWh）,计划购电量（kWh）,计划充电量（kWh）,计划放电量（kWh）,实际充电量（kWh）,实际放电量（kWh）,紧急购电量（kWh）,实际弃光量（kWh）,未利用计划购电量（kWh）,时段初储电量（kWh）,时段末储电量（kWh）,时段计划购电费（元）,时段紧急购电费（元）,时段总购电费（元）,预测方法,预测净负荷（kWh）,实际净负荷（kWh）,计划充电截断量（kWh）,计划放电截断量（kWh）
2025-02-01,00:00-00:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.424800,454.325433,0.000000,422.030367,0.000000,1287.658767,833.333333,0.000000,833.333333,0.000000,0.000000,0.000000,32.295067,6666.471759,7416.471759,546.997444,0.000000,546.997444,marginal,454.325433,422.030367,0.000000,0.000000
2025-02-01,00:10-00:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.424500,475.925067,0.000000,415.407317,0.000000,1309.258400,833.333333,0.000000,833.333333,0.000000,0.000000,0.000000,60.517750,7416.471759,8166.471759,555.780191,0.000000,555.780191,marginal,475.925067,415.407317,0.000000,0.000000
2025-02-01,00:20-00:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.426900,478.845000,0.000000,410.716667,0.000000,1312.178333,833.333333,0.000000,833.333333,0.000000,0.000000,0.000000,68.128333,8166.471759,8916.471759,560.168930,0.000000,560.168930,marginal,478.845000,410.716667,0.000000,0.000000
2025-02-01,00:30-00:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.427200,476.986917,0.000000,430.294800,0.000000,903.129406,426.142490,0.000000,426.142490,0.000000,0.000000,0.000000,46.692117,8916.471759,9300.000000,385.816882,0.000000,385.816882,marginal,476.986917,430.294800,0.000000,0.000000
2025-02-01,00:40-00:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.427100,484.268150,0.000000,424.410583,0.000000,1317.601483,833.333333,0.000000,833.333333,0.000000,0.000000,0.000000,59.857567,9300.000000,10050.000000,562.747594,0.000000,562.747594,marginal,484.268150,424.410583,0.000000,0.000000
2025-02-01,00:50-01:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.428500,468.208333,0.000000,406.051667,0.000000,468.208333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,62.156667,10050.000000,10050.000000,200.627271,0.000000,200.627271,marginal,468.208333,406.051667,0.000000,0.000000
2025-02-01,01:00-01:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.431100,490.438967,0.000000,436.750183,0.000000,490.438967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.688783,10050.000000,10050.000000,211.428239,0.000000,211.428239,marginal,490.438967,436.750183,0.000000,0.000000
2025-02-01,01:10-01:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.430200,492.043567,0.000000,451.797683,0.000000,492.043567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.245883,10050.000000,10050.000000,211.677142,0.000000,211.677142,marginal,492.043567,451.797683,0.000000,0.000000
2025-02-01,01:20-01:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.427900,465.505000,0.000000,446.080000,0.000000,465.505000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.425000,10050.000000,10050.000000,199.189590,0.000000,199.189590,marginal,465.505000,446.080000,0.000000,0.000000
2025-02-01,01:30-01:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.431200,494.272400,0.000000,471.766333,0.000000,494.272400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.506067,10050.000000,10050.000000,213.130259,0.000000,213.130259,marginal,494.272400,471.766333,0.000000,0.000000
