日期,时间段,充电量（kWh）,放电量（kWh）,时刻,储电量（kWh）
2025-03-20,0:00-4:00,3833.333333,0.000000,,
2025-03-20,4:00-8:00,833.333333,5862.622783,,
2025-03-20,8:00-12:00,6291.457017,2777.377217,,
2025-03-20,12:00-16:00,4689.682222,254.722783,,
2025-03-20,16:00-20:00,0.000000,5709.783517,,
2025-03-20,20:00-24:00,4666.666667,2930.216483,,
2025-03-20,,,,00:00,6600.000000
2025-03-20,,,,24:00,5400.000000
2025-06-21,0:00-4:00,0.000000,0.000000,,
2025-06-21,4:00-8:00,0.000000,3780.000000,,
2025-06-21,8:00-12:00,701.595233,0.000000,,
2025-06-21,12:00-16:00,9965.071433,0.000000,,
2025-06-21,16:00-20:00,0.000000,6154.100617,,
2025-06-21,20:00-24:00,6000.000000,2485.899383,,
2025-06-21,,,,00:00,5400.000000
2025-06-21,,,,24:00,6600.000000
2025-09-23,0:00-4:00,3833.333333,0.000000,,
2025-09-23,4:00-8:00,833.333333,6746.773250,,
2025-09-23,8:00-12:00,5245.375776,1896.615717,,
2025-09-23,12:00-16:00,5923.777166,403.624917,,
2025-09-23,16:00-20:00,0.000000,5602.909067,,
2025-09-23,20:00-24:00,6000.000000,3037.090933,,
2025-09-23,,,,00:00,6600.000000
2025-09-23,,,,24:00,6600.000000
2025-12-21,0:00-4:00,3833.333333,0.000000,,
2025-12-21,4:00-8:00,1666.666667,1508.333333,,
2025-12-21,8:00-12:00,5833.333333,7806.666667,,
2025-12-21,12:00-16:00,7574.209156,2220.109417,,
2025-12-21,16:00-20:00,0.000000,5797.474233,,
2025-12-21,20:00-24:00,6000.000000,2842.525767,,
2025-12-21,,,,00:00,6600.000000
2025-12-21,,,,24:00,6600.000000
