日期,指标,时间段,数值,单位
2025-03-20,指定时段计划购电量,10:00-10:10,0.000000,kWh
2025-03-20,指定时段计划购电量,12:00-12:10,479.312017,kWh
2025-03-20,指定时段计划购电量,14:00-14:10,0.000000,kWh
2025-03-20,指定时段计划购电量,16:00-16:10,562.261550,kWh
2025-03-20,指定时段计划购电量,18:00-18:10,697.997283,kWh
2025-03-20,指定时段计划购电量,20:00-20:10,0.000000,kWh
2025-03-20,全天的计划购电量,00:00-24:00,64988.851255,kWh
2025-03-20,全天购电费,00:00-24:00,39377.637369,元
2025-06-21,指定时段计划购电量,10:00-10:10,0.000000,kWh
2025-06-21,指定时段计划购电量,12:00-12:10,0.000000,kWh
2025-06-21,指定时段计划购电量,14:00-14:10,0.000000,kWh
2025-06-21,指定时段计划购电量,16:00-16:10,78.571550,kWh
2025-06-21,指定时段计划购电量,18:00-18:10,0.000000,kWh
2025-06-21,指定时段计划购电量,20:00-20:10,0.000000,kWh
2025-06-21,全天的计划购电量,00:00-24:00,33874.109100,kWh
2025-06-21,全天购电费,00:00-24:00,18333.442444,元
2025-09-23,指定时段计划购电量,10:00-10:10,0.000000,kWh
2025-09-23,指定时段计划购电量,12:00-12:10,354.194633,kWh
2025-09-23,指定时段计划购电量,14:00-14:10,0.000000,kWh
2025-09-23,指定时段计划购电量,16:00-16:10,589.432650,kWh
2025-09-23,指定时段计划购电量,18:00-18:10,764.329850,kWh
2025-09-23,指定时段计划购电量,20:00-20:10,0.000000,kWh
2025-09-23,全天的计划购电量,00:00-24:00,66265.545276,kWh
2025-09-23,全天购电费,00:00-24:00,41317.968569,元
2025-12-21,指定时段计划购电量,10:00-10:10,0.000000,kWh
2025-12-21,指定时段计划购电量,12:00-12:10,932.828033,kWh
2025-12-21,指定时段计划购电量,14:00-14:10,0.000000,kWh
2025-12-21,指定时段计划购电量,16:00-16:10,801.381867,kWh
2025-12-21,指定时段计划购电量,18:00-18:10,715.414450,kWh
2025-12-21,指定时段计划购电量,20:00-20:10,0.000000,kWh
2025-12-21,全天的计划购电量,00:00-24:00,93770.373940,kWh
2025-12-21,全天购电费,00:00-24:00,59670.337865,元
