日期,L0 因果实际总购电费（元）,L1 完美日预测总购电费（元）,L2 全知全局购电费（元）,L0 实际日末储电量（kWh）,L1 日末储电量（kWh）,L2 日末储电量（kWh）,L0 紧急购电量（kWh）,L1 紧急购电量（kWh）,L0 累计购电费（元）,L1 累计购电费（元）,L2 累计购电费（元）
2025-02-01,25127.935313,19759.049473,20960.999473,6000.000000,6000.000000,8550.000000,0.000000,0.000000,25127.935313,19759.049473,20960.999473
2025-02-02,59699.653593,51624.086121,51615.736121,6000.000000,6000.000000,8550.000000,9.049900,0.000000,84827.588906,71383.135595,72576.735595
2025-02-03,59072.709503,52913.581337,52905.231337,6000.000000,6000.000000,8550.000000,0.000000,0.000000,143900.298409,124296.716932,125481.966932
2025-02-04,58877.528693,53862.499413,53854.149413,6000.000000,6000.000000,8550.000000,50.304683,0.000000,202777.827102,178159.216345,179336.116345
2025-02-05,58569.463367,53226.723070,53218.373070,6000.000000,6000.000000,8550.000000,7.338283,0.000000,261347.290469,231385.939414,232554.489414
2025-02-06,57056.287260,52920.983922,52629.433922,6000.000000,6000.000000,7950.000000,73.344800,0.000000,318403.577729,284306.923336,285183.923336
2025-02-07,24121.489600,19282.155601,19219.514367,6000.000000,6000.000000,7826.578463,0.000000,0.000000,342525.067329,303589.078937,304403.437703
2025-02-08,22916.308380,18716.982555,19056.275504,6000.000000,6000.000000,8550.000000,1.020650,0.000000,365441.375709,322306.061492,323459.713207
2025-02-09,56434.698396,52321.931983,52313.581983,6000.000000,6000.000000,8550.000000,125.407850,0.000000,421876.074105,374627.993475,375773.295190
2025-02-10,55756.811980,48580.522173,48572.172173,5954.511741,6000.000000,8550.000000,64.199984,0.000000,477632.886085,423208.515648,424345.467363
2025-02-11,55061.970321,49400.843301,49392.493301,6000.000000,6000.000000,8550.000000,12.168500,0.000000,532694.856406,472609.358949,473737.960664
2025-02-12,54479.078644,49579.996066,49571.646066,6000.000000,6000.000000,8550.000000,59.727533,0.000000,587173.935050,522189.355015,523309.606730
2025-02-13,53749.239419,46459.036800,45963.607846,6000.000000,6000.000000,7517.340111,111.165341,0.000000,640923.174469,568648.391815,569273.214576
2025-02-14,20199.176782,18353.992906,18175.009220,6000.000000,6000.000000,7139.840037,106.765617,0.000000,661122.351251,587002.384722,587448.223796
2025-02-15,19657.980469,18391.878771,19056.074273,5972.802667,6000.000000,8550.000000,7.621017,0.000000,680780.331720,605394.263492,606504.298069
2025-02-16,52658.899642,49255.879375,49247.529375,6000.000000,6000.000000,8550.000000,111.923317,0.000000,733439.231362,654650.142868,655751.827444
2025-02-17,51809.999889,46165.597357,46157.247357,5984.207407,6000.000000,8550.000000,66.374598,0.000000,785249.231251,700815.740225,701909.074802
2025-02-18,51678.825161,46872.745542,46864.395542,6000.000000,6000.000000,8550.000000,125.888963,0.000000,836928.056412,747688.485767,748773.470344
2025-02-19,51838.072549,47747.895896,47739.545896,5937.878655,6000.000000,8550.000000,295.687323,0.000000,888766.128961,795436.381663,796513.016240
2025-02-20,51639.649105,46140.522815,45375.285791,6000.000000,6000.000000,6944.709148,128.095157,0.000000,940405.778066,841576.904478,841888.302031
2025-02-21,19179.079184,17456.858258,17319.365032,6000.000000,6000.000000,6654.112130,27.261483,0.000000,959584.857250,859033.762736,859207.667063
2025-02-22,19198.542663,17670.699380,18564.126492,5933.329648,6000.000000,8550.000000,44.811100,0.000000,978783.399913,876704.462115,877771.793555
2025-02-23,50450.578114,46347.336383,46338.986383,6000.000000,6000.000000,8550.000000,52.820570,0.000000,1029233.978027,923051.798499,924110.779938
2025-02-24,50191.303914,44260.652759,44252.302759,6000.000000,6000.000000,8550.000000,32.140833,0.000000,1079425.281941,967312.451258,968363.082697
2025-02-25,49997.926289,42744.950145,42736.600145,6000.000000,6000.000000,8550.000000,56.549800,0.000000,1129423.208230,1010057.401403,1011099.682843
2025-02-26,49449.352428,44493.982715,44485.632715,6000.000000,6000.000000,8550.000000,77.636622,0.000000,1178872.560658,1054551.384117,1055585.315557
2025-02-27,49186.976842,43959.004680,42911.302146,6000.000000,6000.000000,6345.136130,59.464342,0.000000,1228059.537500,1098510.388798,1098496.617703
2025-02-28,18561.366577,16908.694757,16595.448978,6000.000000,6000.000000,5680.620926,4.347858,0.000000,1246620.904077,1115419.083554,1115092.066681
2025-03-01,18409.177646,16474.868924,17808.580536,6000.000000,6000.000000,8550.000000,0.000000,0.000000,1265030.081723,1131893.952479,1132900.647217
2025-03-02,62154.953151,47119.481118,47111.131118,5974.688574,6000.000000,8550.000000,2563.739122,0.000000,1327185.034874,1179013.433597,1180011.778335
2025-03-03,52499.986761,47074.397484,47066.047484,5996.351685,6000.000000,8550.000000,105.771717,0.000000,1379685.021635,1226087.831081,1227077.825819
2025-03-04,52400.696335,44684.836800,44676.486800,5993.841611,6000.000000,8550.000000,0.000000,0.000000,1432085.717970,1270772.667882,1271754.312619
2025-03-05,50236.588905,42698.286364,42689.936364,5979.759259,6000.000000,8550.000000,90.971200,0.000000,1482322.306875,1313470.954245,1314444.248983
2025-03-06,48907.916252,42563.456967,40904.605398,6000.000000,6000.000000,5047.424093,70.189967,0.000000,1531230.223127,1356034.411212,1355348.854381
2025-03-07,18309.765910,15759.997670,15725.660227,6000.000000,6000.000000,5098.119685,0.000000,0.000000,1549539.989037,1371794.408882,1371074.514608
2025-03-08,17662.944488,15840.108838,17412.153209,5994.475815,6000.000000,8550.000000,0.000000,0.000000,1567202.933525,1387634.517720,1388486.667817
2025-03-09,46972.761810,40919.026217,40910.676217,6000.000000,6000.000000,8550.000000,120.021056,0.000000,1614175.695335,1428553.543937,1429397.344034
2025-03-10,45690.546188,43540.670215,43532.320215,5991.874074,6000.000000,8550.000000,101.896303,0.000000,1659866.241523,1472094.214152,1472929.664249
2025-03-11,46902.036529,41108.341790,41099.991790,6000.000000,6000.000000,8550.000000,42.425836,0.000000,1706768.278052,1513202.555942,1514029.656039
2025-03-12,46598.860007,40254.537649,40246.187649,5993.153704,6000.000000,8550.000000,69.614167,0.000000,1753367.138059,1553457.093591,1554275.843688
2025-03-13,46869.225647,43370.011886,41518.551249,6000.000000,6000.000000,4637.038926,187.095083,0.000000,1800236.363706,1596827.105476,1595794.394937
2025-03-14,16693.006968,15290.578837,15279.031324,6000.000000,6000.000000,4798.077074,6.227083,0.000000,1816929.370674,1612117.684313,1611073.426260
2025-03-15,17422.526056,15690.082528,17381.996923,5828.154918,6000.000000,8550.000000,217.245010,0.000000,1834351.896730,1627807.766842,1628455.423184
2025-03-16,46656.931647,40559.770808,40551.420808,5944.405481,6000.000000,8550.000000,101.469330,0.000000,1881008.828377,1668367.537650,1669006.843992
2025-03-17,45856.193481,37256.341063,37247.991063,6000.000000,6000.000000,8550.000000,11.073267,0.000000,1926865.021858,1705623.878712,1706254.835054
2025-03-18,45715.187122,39284.752854,39276.402854,6000.000000,6000.000000,8550.000000,13.253550,0.000000,1972580.208980,1744908.631566,1745531.237908
2025-03-19,45045.475399,38292.821140,38284.471140,6000.000000,6000.000000,8550.000000,0.000000,0.000000,2017625.684379,1783201.452706,1783815.709048
2025-03-20,43626.832001,39945.237369,37960.531274,6000.000000,6000.000000,4352.866148,193.021884,0.000000,2061252.516380,1823146.690075,1821776.240322
2025-03-21,16541.621062,14859.693023,14653.432907,6000.000000,6000.000000,4141.371204,0.000000,0.000000,2077794.137442,1838006.383098,1836429.673229
2025-03-22,16296.198811,14721.642698,16674.897689,5950.714556,6000.000000,8550.000000,0.000000,0.000000,2094090.336253,1852728.025796,1853104.570918
2025-03-23,42377.018321,37602.913129,37594.563129,6000.000000,6000.000000,8550.000000,51.396995,0.000000,2136467.354574,1890330.938925,1890699.134047
2025-03-24,42034.342555,37322.756080,37314.406080,5923.169963,6000.000000,8550.000000,17.464829,0.000000,2178501.697129,1927653.695006,1928013.540128
2025-03-25,41785.731439,39028.333497,39019.983497,6000.000000,6000.000000,8550.000000,41.014188,0.000000,2220287.428568,1966682.028503,1967033.523625
2025-03-26,41914.698079,35826.265381,35817.915381,6000.000000,6000.000000,8550.000000,21.547600,0.000000,2262202.126647,2002508.293884,2002851.439006
2025-03-27,41984.617834,37579.651587,35512.876094,6000.000000,6000.000000,4177.778704,201.453817,0.000000,2304186.744481,2040087.945471,2038364.315100
2025-03-28,15562.864776,14324.513341,13990.823924,6000.000000,6000.000000,3720.396352,0.000000,0.000000,2319749.609257,2054412.458812,2052355.139023
2025-03-29,15796.111112,14549.764475,16669.675660,6000.000000,6000.000000,8550.000000,27.914250,0.000000,2335545.720369,2068962.223287,2069024.814683
2025-03-30,40396.248657,35453.334775,35444.984775,5990.266667,6000.000000,8550.000000,128.035293,0.000000,2375941.969026,2104415.558062,2104469.799458
2025-03-31,41797.440204,36378.807294,36370.457294,6000.000000,6000.000000,8550.000000,473.090450,0.000000,2417739.409230,2140794.365356,2140840.256752
2025-04-01,41153.494685,37969.675168,37961.325168,6000.000000,6000.000000,8550.000000,350.458042,0.000000,2458892.903915,2178764.040524,2178801.581920
2025-04-02,44771.374404,38225.009213,38216.659213,6000.000000,6000.000000,8550.000000,787.494964,0.000000,2503664.278319,2216989.049737,2217018.241133
2025-04-03,41682.986237,35928.512066,33594.485123,6000.000000,6000.000000,3606.321574,0.269850,0.000000,2545347.264556,2252917.561803,2250612.726255
2025-04-04,15523.159285,13643.684749,13321.792773,6000.000000,6000.000000,3260.977148,0.000000,0.000000,2560870.423841,2266561.246552,2263934.519028
2025-04-05,15411.343881,13996.117834,16297.645911,6000.000000,6000.000000,8550.000000,0.000000,0.000000,2576281.767722,2280557.364386,2280232.164938
2025-04-06,40605.375729,34860.473340,34852.123340,6000.000000,6000.000000,8550.000000,25.133194,0.000000,2616887.143451,2315417.837726,2315084.288279
2025-04-07,39870.200392,33967.389666,33959.039666,5992.183333,6000.000000,8550.000000,22.012083,0.000000,2656757.343843,2349385.227392,2349043.327945
2025-04-08,39677.319684,35145.503964,35137.153964,5986.595630,6000.000000,8550.000000,22.140933,0.000000,2696434.663527,2384530.731356,2384180.481909
2025-04-09,40705.121015,37247.105663,37238.755663,6000.000000,6000.000000,8550.000000,368.125100,0.000000,2737139.784542,2421777.837019,2421419.237572
2025-04-10,40316.820207,35111.009352,32598.371892,6000.000000,6000.000000,3223.812019,169.033668,0.000000,2777456.604749,2456888.846372,2454017.609464
2025-04-11,15043.857863,13453.642078,13013.161819,6000.000000,6000.000000,2682.215796,0.000000,0.000000,2792500.462612,2470342.488450,2467030.771283
2025-04-12,15166.731438,13223.670443,15754.048467,5976.816667,6000.000000,8550.000000,7.778824,0.000000,2807667.194050,2483566.158893,2482784.819750
2025-04-13,38981.605843,34633.427100,34625.077100,6000.000000,6000.000000,8550.000000,33.943333,0.000000,2846648.799893,2518199.585992,2517409.896850
2025-04-14,38978.470683,33325.619045,33034.069045,6000.000000,6000.000000,7950.000000,134.330017,0.000000,2885627.270576,2551525.205038,2550443.965895
