日期,时间段,电价（元/kWh）,实际负载电量（kWh）,实际光伏电量（kWh）,净负荷（kWh）,计划购电量（kWh）,充电量（kWh）,放电量（kWh）,运行模式,弃光量（kWh）,未利用计划购电量（kWh）,紧急购电量（kWh）,时段初储电量（kWh）,时段末储电量（kWh）,时段末SOC（%）,时段购电费（元）,累计购电费（元）
2025-02-01,00:00-00:10,0.424800,422.030367,0.000000,422.030367,1255.363700,833.333333,0.000000,1.000000,0.000000,0.000000,0.000000,6000.000000,6750.000000,56.250000,533.278500,533.278500
2025-02-01,00:10-00:20,0.424500,415.407317,0.000000,415.407317,1248.740650,833.333333,0.000000,1.000000,0.000000,0.000000,0.000000,6750.000000,7500.000000,62.500000,530.090406,1063.368906
2025-02-01,00:20-00:30,0.426900,410.716667,0.000000,410.716667,1244.050000,833.333333,0.000000,1.000000,0.000000,0.000000,0.000000,7500.000000,8250.000000,68.750000,531.084945,1594.453851
2025-02-01,00:30-00:40,0.427200,430.294800,0.000000,430.294800,430.294800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8250.000000,8250.000000,68.750000,183.821939,1778.275789
2025-02-01,00:40-00:50,0.427100,424.410583,0.000000,424.410583,778.367065,353.956481,0.000000,1.000000,0.000000,0.000000,0.000000,8250.000000,8568.560833,71.404674,332.440573,2110.716363
2025-02-01,00:50-01:00,0.428500,406.051667,0.000000,406.051667,406.051667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,71.404674,173.993139,2284.709502
2025-02-01,01:00-01:10,0.431100,436.750183,0.000000,436.750183,436.750183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,71.404674,188.283004,2472.992506
2025-02-01,01:10-01:20,0.430200,451.797683,0.000000,451.797683,451.797683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,71.404674,194.363363,2667.355869
2025-02-01,01:20-01:30,0.427900,446.080000,0.000000,446.080000,446.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,71.404674,190.877632,2858.233501
2025-02-01,01:30-01:40,0.431200,471.766333,0.000000,471.766333,471.766333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,71.404674,203.425643,3061.659144
