日期,计划购电量（kWh）,购电费（元）,充电量（kWh）,放电量（kWh）,弃光量（kWh）,紧急购电量（kWh）,紧急购电费（元）,总购电费（元）,累计总购电费（元）,0:00储电量（kWh）,24:00储电量（kWh）,日末储电量距下限（kWh）,日末储电量距上限（kWh）,日末区间越界量（kWh）
2025-02-01,38785.530748,20041.716140,20353.956481,15946.704750,0.000000,0.000000,0.000000,20041.716140,20041.716140,6000.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-02,82850.850994,51621.719454,23655.155844,19160.676233,0.000000,0.000000,0.000000,51621.719454,71663.435595,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-03,84738.409765,52911.214670,23796.976831,19275.551233,0.000000,0.000000,0.000000,52911.214670,124574.650265,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-04,85886.604235,53860.132747,24693.213868,20001.503233,0.000000,0.000000,0.000000,53860.132747,178434.783011,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-05,85326.762103,53224.356403,24095.289753,19517.184700,0.000000,0.000000,0.000000,53224.356403,231659.139414,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-06,84904.253633,52918.617255,24384.935000,19751.797350,0.000000,0.000000,0.000000,52918.617255,284577.756669,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-07,37302.015437,19280.127478,19807.280720,16043.897383,1732.736567,0.000000,0.000000,19280.127478,303857.884148,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-08,36150.017276,18715.687205,18862.864959,15278.920617,988.882367,0.000000,0.000000,18715.687205,322573.571353,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-09,84164.694812,52319.565316,24259.140062,19649.903450,0.000000,0.000000,0.000000,52319.565316,374893.136669,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-10,78754.520235,48578.155507,23304.360888,18876.532319,0.000000,0.000000,0.000000,48578.155507,423471.292176,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-11,79653.121837,49398.476634,23328.723967,18896.266413,0.000000,0.000000,0.000000,49398.476634,472869.768810,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-12,79728.870462,49577.629399,23484.498837,19022.444058,0.000000,0.000000,0.000000,49577.629399,522447.398209,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-13,75732.861169,46456.670134,23175.157469,18771.877550,0.000000,0.000000,0.000000,46456.670134,568904.068343,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-14,35461.199090,18353.419113,18519.266790,15000.606100,2140.633650,0.000000,0.000000,18353.419113,587257.487455,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-15,35408.310563,18391.415491,18099.822263,14660.856033,2689.135867,0.000000,0.000000,18391.415491,605648.902946,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-16,79784.978408,49253.512709,23197.205833,18789.736725,0.000000,0.000000,0.000000,49253.512709,654902.415655,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-17,75552.079995,46163.230690,22989.810062,18621.746150,0.000000,0.000000,0.000000,46163.230690,701065.646345,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-18,76516.498956,46870.378876,23289.138100,18864.201861,0.000000,0.000000,0.000000,46870.378876,747936.025221,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-19,77312.946211,47745.529229,23333.909883,18900.467005,0.000000,0.000000,0.000000,47745.529229,795681.554450,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-20,75284.258586,46138.156148,22584.167819,18293.175933,0.000000,0.000000,0.000000,46138.156148,841819.710599,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-21,34203.450898,17456.460021,17883.010165,14485.238233,5245.322333,0.000000,0.000000,17456.460021,859276.170620,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-22,34304.445122,17670.366046,17560.124588,14223.700917,3123.205150,0.000000,0.000000,17670.366046,876946.536666,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-23,75879.473194,46344.969717,22880.940494,18533.561800,0.000000,0.000000,0.000000,46344.969717,923291.506383,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-24,72455.905559,44258.286093,22382.796626,18130.065267,0.000000,0.000000,0.000000,44258.286093,967549.792475,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-25,69963.864102,42742.583479,21801.427819,17659.156533,0.000000,0.000000,0.000000,42742.583479,1010292.375954,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-26,73051.734706,44491.616048,22299.242490,18062.386417,0.000000,0.000000,0.000000,44491.616048,1054783.992002,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-02-27,71012.544044,43836.568812,22554.224177,18498.299067,0.000000,0.000000,0.000000,43836.568812,1098620.560814,6600.000000,6345.136130,945.136130,254.863870,0.000000
2025-02-28,32328.681845,16595.448978,16478.467695,13945.622517,6503.190350,0.000000,0.000000,16595.448978,1115216.009792,6345.136130,5680.620926,280.620926,919.379074,0.000000
2025-03-01,32782.773967,16889.297202,17520.300412,13364.002167,4967.652255,0.000000,0.000000,16889.297202,1132105.306995,5680.620926,6600.000000,1200.000000,0.000000,0.000000
2025-03-02,76899.688361,47117.114452,23901.657340,19360.342445,0.000000,0.000000,0.000000,47117.114452,1179222.421446,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-03-03,76455.845055,47072.030817,23361.156783,18922.536995,0.000000,0.000000,0.000000,47072.030817,1226294.452264,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-03-04,73594.227809,44682.470134,23129.902855,18735.221313,0.000000,0.000000,0.000000,44682.470134,1270976.922397,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-03-05,70403.140457,42695.919697,22487.178457,18214.614550,0.000000,0.000000,0.000000,42695.919697,1313672.842094,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-03-06,68868.635761,41995.856967,21094.019095,18166.155467,0.000000,0.000000,0.000000,41995.856967,1355668.699061,6600.000000,5400.000000,0.000000,1200.000000,0.000000
2025-03-07,30472.897292,15722.321621,15774.915658,12777.681683,6553.271800,0.000000,0.000000,15722.321621,1371391.020682,5400.000000,5400.000000,0.000000,1200.000000,0.000000
2025-03-08,32150.609928,16368.327475,17164.577428,12823.307717,8746.107483,0.000000,0.000000,16368.327475,1387759.348157,5400.000000,6600.000000,1200.000000,0.000000,0.000000
2025-03-09,67505.185329,40916.659550,21955.723045,17784.135667,0.000000,0.000000,0.000000,40916.659550,1428676.007708,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-03-10,72194.064238,43538.303548,21851.695288,17699.873183,0.000000,0.000000,0.000000,43538.303548,1472214.311256,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-03-11,68151.610094,41105.975124,22172.048128,17959.358983,0.000000,0.000000,0.000000,41105.975124,1513320.286379,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-03-12,66583.314937,40252.170982,21829.073354,17681.549417,0.000000,0.000000,0.000000,40252.170982,1553572.457361,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-03-13,70380.927233,42802.411886,20606.737016,17771.456983,0.000000,0.000000,0.000000,42802.411886,1596374.869247,6600.000000,5400.000000,0.000000,1200.000000,0.000000
2025-03-14,29671.350967,15247.521550,15333.333333,12420.000000,10728.543467,0.000000,0.000000,15247.521550,1611622.390797,5400.000000,5400.000000,0.000000,1200.000000,0.000000
2025-03-15,31818.955866,16214.386943,16831.196749,12553.269367,6616.843650,0.000000,0.000000,16214.386943,1627836.777740,5400.000000,6600.000000,1200.000000,0.000000,0.000000
2025-03-16,67534.730103,40557.404141,22019.049753,17835.430300,0.000000,0.000000,0.000000,40557.404141,1668394.181882,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-03-17,61920.713982,37253.974396,21381.458416,17318.981317,0.000000,0.000000,0.000000,37253.974396,1705648.156277,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-03-18,65242.910950,39282.386187,21667.629650,17550.780017,0.000000,0.000000,0.000000,39282.386187,1744930.542465,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-03-19,63589.269752,38290.454473,21703.479486,17579.818383,0.000000,0.000000,0.000000,38290.454473,1783220.996938,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-03-20,64988.851255,39377.637369,20314.472572,17534.722783,0.000000,0.000000,0.000000,39377.637369,1822598.634307,6600.000000,5400.000000,0.000000,1200.000000,0.000000
2025-03-21,29215.773367,14816.243695,15333.333333,12420.000000,14268.818767,0.000000,0.000000,14816.243695,1837414.878002,5400.000000,5400.000000,0.000000,1200.000000,0.000000
2025-03-22,30325.319650,15242.995398,16666.666667,12420.000000,10197.264700,0.000000,0.000000,15242.995398,1852657.873401,5400.000000,6600.000000,1200.000000,0.000000,0.000000
2025-03-23,62824.109216,37600.546463,21338.134033,17283.888567,0.000000,0.000000,0.000000,37600.546463,1890258.419863,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-03-24,62125.590424,37320.389414,21720.932407,17593.955250,0.000000,0.000000,0.000000,37320.389414,1927578.809277,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-03-25,65038.606516,39025.966830,21517.990350,17429.572183,0.000000,0.000000,0.000000,39025.966830,1966604.776107,6600.000000,6600.000000,1200.000000,0.000000,0.000000
2025-03-26,59646.310383,35823.898715,21333.333333,17280.000000,0.000000,0.000000,0.000000,35823.898715,2002428.674822,6600.000000,6600.000000,1200.000000,0.000000,0.000000
