日期,时间段,电价（元/kWh）,实际负载电量（kWh）,实际光伏电量（kWh）,全知购电量（kWh）,全知充电量（kWh）,全知放电量（kWh）,全知弃光量（kWh）,全知未利用购电量（kWh）,时段初储电量（kWh）,时段末储电量（kWh）,时段购电费（元）
2025-02-01,00:00-00:10,0.424800,422.030367,0.000000,1255.363700,833.333333,0.000000,0.000000,0.000000,6000.000000,6750.000000,533.278500
2025-02-01,00:10-00:20,0.424500,415.407317,0.000000,1248.740650,833.333333,0.000000,0.000000,0.000000,6750.000000,7500.000000,530.090406
2025-02-01,00:20-00:30,0.426900,410.716667,0.000000,1244.050000,833.333333,0.000000,0.000000,0.000000,7500.000000,8250.000000,531.084945
2025-02-01,00:30-00:40,0.427200,430.294800,0.000000,430.294800,0.000000,0.000000,0.000000,0.000000,8250.000000,8250.000000,183.821939
2025-02-01,00:40-00:50,0.427100,424.410583,0.000000,778.367065,353.956481,0.000000,0.000000,0.000000,8250.000000,8568.560833,332.440573
2025-02-01,00:50-01:00,0.428500,406.051667,0.000000,406.051667,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,173.993139
2025-02-01,01:00-01:10,0.431100,436.750183,0.000000,436.750183,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,188.283004
2025-02-01,01:10-01:20,0.430200,451.797683,0.000000,451.797683,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,194.363363
2025-02-01,01:20-01:30,0.427900,446.080000,0.000000,446.080000,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,190.877632
2025-02-01,01:30-01:40,0.431200,471.766333,0.000000,471.766333,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,203.425643
2025-02-01,01:40-01:50,0.433300,448.025967,0.000000,448.025967,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,194.129651
2025-02-01,01:50-02:00,0.431100,397.403333,0.000000,397.403333,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,171.320577
2025-02-01,02:00-02:10,0.429300,434.090633,0.000000,434.090633,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,186.355109
2025-02-01,02:10-02:20,0.432400,490.560917,0.000000,490.560917,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,212.118540
2025-02-01,02:20-02:30,0.436700,503.220000,0.000000,503.220000,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,219.756174
2025-02-01,02:30-02:40,0.434800,474.072817,0.000000,474.072817,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,206.126861
2025-02-01,02:40-02:50,0.433500,461.384400,0.000000,461.384400,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,200.010137
2025-02-01,02:50-03:00,0.435700,476.941667,0.000000,476.941667,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,207.803484
2025-02-01,03:00-03:10,0.437400,483.399550,0.000000,483.399550,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,211.438963
2025-02-01,03:10-03:20,0.437100,486.601917,0.000000,486.601917,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,212.693698
2025-02-01,03:20-03:30,0.435600,498.848333,0.000000,498.848333,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,217.298334
2025-02-01,03:30-03:40,0.435300,518.309733,0.000000,518.309733,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,225.620227
2025-02-01,03:40-03:50,0.436000,509.133467,0.000000,509.133467,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,221.982191
2025-02-01,03:50-04:00,0.437800,483.616667,0.000000,483.616667,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,211.727377
2025-02-01,04:00-04:10,0.440100,491.186800,0.000000,491.186800,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,216.171311
2025-02-01,04:10-04:20,0.438900,504.645283,0.000000,504.645283,0.000000,0.000000,0.000000,0.000000,8568.560833,8568.560833,221.488815
