日期,当前时段序号,当前时间段,实测数据截止时段序号,实测数据截止时间段,未来输入来源,冻结购电量最大变化（kWh）,滚动初始储电量（kWh）,第二阶段剩余紧急购电费（元）,储能吞吐量第二目标值（kWh）,当前计划购电量（kWh）,当前实际负载电量（kWh）,当前实际光伏电量（kWh）,当前充电量（kWh）,当前放电量（kWh）,当前运行模式,当前紧急购电量（kWh）,当前弃光量（kWh）,当前未利用计划购电量（kWh）,滚动预测日末储电量（kWh）,第一目标求解状态,第二目标求解状态,第一目标MIP相对间隙,第二目标MIP相对间隙,第一阶段紧急购电费最优值（元）,第一目标固定数值容差（元）,候选时域最大约束残差（kWh或元）
2025-01-01,1,00:00-00:10,1,00:00-00:10,当前时段用实测，未来时段用0:00预测,0.000000,6000.000000,41.856941,36846.824326,1406.641100,588.288267,0.000000,818.352833,0.000000,1.000000,0.000000,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,41.856940,1e-06,2.72848410532e-12
2025-01-01,2,00:10-00:20,2,00:10-00:20,当前时段用实测，未来时段用0:00预测,0.000000,6736.517550,121.744541,35976.720727,1406.329867,601.588117,0.000000,804.741750,0.000000,1.000000,0.000000,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,2.02240711971e-16,121.744540,1e-06,1.81898940355e-12
2025-01-01,3,00:20-00:30,3,00:20-00:30,当前时段用实测，未来时段用0:00预测,0.000000,7460.785125,253.186640,35086.831479,1407.383850,621.093333,0.000000,786.290517,0.000000,1.000000,0.000000,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,253.186639,1e-06,3.82627263207e-12
2025-01-01,4,00:30-00:40,4,00:30-00:40,当前时段用实测，未来时段用0:00预测,0.000000,8168.446590,279.352129,34283.591096,1409.073950,585.105183,0.000000,823.968767,0.000000,1.000000,0.000000,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,279.352128,1e-06,4.33075797446e-12
2025-01-01,5,00:40-00:50,5,00:40-00:50,当前时段用实测，未来时段用0:00预测,0.000000,8910.018480,299.718846,33446.428878,1409.804550,583.760417,0.000000,826.044133,0.000000,1.000000,0.000000,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,299.718845,1e-06,1.81898940355e-12
2025-01-01,6,00:50-01:00,6,00:50-01:00,当前时段用实测，未来时段用0:00预测,0.000000,9653.458200,416.545765,32620.384744,576.640017,631.168333,0.000000,0.000000,0.000000,0.000000,54.528317,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,416.545764,1e-06,1.60582658282e-12
2025-01-01,7,01:00-01:10,7,01:00-01:10,当前时段用实测，未来时段用0:00预测,0.000000,9653.458200,455.332402,32620.384744,577.859700,650.053417,0.000000,0.000000,0.000000,0.000000,72.193717,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,455.332401,1e-06,1.81898940355e-12
2025-01-01,8,01:10-01:20,8,01:10-01:20,当前时段用实测，未来时段用0:00预测,0.000000,9653.458200,460.640319,32620.384744,577.993867,652.806267,0.000000,0.000000,0.000000,0.000000,74.812400,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,460.640318,1e-06,9.09494701773e-13
2025-01-01,9,01:20-01:30,9,01:20-01:30,当前时段用实测，未来时段用0:00预测,0.000000,9653.458200,462.852874,32514.707382,911.161383,636.213333,0.000000,274.948050,0.000000,1.000000,0.000000,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,462.852873,1e-06,1.81898940355e-12
2025-01-01,10,01:30-01:40,10,01:30-01:40,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,481.006718,32239.759332,580.415450,588.835600,0.000000,0.000000,0.000000,0.000000,8.420150,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,481.006717,1e-06,9.09494701773e-13
