日期,时间段,预测负载电量,预测光伏电量,冻结计划购电量,辅助充电量,辅助放电量,辅助时段末储电量
2025-01-01,00:00-00:10,573.307767,0.000000,1406.641100,833.333333,0.000000,6750.000000
2025-01-01,00:10-00:20,572.996533,0.000000,1406.329867,833.333333,0.000000,7500.000000
2025-01-01,00:20-00:30,574.050517,0.000000,1407.383850,833.333333,0.000000,8250.000000
2025-01-01,00:30-00:40,575.740617,0.000000,1409.073950,833.333333,0.000000,9000.000000
2025-01-01,00:40-00:50,576.471217,0.000000,1409.804550,833.333333,0.000000,9750.000000
2025-01-01,00:50-01:00,576.640017,0.000000,576.640017,0.000000,0.000000,9750.000000
2025-01-01,01:00-01:10,577.859700,0.000000,577.859700,0.000000,0.000000,9750.000000
2025-01-01,01:10-01:20,577.993867,0.000000,577.993867,0.000000,0.000000,9750.000000
2025-01-01,01:20-01:30,577.828050,0.000000,911.161383,333.333333,0.000000,10050.000000
2025-01-01,01:30-01:40,580.415450,0.000000,580.415450,0.000000,0.000000,10050.000000
2025-01-01,01:40-01:50,582.514017,0.000000,582.514017,0.000000,0.000000,10050.000000
2025-01-01,01:50-02:00,583.074050,0.000000,583.074050,0.000000,0.000000,10050.000000
2025-01-01,02:00-02:10,584.204917,0.000000,584.204917,0.000000,0.000000,10050.000000
2025-01-01,02:10-02:20,585.439783,0.000000,585.439783,0.000000,0.000000,10050.000000
2025-01-01,02:20-02:30,586.144750,0.000000,586.144750,0.000000,0.000000,10050.000000
2025-01-01,02:30-02:40,586.320767,0.000000,586.320767,0.000000,0.000000,10050.000000
2025-01-01,02:40-02:50,586.425300,0.000000,586.425300,0.000000,0.000000,10050.000000
2025-01-01,02:50-03:00,586.849600,0.000000,586.849600,0.000000,0.000000,10050.000000
2025-01-01,03:00-03:10,587.821017,0.000000,587.821017,0.000000,0.000000,10050.000000
2025-01-01,03:10-03:20,589.547567,0.000000,589.547567,0.000000,0.000000,10050.000000
2025-01-01,03:20-03:30,590.813467,0.000000,590.813467,0.000000,0.000000,10050.000000
