日期,时间段,计划充电量,实际充电量,计划放电量,实际放电量,充电截断量,放电截断量,计划时段末储电量,实际时段末储电量,实际减计划储电量,累计截断解释的储电偏差,偏差恒等式残差
2025-12-31,00:00-00:10,833.3333333333333,833.3333333333333,0.0,0.0,0.0,0.0,7061.268399814817,7061.268399814817,0.0,0.0,0.0
2025-12-31,00:10-00:20,833.3333333333333,833.3333333333333,0.0,0.0,0.0,0.0,7811.268399814817,7811.268399814817,0.0,0.0,0.0
2025-12-31,00:20-00:30,833.3333333333333,833.3333333333333,0.0,0.0,0.0,0.0,8561.268399814817,8561.268399814817,0.0,0.0,0.0
2025-12-31,00:30-00:40,820.812889094648,820.812889094648,0.0,0.0,0.0,0.0,9300.0,9300.0,0.0,0.0,0.0
2025-12-31,00:40-00:50,833.3333333333333,833.3333333333333,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,00:50-01:00,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,01:00-01:10,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,01:10-01:20,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,01:20-01:30,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,01:30-01:40,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,01:40-01:50,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,01:50-02:00,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,02:00-02:10,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,02:10-02:20,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,02:20-02:30,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,02:30-02:40,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,02:40-02:50,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,02:50-03:00,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,03:00-03:10,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,03:10-03:20,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,03:20-03:30,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,03:30-03:40,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,03:40-03:50,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,03:50-04:00,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,04:00-04:10,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,04:10-04:20,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,04:20-04:30,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,04:30-04:40,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,04:40-04:50,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,04:50-05:00,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,05:00-05:10,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,05:10-05:20,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,05:20-05:30,0.0,0.0,0.0,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0
2025-12-31,05:30-05:40,833.3333333333333,833.3333333333333,0.0,0.0,0.0,0.0,10800.0,10800.0,0.0,0.0,0.0
2025-12-31,05:40-05:50,0.0,0.0,-0.0,-0.0,0.0,0.0,10800.0,10800.0,0.0,0.0,0.0
2025-12-31,05:50-06:00,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,10800.0,0.0,0.0,0.0
2025-12-31,06:00-06:10,0.0,0.0,675.0,640.5137333333332,0.0,34.48626666666678,10050.0,10088.318074074074,38.31807407407359,38.3180740740742,-6.039613253960852e-13
