日期,时间段,充电量（kWh）,放电量（kWh）,时刻,储电量（kWh）
2025-03-20,0:00-4:00,4139.378148,0.000000,,
2025-03-20,4:00-8:00,833.333333,4523.527017,,
2025-03-20,8:00-12:00,5976.525283,2777.377217,,
2025-03-20,12:00-16:00,3374.830972,254.722783,,
2025-03-20,16:00-20:00,0.000000,5663.338233,,
2025-03-20,20:00-24:00,5302.009067,2865.303067,,
2025-03-20,,,,00:00,6303.480167
2025-03-20,,,,24:00,6095.540049
2025-06-21,0:00-4:00,0.000000,17.162477,,
2025-06-21,4:00-8:00,0.000000,4341.513483,,
2025-06-21,8:00-12:00,5524.760517,0.000000,,
2025-06-21,12:00-16:00,4422.226767,0.000000,,
2025-06-21,16:00-20:00,0.000000,5614.422067,,
2025-06-21,20:00-24:00,5293.145617,2448.566033,,
2025-06-21,,,,00:00,6690.684734
2025-06-21,,,,24:00,6604.955388
2025-09-23,0:00-4:00,4301.622099,0.000000,,
2025-09-23,4:00-8:00,833.333333,6097.568100,,
2025-09-23,8:00-12:00,5162.679233,1876.767517,,
2025-09-23,12:00-16:00,4847.626991,170.470133,,
2025-09-23,16:00-20:00,0.000000,5544.436717,,
2025-09-23,20:00-24:00,5264.190217,2893.642283,,
2025-09-23,,,,00:00,6178.540111
2025-09-23,,,,24:00,6121.619297
2025-12-21,0:00-4:00,4097.529547,0.000000,,
2025-12-21,4:00-8:00,1646.620370,1448.413750,,
2025-12-21,8:00-12:00,5407.097800,7013.737683,,
2025-12-21,12:00-16:00,6967.591521,2220.109417,,
2025-12-21,16:00-20:00,0.000000,5657.344933,,
2025-12-21,20:00-24:00,5322.615000,2821.297883,,
2025-12-21,,,,00:00,6362.223407
2025-12-21,,,,24:00,6169.639259
