日期,紧急购电时间段,紧急购电量（kWh）
2025-03-20,01:10-01:20,16.782417
2025-03-20,03:20-03:40,8.459284
2025-03-20,04:50-05:20,21.768667
2025-03-20,15:20-16:20,64.761500
2025-03-20,16:30-16:50,8.196750
2025-03-20,18:00-18:20,7.141367
2025-03-20,18:40-18:50,17.826833
2025-03-20,20:10-20:20,48.085067
2025-06-21,00:20-00:30,38.221887
2025-09-23,00:50-01:10,19.052850
2025-09-23,03:50-04:00,9.219760
2025-09-23,04:50-05:10,38.416700
2025-09-23,07:10-07:20,37.484617
2025-09-23,14:30-15:00,335.675006
2025-09-23,15:20-15:30,1.077917
2025-09-23,15:50-16:20,80.573017
2025-09-23,16:30-17:00,27.648233
2025-09-23,17:30-17:50,30.372250
2025-09-23,18:10-18:40,62.885650
2025-09-23,20:20-20:30,6.375000
2025-12-21,03:40-03:50,11.871148
2025-12-21,05:50-06:00,4.360000
2025-12-21,12:50-13:10,58.186183
2025-12-21,15:50-16:00,3.197917
2025-12-21,16:20-16:30,8.705417
2025-12-21,17:20-17:30,8.866667
2025-12-21,18:10-18:20,1.135350
2025-12-21,18:30-18:50,22.376700
2025-12-21,20:10-20:20,30.119217
