类别,校验项,数值,单位,结论
超参数,最终日负载指数衰减天数,10.000000,天,通过
超参数,最终日光伏指数衰减天数,7.000000,天,通过
超参数,最终日选择的日末储电量惩罚系数（硬终端日不计罚）,1.395200,元/kWh,通过
预测,负载 MAE,28.930297,kWh/时段,参考
预测,负载 RMSE,38.880044,kWh/时段,参考
预测,负载 0.8 分位数损失,8.673528,kWh/时段,参考
预测,光伏 MAE,33.481716,kWh/时段,参考
预测,光伏 RMSE,65.724344,kWh/时段,参考
预测,光伏 0.2 分位数损失,9.518200,kWh/时段,参考
预测,负载使用附件1冷启动先验的正式天数,0,天,参考
预测,光伏使用附件1冷启动先验的正式天数,0,天,参考
约束,最大计划电量平衡残差,0.000000,kWh,通过
约束,最大计划状态转移残差,0.000000,kWh,通过
约束,最大实际电量平衡残差,0.000000,kWh,通过
约束,最大实际状态转移残差,0.000000,kWh,通过
约束,最大跨日储电量连续误差,0.000000,kWh,通过
约束,实际最小储电量,1200.000000,kWh,通过
约束,实际最大储电量,10800.000000,kWh,通过
约束,12 月 31 日 24:00 实际终端储电量区间越界量,0.000000,kWh,通过
数量,计划购电总量,21873248.235717,kWh,参考
数量,紧急购电总量,209639.388521,kWh,参考
数量,紧急购电 10 分钟时段数,7540,个,参考
数量,连续紧急购电区间数,3612,个,参考
数量,弃光总量,2453602.447026,kWh,参考
数量,未利用计划购电总量,494497.605039,kWh,参考
费用,计划购电费,13342127.615605,元,参考
费用,紧急购电费,930568.701378,元,参考
费用,334天总费用,14272696.316983,元,参考
费用,紧急购电费占比,0.065199,比例,参考
边界,最大实际充电量超过计划量,0.000000,kWh,通过
边界,最大实际放电量超过计划量,0.000000,kWh,通过
超参数,年末储电量下限,5400.000000,kWh,参考
超参数,年末储电量上限,6600.000000,kWh,参考
费用,1月初始化费用,1833093.246620,元,参考
费用,365天总费用,16105789.563603,元,参考
求解,最大MIP相对间隙,0,比例,通过
边界,年末计划储电量,5400.000000,kWh,参考
边界,年末实际储电量,5612.852394,kWh,参考
预测,净负荷 MAE,56.401338,kWh/时段,参考
预测,净负荷 0.8 分位数损失,15.186390,kWh/时段,参考
预测,净负荷实际值不超过预测值的时段比例,0.785325,比例,参考
执行,计划充电截断总量,606828.297528,kWh,参考
执行,计划放电截断总量,585409.996334,kWh,参考
边界,年末实际储电量减计划储电量,212.852394,kWh,参考
超参数验证,12月31日前滚动验证：负载衰减 3 天的 pinball 损失,6.955089,kWh/时段,参考
超参数验证,12月31日前滚动验证：负载衰减 5 天的 pinball 损失,6.691149,kWh/时段,参考
超参数验证,12月31日前滚动验证：负载衰减 7 天的 pinball 损失,6.580046,kWh/时段,参考
超参数验证,12月31日前滚动验证：负载衰减 10 天的 pinball 损失,6.469637,kWh/时段,参考
超参数验证,12月31日前滚动验证：负载衰减 14 天的 pinball 损失,6.736381,kWh/时段,参考
超参数验证,12月31日前滚动验证：负载衰减 21 天的 pinball 损失,7.146145,kWh/时段,参考
超参数验证,12月31日前滚动验证：负载衰减 28 天的 pinball 损失,7.530912,kWh/时段,参考
超参数验证,12月31日前滚动验证：负载衰减 42 天的 pinball 损失,8.193245,kWh/时段,参考
超参数验证,12月31日前滚动验证：负载衰减 56 天的 pinball 损失,9.421188,kWh/时段,参考
超参数验证,12月31日前滚动验证：负载衰减 84 天的 pinball 损失,12.938303,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 3 天的 pinball 损失,4.679039,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 5 天的 pinball 损失,4.452269,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 7 天的 pinball 损失,4.361219,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 10 天的 pinball 损失,4.490646,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 14 天的 pinball 损失,4.828926,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 21 天的 pinball 损失,5.436522,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 28 天的 pinball 损失,6.293990,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 42 天的 pinball 损失,8.405699,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 56 天的 pinball 损失,11.116082,kWh/时段,参考
超参数验证,12月31日前滚动验证：光伏衰减 84 天的 pinball 损失,16.954607,kWh/时段,参考
超参数验证,12月31日前滚动验证：日末惩罚 0.697600 元/kWh 的单步评分,54467.710502,元,参考
超参数验证,12月31日前滚动验证：日末惩罚 1.395200 元/kWh 的单步评分,54467.710502,元,参考
超参数验证,12月31日前滚动验证：日末惩罚 2.790400 元/kWh 的单步评分,54467.710502,元,参考
超参数验证,12月31日前滚动验证：日末惩罚 6.976000 元/kWh 的单步评分,54467.710502,元,参考
