日期,时间段,训练样本最晚日期,参数验证最晚日期,负载预测来源,光伏预测来源,电价（元/kWh）,预测负载电量（kWh）,预测光伏电量（kWh）,实际负载电量（kWh）,实际光伏电量（kWh）,计划购电量（kWh）,计划充电量（kWh）,计划放电量（kWh）,实际充电量（kWh）,实际放电量（kWh）,紧急购电量（kWh）,实际弃光量（kWh）,未利用计划购电量（kWh）,时段初储电量（kWh）,时段末储电量（kWh）,时段计划购电费（元）,时段紧急购电费（元）,时段总购电费（元）,预测净负荷（kWh）,实际净负荷（kWh）,计划与实际充电量之差（kWh）,计划与实际放电量之差（kWh）
2025-02-01,00:00-00:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.424800,454.325433,0.000000,422.030367,0.000000,1287.658767,833.333333,0.000000,833.333333,0.000000,0.000000,0.000000,32.295067,6000.000000,6750.000000,546.997444,0.000000,546.997444,454.325433,422.030367,0.000000,0.000000
2025-02-01,00:10-00:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.424500,475.925067,0.000000,415.407317,0.000000,1309.258400,833.333333,0.000000,833.333333,0.000000,0.000000,0.000000,60.517750,6750.000000,7500.000000,555.780191,0.000000,555.780191,475.925067,415.407317,0.000000,0.000000
2025-02-01,00:20-00:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.426900,478.845000,0.000000,410.716667,0.000000,1312.178333,833.333333,0.000000,833.333333,0.000000,0.000000,0.000000,68.128333,7500.000000,8250.000000,560.168930,0.000000,560.168930,478.845000,410.716667,0.000000,0.000000
2025-02-01,00:30-00:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.427200,476.986917,0.000000,430.294800,0.000000,1310.320250,833.333333,0.000000,833.333333,0.000000,0.000000,0.000000,46.692117,8250.000000,9000.000000,559.768811,0.000000,559.768811,476.986917,430.294800,0.000000,0.000000
2025-02-01,00:40-00:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.427100,484.268150,0.000000,424.410583,0.000000,1317.601483,833.333333,0.000000,833.333333,0.000000,0.000000,0.000000,59.857567,9000.000000,9750.000000,562.747594,0.000000,562.747594,484.268150,424.410583,0.000000,0.000000
2025-02-01,00:50-01:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.428500,468.208333,0.000000,406.051667,0.000000,468.208333,0.000000,0.000000,62.156667,0.000000,0.000000,0.000000,0.000000,9750.000000,9805.941000,200.627271,0.000000,200.627271,468.208333,406.051667,-62.156667,0.000000
2025-02-01,01:00-01:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.431100,490.438967,0.000000,436.750183,0.000000,490.438967,0.000000,0.000000,53.688783,0.000000,0.000000,0.000000,0.000000,9805.941000,9854.260905,211.428239,0.000000,211.428239,490.438967,436.750183,-53.688783,0.000000
2025-02-01,01:10-01:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.430200,492.043567,0.000000,451.797683,0.000000,492.043567,0.000000,0.000000,40.245883,0.000000,0.000000,0.000000,0.000000,9854.260905,9890.482200,211.677142,0.000000,211.677142,492.043567,451.797683,-40.245883,0.000000
2025-02-01,01:20-01:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.427900,465.505000,0.000000,446.080000,0.000000,798.838333,333.333333,0.000000,352.758333,0.000000,0.000000,0.000000,0.000000,9890.482200,10207.964700,341.822923,0.000000,341.822923,465.505000,446.080000,-19.425000,0.000000
2025-02-01,01:30-01:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.431200,494.272400,0.000000,471.766333,0.000000,494.272400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.506067,10207.964700,10207.964700,213.130259,0.000000,213.130259,494.272400,471.766333,0.000000,0.000000
2025-02-01,01:40-01:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.433300,505.689450,0.000000,448.025967,0.000000,505.689450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.663483,10207.964700,10207.964700,219.115239,0.000000,219.115239,505.689450,448.025967,0.000000,0.000000
2025-02-01,01:50-02:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.431100,516.238333,0.000000,397.403333,0.000000,516.238333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.835000,10207.964700,10207.964700,222.550345,0.000000,222.550345,516.238333,397.403333,0.000000,0.000000
2025-02-01,02:00-02:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.429300,501.905767,0.000000,434.090633,0.000000,501.905767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.815133,10207.964700,10207.964700,215.468146,0.000000,215.468146,501.905767,434.090633,0.000000,0.000000
2025-02-01,02:10-02:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.432400,514.926933,0.000000,490.560917,0.000000,514.926933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.366017,10207.964700,10207.964700,222.654406,0.000000,222.654406,514.926933,490.560917,0.000000,0.000000
2025-02-01,02:20-02:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.436700,510.430000,0.000000,503.220000,0.000000,510.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.210000,10207.964700,10207.964700,222.904781,0.000000,222.904781,510.430000,503.220000,0.000000,0.000000
2025-02-01,02:30-02:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.434800,514.736183,0.000000,474.072817,0.000000,514.736183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.663367,10207.964700,10207.964700,223.807293,0.000000,223.807293,514.736183,474.072817,0.000000,0.000000
2025-02-01,02:40-02:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.433500,526.834350,0.000000,461.384400,0.000000,526.834350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,65.449950,10207.964700,10207.964700,228.382691,0.000000,228.382691,526.834350,461.384400,0.000000,0.000000
2025-02-01,02:50-03:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.435700,549.000000,0.000000,476.941667,0.000000,549.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.058333,10207.964700,10207.964700,239.199300,0.000000,239.199300,549.000000,476.941667,0.000000,0.000000
2025-02-01,03:00-03:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.437400,557.118417,0.000000,483.399550,0.000000,557.118417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,73.718867,10207.964700,10207.964700,243.683595,0.000000,243.683595,557.118417,483.399550,0.000000,0.000000
2025-02-01,03:10-03:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.437100,548.105967,0.000000,486.601917,0.000000,548.105967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.504050,10207.964700,10207.964700,239.577118,0.000000,239.577118,548.105967,486.601917,0.000000,0.000000
2025-02-01,03:20-03:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.435600,543.326667,0.000000,498.848333,0.000000,543.326667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.478333,10207.964700,10207.964700,236.673096,0.000000,236.673096,543.326667,498.848333,0.000000,0.000000
2025-02-01,03:30-03:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.435300,529.700783,0.000000,518.309733,0.000000,529.700783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.391050,10207.964700,10207.964700,230.578751,0.000000,230.578751,529.700783,518.309733,0.000000,0.000000
2025-02-01,03:40-03:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.436000,534.372067,0.000000,509.133467,0.000000,534.372067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.238600,10207.964700,10207.964700,232.986221,0.000000,232.986221,534.372067,509.133467,0.000000,0.000000
2025-02-01,03:50-04:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.437800,562.975000,0.000000,483.616667,0.000000,562.975000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,79.358333,10207.964700,10207.964700,246.470455,0.000000,246.470455,562.975000,483.616667,0.000000,0.000000
