日期,阶段,内部时段,内部真实区间,模板显示区间,生效购电版本,实时截断边界,近端10分钟块数,远端30分钟块数,光伏预报批次,参数版本,电价,光伏预报特征电量,净负荷诊断0.8分位数,实际净负荷电量,实际负载电量,实际光伏电量,0点初始计划,最终有效购电,增购差额,减购差额,实际充电量,实际放电量,紧急购电量,弃光量,未利用有效购电量,时段初储电量,时段末储电量,初始计划费,增购费,减购退费,减购违约费,紧急购电费,时段实际总费
2025-01-01,初始化,1,00:00-00:10,0:10-0:20,00:00版本,06:00,6,10,00:00批次,均衡重采样,0.424800,0.000000,573.307767,588.288267,588.288267,0.000000,1406.641100,1406.641100,0.000000,0.000000,818.352833,0.000000,0.000000,0.000000,0.000000,6000.000000,6736.517550,597.541139,0.000000,0.000000,0.000000,0.000000,597.541139
2025-01-01,初始化,2,00:10-00:20,0:20-0:30,00:00版本,06:00,6,10,00:00批次,均衡重采样,0.424500,0.000000,572.996533,601.588117,601.588117,0.000000,1406.329867,1406.329867,0.000000,0.000000,804.741750,0.000000,0.000000,0.000000,0.000000,6736.517550,7460.785125,596.987028,0.000000,0.000000,0.000000,0.000000,596.987028
2025-01-01,初始化,3,00:20-00:30,0:30-0:40,00:00版本,06:00,6,10,00:00批次,均衡重采样,0.426900,0.000000,574.050517,621.093333,621.093333,0.000000,1407.383850,1407.383850,0.000000,0.000000,786.290517,0.000000,0.000000,0.000000,0.000000,7460.785125,8168.446590,600.812166,0.000000,0.000000,0.000000,0.000000,600.812166
2025-01-01,初始化,4,00:30-00:40,0:40-0:50,00:00版本,06:00,6,9,00:00批次,均衡重采样,0.427200,0.000000,575.740617,585.105183,585.105183,0.000000,1409.073950,1409.073950,0.000000,0.000000,823.968767,0.000000,0.000000,0.000000,0.000000,8168.446590,8910.018480,601.956391,0.000000,0.000000,0.000000,0.000000,601.956391
2025-01-01,初始化,5,00:40-00:50,0:50-1:00,00:00版本,06:00,6,9,00:00批次,均衡重采样,0.427100,0.000000,576.471217,583.760417,583.760417,0.000000,1409.804550,1409.804550,0.000000,0.000000,826.044133,0.000000,0.000000,0.000000,0.000000,8910.018480,9653.458200,602.127523,0.000000,0.000000,0.000000,0.000000,602.127523
2025-01-01,初始化,6,00:50-01:00,1:00-1:10,00:00版本,06:00,6,9,00:00批次,均衡重采样,0.428500,0.000000,576.640017,631.168333,631.168333,0.000000,576.640017,576.640017,0.000000,0.000000,0.000000,54.528317,0.000000,0.000000,0.000000,9653.458200,9592.871181,247.090247,0.000000,0.000000,0.000000,0.000000,247.090247
2025-01-01,初始化,7,01:00-01:10,1:10-1:20,00:00版本,06:00,6,8,00:00批次,均衡重采样,0.431100,0.000000,577.859700,650.053417,650.053417,0.000000,577.859700,577.859700,0.000000,0.000000,0.000000,72.193717,0.000000,0.000000,0.000000,9592.871181,9512.655941,249.115317,0.000000,0.000000,0.000000,0.000000,249.115317
2025-01-01,初始化,8,01:10-01:20,1:20-1:30,00:00版本,06:00,6,8,00:00批次,均衡重采样,0.430200,0.000000,577.993867,652.806267,652.806267,0.000000,577.993867,577.993867,0.000000,0.000000,0.000000,74.812400,0.000000,0.000000,0.000000,9512.655941,9429.531052,248.652961,0.000000,0.000000,0.000000,0.000000,248.652961
2025-01-01,初始化,9,01:20-01:30,1:30-1:40,00:00版本,06:00,6,8,00:00批次,均衡重采样,0.427900,0.000000,577.828050,636.213333,636.213333,0.000000,911.161383,911.161383,0.000000,0.000000,274.948050,0.000000,0.000000,0.000000,0.000000,9429.531052,9676.984297,389.885956,0.000000,0.000000,0.000000,0.000000,389.885956
2025-01-01,初始化,10,01:30-01:40,1:40-1:50,00:00版本,06:00,6,7,00:00批次,均衡重采样,0.431200,0.000000,580.415450,588.835600,588.835600,0.000000,580.415450,580.415450,0.000000,0.000000,0.000000,8.420150,0.000000,0.000000,0.000000,9676.984297,9667.628575,250.275142,0.000000,0.000000,0.000000,0.000000,250.275142
