日期,真实时间段,实际充电量（kWh）,实际放电量（kWh）,时刻,实际储电量（kWh）
2025-03-20,0:00-4:00,4518.370367,320.784783,,
2025-03-20,4:00-8:00,652.344191,4600.607617,,
2025-03-20,8:00-12:00,4916.282165,2777.377217,,
2025-03-20,12:00-16:00,4098.146951,500.239159,,
2025-03-20,16:00-20:00,91.819583,5291.336145,,
2025-03-20,20:00-24:00,5394.909067,2443.871662,,
2025-03-20,,,,00:00,6000.000000
2025-03-20,,,,24:00,6000.000000
2025-06-21,0:00-4:00,59.687617,434.560450,,
2025-06-21,4:00-8:00,652.576985,3879.585951,,
2025-06-21,8:00-12:00,4975.338703,0.000000,,
2025-06-21,12:00-16:00,4753.974667,0.000000,,
2025-06-21,16:00-20:00,82.112332,5679.030991,,
2025-06-21,20:00-24:00,4915.557268,2613.256670,,
2025-06-21,,,,00:00,5992.299001
2025-06-21,,,,24:00,5880.472859
2025-09-23,0:00-4:00,4679.254967,133.874433,,
2025-09-23,4:00-8:00,529.574739,6721.476516,,
2025-09-23,8:00-12:00,4002.717476,1687.190079,,
2025-09-23,12:00-16:00,6661.691263,638.260617,,
2025-09-23,16:00-20:00,28.649500,5599.725940,,
2025-09-23,20:00-24:00,5435.492702,2502.750739,,
2025-09-23,,,,00:00,6000.000000
2025-09-23,,,,24:00,6000.000000
2025-12-21,0:00-4:00,4696.875681,185.968383,,
2025-12-21,4:00-8:00,1720.984711,1483.645430,,
2025-12-21,8:00-12:00,5538.121950,7442.652170,,
2025-12-21,12:00-16:00,7356.911141,2394.386440,,
2025-12-21,16:00-20:00,194.034183,5767.294141,,
2025-12-21,20:00-24:00,5285.386516,2740.715505,,
2025-12-21,,,,00:00,5886.252437
2025-12-21,,,,24:00,5960.821791
