内部时段序号,内部真实区间,附件1/2结束时刻口径区间,模板列,模板列号,模板显示区间,映射说明
1,00:00-00:10,00:00-00:10,B,2,0:10-0:20,数值不循环移动；末段仍归本日期
2,00:10-00:20,00:10-00:20,C,3,0:20-0:30,数值不循环移动；末段仍归本日期
3,00:20-00:30,00:20-00:30,D,4,0:30-0:40,数值不循环移动；末段仍归本日期
4,00:30-00:40,00:30-00:40,E,5,0:40-0:50,数值不循环移动；末段仍归本日期
5,00:40-00:50,00:40-00:50,F,6,0:50-1:00,数值不循环移动；末段仍归本日期
6,00:50-01:00,00:50-01:00,G,7,1:00-1:10,数值不循环移动；末段仍归本日期
7,01:00-01:10,01:00-01:10,H,8,1:10-1:20,数值不循环移动；末段仍归本日期
8,01:10-01:20,01:10-01:20,I,9,1:20-1:30,数值不循环移动；末段仍归本日期
9,01:20-01:30,01:20-01:30,J,10,1:30-1:40,数值不循环移动；末段仍归本日期
10,01:30-01:40,01:30-01:40,K,11,1:40-1:50,数值不循环移动；末段仍归本日期
11,01:40-01:50,01:40-01:50,L,12,1:50-2:00,数值不循环移动；末段仍归本日期
12,01:50-02:00,01:50-02:00,M,13,2:00-2:10,数值不循环移动；末段仍归本日期
13,02:00-02:10,02:00-02:10,N,14,2:10-2:20,数值不循环移动；末段仍归本日期
14,02:10-02:20,02:10-02:20,O,15,2:20-2:30,数值不循环移动；末段仍归本日期
15,02:20-02:30,02:20-02:30,P,16,2:30-2:40,数值不循环移动；末段仍归本日期
16,02:30-02:40,02:30-02:40,Q,17,2:40-2:50,数值不循环移动；末段仍归本日期
17,02:40-02:50,02:40-02:50,R,18,2:50-3:00,数值不循环移动；末段仍归本日期
18,02:50-03:00,02:50-03:00,S,19,3:00-3:10,数值不循环移动；末段仍归本日期
19,03:00-03:10,03:00-03:10,T,20,3:10-3:20,数值不循环移动；末段仍归本日期
20,03:10-03:20,03:10-03:20,U,21,3:20-3:30,数值不循环移动；末段仍归本日期
