日期,时间段,充电量（kWh）,放电量（kWh）,时刻,储电量（kWh）
2025-03-20,0:00-4:00,4530.786433,24.937011,,
2025-03-20,4:00-8:00,1123.132160,5038.257517,,
2025-03-20,8:00-12:00,4724.606076,2777.377217,,
2025-03-20,12:00-16:00,4948.999439,254.722783,,
2025-03-20,16:00-20:00,28.616917,6496.944150,,
2025-03-20,20:00-24:00,5323.836276,2158.542936,,
2025-03-20,,,,00:00,6000.000000
2025-03-20,,,,24:00,6000.000000
2025-06-21,0:00-4:00,268.254850,2917.594983,,
2025-06-21,4:00-8:00,1047.837651,1726.134617,,
2025-06-21,8:00-12:00,9318.528733,0.000000,,
2025-06-21,12:00-16:00,431.711605,0.000000,,
2025-06-21,16:00-20:00,0.000000,5767.211400,,
2025-06-21,20:00-24:00,4894.858230,2517.623767,,
2025-06-21,,,,00:00,6000.000000
2025-06-21,,,,24:00,6000.000000
2025-09-23,0:00-4:00,3384.044400,34.759517,,
2025-09-23,4:00-8:00,2039.629942,6154.267233,,
2025-09-23,8:00-12:00,4845.476325,1896.615717,,
2025-09-23,12:00-16:00,5245.639305,161.337410,,
2025-09-23,16:00-20:00,31.441767,6058.067067,,
2025-09-23,20:00-24:00,5268.266628,2554.696733,,
2025-09-23,,,,00:00,6000.000000
2025-09-23,,,,24:00,6000.000000
2025-12-21,0:00-4:00,5333.333333,0.000000,,
2025-12-21,4:00-8:00,0.000000,789.651250,,
2025-12-21,8:00-12:00,4683.553757,7177.079550,,
2025-12-21,12:00-16:00,7940.224625,2259.297650,,
2025-12-21,16:00-20:00,0.948100,5679.063717,,
2025-12-21,20:00-24:00,5166.083148,2825.463633,,
2025-12-21,,,,00:00,6000.000000
2025-12-21,,,,24:00,6000.000000
