日期,紧急购电时间段,紧急购电量（kWh）
2025-03-20,01:10-01:20,11.650108
2025-03-20,03:30-03:40,3.390831
2025-03-20,04:50-05:20,21.768667
2025-03-20,15:20-16:20,64.761500
2025-03-20,16:30-16:50,8.196750
2025-03-20,18:00-18:20,7.141367
2025-03-20,18:50-19:10,28.852400
2025-03-20,20:10-20:20,4.191664
2025-06-21,无,0.000000
2025-09-23,07:10-07:20,37.484617
2025-09-23,14:30-14:50,242.287506
2025-09-23,15:00-15:10,45.009517
2025-09-23,15:20-15:30,1.077917
2025-09-23,15:50-16:20,80.573017
2025-09-23,16:30-17:00,27.648233
2025-09-23,17:30-17:50,30.372250
2025-09-23,18:10-18:40,42.897100
2025-09-23,20:10-20:20,10.234367
2025-12-21,03:00-03:20,12.521250
2025-12-21,03:30-03:50,77.347700
2025-12-21,05:50-06:00,4.360000
2025-12-21,12:50-13:10,58.186183
2025-12-21,15:50-16:00,3.197917
2025-12-21,16:20-16:30,8.705417
2025-12-21,17:20-17:30,8.866667
2025-12-21,18:10-18:20,1.135350
2025-12-21,18:30-19:10,34.522400
2025-12-21,19:50-20:10,61.098483
