日期,阶段,预测历史截止,调参历史截止,负载先验回退,光伏先验回退,电价先验回退,负载衰减天数,光伏衰减天数,价格水平权重,价格形态衰减天数,终端惩罚,求解路径,求解状态,MIP相对间隙,日内滚动求解次数,日初储电量,计划日末储电量,实际日末储电量,计划购电费（预测口径）,计划购电费（实际口径）,紧急购电费,实际总购电费,电价MAE,净负荷MAE,净负荷0.8分位数损失,净负荷覆盖率,紧急购电费占比,紧急购电量,未利用计划购电量,未利用计划购电对应费用（实际电价，已含在计划费用中）,实际弃光量,计划与实际充电量之差,计划与实际放电量之差,实际减计划日末储电量,计划与实际末态偏差恒等式残差
2025-01-01,初始化,附件1,预设参数,是,是,是,14.0,14.0,0.6-0.3-0.1,14,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,5661.136373,35127.262348,39622.832641,205694.098398,245316.931039,0.162658,253.718142,202.886108,0.020833,0.838483,34593.412341,18.814533,7.742651,0.000000,8491.593482,6573.213456,-338.863627,5.4569682106375694e-12
2025-01-02,初始化,2025-01-01,2025-01-01,否,否,否,14.0,14.0,0.6-0.3-0.1,14,1.322558818939717,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,5661.136373,6000.000000,5944.373769,61386.097036,73848.322654,8158.136934,82006.459587,0.160938,28.586379,16.064192,0.416667,0.099482,1446.829931,643.580667,376.108638,0.000000,-17.009150,-63.841019,-55.626231,-1.5774048733874224e-12
2025-01-03,初始化,2025-01-02,2025-01-02,是,否,否,14.0,14.0,0.6-0.3-0.1,14,1.3269949046250435,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,5944.373769,6000.000000,6000.000000,49085.508999,46197.609086,0.000000,46197.609086,0.063632,217.598469,43.711170,0.986111,0.000000,0.000000,27132.952907,14926.477376,6305.779883,11560.325473,9363.863633,0.000000,3.637978807091713e-12
2025-01-04,初始化,2025-01-03,2025-01-03,否,否,否,14.0,14.0,1,7,1.3853907107136096,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,5735.461995,25683.355050,23868.584878,2766.259963,26634.844841,0.052932,40.534086,14.023877,0.597222,0.103859,720.407433,3481.914277,1591.833775,613.721633,739.076610,360.567850,-264.538005,5.002220859751105e-12
2025-01-05,初始化,2025-01-04,2025-01-04,否,否,否,14.0,14.0,1,7,1.425621544731699,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,5735.461995,6000.000000,5994.696426,62315.371473,76965.405651,948.476404,77913.882055,0.159226,34.847673,9.061434,0.756944,0.012173,256.682283,4465.770766,3399.229216,5.737500,1032.103066,831.230267,-5.303574,-2.2737367544323206e-12
2025-01-06,初始化,2025-01-05,2025-01-05,否,否,否,14.0,3.0,1,7,1.393911920432455,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,5994.696426,6000.000000,6000.000000,62514.461314,76895.686945,550.172776,77445.859721,0.163022,36.439601,8.895760,0.812500,0.007104,104.081500,4702.363240,3684.106995,45.330983,884.596790,716.523400,0.000000,-2.8421709430404007e-12
2025-01-07,初始化,2025-01-06,2025-01-06,否,否,否,14.0,3.0,1,7,1.3793054689018212,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,62774.119035,76852.059042,3518.603531,80370.662574,0.157376,36.930177,13.478297,0.756944,0.043780,632.182178,3221.624442,2211.489227,42.728383,1255.318759,1016.808195,0.000000,-3.183231456205249e-12
2025-01-08,初始化,2025-01-07,2025-01-07,否,否,否,14.0,5.0,1,7,1.64781706273176,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,5997.346296,77076.628875,76627.279634,1252.572082,77879.851716,0.031166,50.703132,11.899392,0.819444,0.016083,336.644800,6982.482172,5560.140772,83.482833,1420.465905,1148.189050,-2.653704,6.821210263296962e-13
2025-01-09,初始化,2025-01-08,2025-01-08,否,否,否,14.0,14.0,1,7,1.641101718029152,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,5997.346296,6000.000000,6000.000000,76273.798983,76363.080474,647.928166,77011.008640,0.032471,34.607717,8.779929,0.791667,0.008413,174.726462,4468.286357,3358.465819,15.167117,1143.372340,926.131595,0.000000,-4.774847184307873e-12
2025-01-10,初始化,2025-01-09,2025-01-09,否,否,否,14.0,14.0,1,7,1.2996320321383468,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,26111.896601,24685.388574,303.836034,24989.224607,0.049632,34.854231,9.003458,0.805556,0.012159,128.083450,3797.832505,1725.395043,556.050800,960.234239,777.789733,0.000000,-2.6147972675971687e-12
