日期,时间段,训练样本最晚日期,参数验证最晚日期,负载预测来源,光伏预测来源,电价预测来源,价格水平权重,价格形态衰减天数,预测电价（元/kWh）,实际电价（元/kWh）,预测负载电量（kWh）,预测光伏电量（kWh）,实际负载电量（kWh）,实际光伏电量（kWh）,计划购电量（kWh）,计划充电量（kWh）,计划放电量（kWh）,实际充电量（kWh）,实际放电量（kWh）,紧急购电量（kWh）,实际弃光量（kWh）,未利用计划购电量（kWh）,时段初储电量（kWh）,时段末储电量（kWh）,时段计划购电费（元）,时段紧急购电费（元）,时段总购电费（元）,预测净负荷（kWh）,实际净负荷（kWh）,计划与实际充电量之差（kWh）,计划与实际放电量之差（kWh）
2025-02-01,00:00-00:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.344277,0.328100,454.325433,0.000000,422.030367,0.000000,1287.658767,833.333333,0.000000,833.333333,0.000000,0.000000,0.000000,32.295067,6000.000000,6750.000000,422.480841,0.000000,422.480841,454.325433,422.030367,0.000000,0.000000
2025-02-01,00:10-00:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.343391,0.325700,475.925067,0.000000,415.407317,0.000000,1309.258400,833.333333,0.000000,833.333333,0.000000,0.000000,0.000000,60.517750,6750.000000,7500.000000,426.425461,0.000000,426.425461,475.925067,415.407317,0.000000,0.000000
2025-02-01,00:20-00:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.339036,0.304100,478.845000,0.000000,410.716667,0.000000,1312.178333,833.333333,0.000000,833.333333,0.000000,0.000000,0.000000,68.128333,7500.000000,8250.000000,399.033431,0.000000,399.033431,478.845000,410.716667,0.000000,0.000000
2025-02-01,00:30-00:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.339799,0.312600,476.986917,0.000000,430.294800,0.000000,1310.320250,833.333333,0.000000,833.333333,0.000000,0.000000,0.000000,46.692117,8250.000000,9000.000000,409.606110,0.000000,409.606110,476.986917,430.294800,0.000000,0.000000
2025-02-01,00:40-00:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.347871,0.328600,484.268150,0.000000,424.410583,0.000000,1317.601483,833.333333,0.000000,833.333333,0.000000,0.000000,0.000000,59.857567,9000.000000,9750.000000,432.963847,0.000000,432.963847,484.268150,424.410583,0.000000,0.000000
2025-02-01,00:50-01:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.356623,0.343800,468.208333,0.000000,406.051667,0.000000,468.208333,0.000000,0.000000,62.156667,0.000000,0.000000,0.000000,0.000000,9750.000000,9805.941000,160.970025,0.000000,160.970025,468.208333,406.051667,-62.156667,0.000000
2025-02-01,01:00-01:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.356363,0.370400,490.438967,0.000000,436.750183,0.000000,490.438967,0.000000,0.000000,53.688783,0.000000,0.000000,0.000000,0.000000,9805.941000,9854.260905,181.658593,0.000000,181.658593,490.438967,436.750183,-53.688783,0.000000
2025-02-01,01:10-01:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.353624,0.374600,492.043567,0.000000,451.797683,0.000000,492.043567,0.000000,0.000000,40.245883,0.000000,0.000000,0.000000,0.000000,9854.260905,9890.482200,184.319520,0.000000,184.319520,492.043567,451.797683,-40.245883,0.000000
2025-02-01,01:20-01:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.355947,0.360600,465.505000,0.000000,446.080000,0.000000,465.505000,0.000000,0.000000,19.425000,0.000000,0.000000,0.000000,0.000000,9890.482200,9907.964700,167.861103,0.000000,167.861103,465.505000,446.080000,-19.425000,0.000000
2025-02-01,01:30-01:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.363588,0.358200,494.272400,0.000000,471.766333,0.000000,494.272400,0.000000,0.000000,22.506067,0.000000,0.000000,0.000000,0.000000,9907.964700,9928.220160,177.048374,0.000000,177.048374,494.272400,471.766333,-22.506067,0.000000
2025-02-01,01:40-01:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.361615,0.304100,505.689450,0.000000,448.025967,0.000000,505.689450,0.000000,0.000000,57.663483,0.000000,0.000000,0.000000,0.000000,9928.220160,9980.117295,153.780162,0.000000,153.780162,505.689450,448.025967,-57.663483,0.000000
2025-02-01,01:50-02:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.353525,0.253700,516.238333,0.000000,397.403333,0.000000,849.571667,333.333333,0.000000,452.168333,0.000000,0.000000,0.000000,0.000000,9980.117295,10387.068795,215.536332,0.000000,215.536332,516.238333,397.403333,-118.835000,0.000000
2025-02-01,02:00-02:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.357936,0.334600,501.905767,0.000000,434.090633,0.000000,501.905767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.815133,10387.068795,10387.068795,167.937670,0.000000,167.937670,501.905767,434.090633,0.000000,0.000000
2025-02-01,02:10-02:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.365475,0.397100,514.926933,0.000000,490.560917,0.000000,514.926933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.366017,10387.068795,10387.068795,204.477485,0.000000,204.477485,514.926933,490.560917,0.000000,0.000000
2025-02-01,02:20-02:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.367916,0.367000,510.430000,0.000000,503.220000,0.000000,510.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.210000,10387.068795,10387.068795,187.327810,0.000000,187.327810,510.430000,503.220000,0.000000,0.000000
2025-02-01,02:30-02:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.367499,0.318500,514.736183,0.000000,474.072817,0.000000,514.736183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.663367,10387.068795,10387.068795,163.943474,0.000000,163.943474,514.736183,474.072817,0.000000,0.000000
2025-02-01,02:40-02:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.374361,0.328500,526.834350,0.000000,461.384400,0.000000,526.834350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,65.449950,10387.068795,10387.068795,173.065084,0.000000,173.065084,526.834350,461.384400,0.000000,0.000000
2025-02-01,02:50-03:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.384601,0.377200,549.000000,0.000000,476.941667,0.000000,549.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.058333,10387.068795,10387.068795,207.082800,0.000000,207.082800,549.000000,476.941667,0.000000,0.000000
2025-02-01,03:00-03:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.384206,0.381500,557.118417,0.000000,483.399550,0.000000,557.118417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,73.718867,10387.068795,10387.068795,212.540676,0.000000,212.540676,557.118417,483.399550,0.000000,0.000000
2025-02-01,03:10-03:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.382029,0.382200,548.105967,0.000000,486.601917,0.000000,548.105967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.504050,10387.068795,10387.068795,209.486100,0.000000,209.486100,548.105967,486.601917,0.000000,0.000000
2025-02-01,03:20-03:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.382137,0.396200,543.326667,0.000000,498.848333,0.000000,543.326667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.478333,10387.068795,10387.068795,215.266025,0.000000,215.266025,543.326667,498.848333,0.000000,0.000000
2025-02-01,03:30-03:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.380851,0.387900,529.700783,0.000000,518.309733,0.000000,529.700783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.391050,10387.068795,10387.068795,205.470934,0.000000,205.470934,529.700783,518.309733,0.000000,0.000000
2025-02-01,03:40-03:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.385552,0.340500,534.372067,0.000000,509.133467,0.000000,534.372067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.238600,10387.068795,10387.068795,181.953689,0.000000,181.953689,534.372067,509.133467,0.000000,0.000000
2025-02-01,03:50-04:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.393388,0.316400,562.975000,0.000000,483.616667,0.000000,562.975000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,79.358333,10387.068795,10387.068795,178.125290,0.000000,178.125290,562.975000,483.616667,0.000000,0.000000
2025-02-01,04:00-04:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.392523,0.391600,571.682400,0.000000,491.186800,0.000000,571.682400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,80.495600,10387.068795,10387.068795,223.870828,0.000000,223.870828,571.682400,491.186800,0.000000,0.000000
2025-02-01,04:10-04:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.387684,0.410900,557.533133,0.000000,504.645283,0.000000,557.533133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.887850,10387.068795,10387.068795,229.090364,0.000000,229.090364,557.533133,504.645283,0.000000,0.000000
2025-02-01,04:20-04:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.387130,0.361000,535.505000,0.000000,505.578333,0.000000,535.505000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.926667,10387.068795,10387.068795,193.317305,0.000000,193.317305,535.505000,505.578333,0.000000,0.000000
2025-02-01,04:30-04:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.394291,0.379900,561.809817,0.000000,503.230967,0.000000,561.809817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58.578850,10387.068795,10387.068795,213.431549,0.000000,213.431549,561.809817,503.230967,0.000000,0.000000
2025-02-01,04:40-04:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.396448,0.409400,586.961350,0.000000,502.846983,0.000000,586.961350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.114367,10387.068795,10387.068795,240.301977,0.000000,240.301977,586.961350,502.846983,0.000000,0.000000
2025-02-01,04:50-05:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.392606,0.405200,566.513333,0.000000,499.641667,0.000000,566.513333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.871667,10387.068795,10387.068795,229.551203,0.000000,229.551203,566.513333,499.641667,0.000000,0.000000
2025-02-01,05:00-05:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.394925,0.389600,566.902950,0.000000,488.783583,0.000000,566.902950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,78.119367,10387.068795,10387.068795,220.865389,0.000000,220.865389,566.902950,488.783583,0.000000,0.000000
2025-02-01,05:10-05:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.403869,0.390800,572.697150,0.000000,498.518750,0.000000,572.697150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.178400,10387.068795,10387.068795,223.810046,0.000000,223.810046,572.697150,498.518750,0.000000,0.000000
2025-02-01,05:20-05:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.388454,0.382100,584.615000,0.000000,529.223333,0.000000,584.615000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.391667,10387.068795,10387.068795,223.381392,0.000000,223.381392,584.615000,529.223333,0.000000,0.000000
2025-02-01,05:30-05:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.350854,0.347500,579.532400,0.000000,547.410317,0.000000,1412.865733,833.333333,0.000000,458.812450,0.000000,0.000000,0.000000,406.642967,10387.068795,10800.000000,490.970842,0.000000,490.970842,579.532400,547.410317,374.520883,0.000000
2025-02-01,05:40-05:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,历史实际电价,1,28,0.522267,0.518200,564.938700,0.000000,531.227400,0.000000,564.938700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.711300,10800.000000,10800.000000,292.751234,0.000000,292.751234,564.938700,531.227400,0.000000,0.000000
