日期,阶段,内部时段,内部真实区间,模板显示区间,生效购电版本,0点预测电价,实际结算电价,实际负载电量,实际光伏电量,实际净负荷电量,0点初始计划,最终有效购电,增购差额,减购差额,实际充电量,实际放电量,紧急购电量,弃光量,未利用有效购电量,时段初储电量,时段末储电量,初始计划费,增购费,减购退费,减购违约费,紧急购电费,时段实际总费
2025-01-01,初始化,1,00:00-00:10,0:10-0:20,00:00版本,0.424800,0.452700,588.288267,0.000000,588.288267,1406.641100,1406.641100,0.000000,0.000000,818.352833,0.000000,0.000000,0.000000,0.000000,6000.000000,6736.517550,636.786426,0.000000,0.000000,0.000000,0.000000,636.786426
2025-01-01,初始化,2,00:10-00:20,0:20-0:30,00:00版本,0.424500,0.473300,601.588117,0.000000,601.588117,1406.329867,1406.329867,0.000000,0.000000,804.741750,0.000000,0.000000,0.000000,0.000000,6736.517550,7460.785125,665.615926,0.000000,0.000000,0.000000,0.000000,665.615926
2025-01-01,初始化,3,00:20-00:30,0:30-0:40,00:00版本,0.426900,0.484300,621.093333,0.000000,621.093333,1407.383850,1407.383850,0.000000,0.000000,786.290517,0.000000,0.000000,0.000000,0.000000,7460.785125,8168.446590,681.595999,0.000000,0.000000,0.000000,0.000000,681.595999
2025-01-01,初始化,4,00:30-00:40,0:40-0:50,00:00版本,0.427200,0.454100,585.105183,0.000000,585.105183,1409.073950,1409.073950,0.000000,0.000000,823.968767,0.000000,0.000000,0.000000,0.000000,8168.446590,8910.018480,639.860481,0.000000,0.000000,0.000000,0.000000,639.860481
2025-01-01,初始化,5,00:40-00:50,0:50-1:00,00:00版本,0.427100,0.426600,583.760417,0.000000,583.760417,1409.804550,1409.804550,0.000000,0.000000,826.044133,0.000000,0.000000,0.000000,0.000000,8910.018480,9653.458200,601.422621,0.000000,0.000000,0.000000,0.000000,601.422621
2025-01-01,初始化,6,00:50-01:00,1:00-1:10,00:00版本,0.428500,0.431100,631.168333,0.000000,631.168333,576.640017,576.640017,0.000000,0.000000,0.000000,54.528317,0.000000,0.000000,0.000000,9653.458200,9592.871181,248.589511,0.000000,0.000000,0.000000,0.000000,248.589511
2025-01-01,初始化,7,01:00-01:10,1:10-1:20,00:00版本,0.431100,0.454400,650.053417,0.000000,650.053417,577.859700,577.859700,0.000000,0.000000,0.000000,72.193717,0.000000,0.000000,0.000000,9592.871181,9512.655941,262.579448,0.000000,0.000000,0.000000,0.000000,262.579448
2025-01-01,初始化,8,01:10-01:20,1:20-1:30,00:00版本,0.430200,0.448300,652.806267,0.000000,652.806267,577.993867,577.993867,0.000000,0.000000,0.000000,74.812400,0.000000,0.000000,0.000000,9512.655941,9429.531052,259.114650,0.000000,0.000000,0.000000,0.000000,259.114650
2025-01-01,初始化,9,01:20-01:30,1:30-1:40,00:00版本,0.427900,0.425100,636.213333,0.000000,636.213333,911.161383,911.161383,0.000000,0.000000,274.948050,0.000000,0.000000,0.000000,0.000000,9429.531052,9676.984297,387.334704,0.000000,0.000000,0.000000,0.000000,387.334704
2025-01-01,初始化,10,01:30-01:40,1:40-1:50,00:00版本,0.431200,0.444000,588.835600,0.000000,588.835600,580.415450,580.415450,0.000000,0.000000,0.000000,8.420150,0.000000,0.000000,0.000000,9676.984297,9667.628575,257.704460,0.000000,0.000000,0.000000,0.000000,257.704460
2025-01-01,初始化,11,01:40-01:50,1:50-2:00,00:00版本,0.433300,0.478000,615.776883,0.000000,615.776883,582.514017,582.514017,0.000000,0.000000,0.000000,33.262867,0.000000,0.000000,0.000000,9667.628575,9630.669834,278.441700,0.000000,0.000000,0.000000,0.000000,278.441700
2025-01-01,初始化,12,01:50-02:00,2:00-2:10,00:00版本,0.431100,0.494100,677.455000,0.000000,677.455000,583.074050,583.074050,0.000000,0.000000,0.000000,94.380950,0.000000,0.000000,0.000000,9630.669834,9525.802112,288.096888,0.000000,0.000000,0.000000,0.000000,288.096888
2025-01-01,初始化,13,02:00-02:10,2:10-2:20,00:00版本,0.429300,0.484000,635.111833,0.000000,635.111833,584.204917,584.204917,0.000000,0.000000,0.000000,50.906917,0.000000,0.000000,0.000000,9525.802112,9469.238871,282.755180,0.000000,0.000000,0.000000,0.000000,282.755180
2025-01-01,初始化,14,02:10-02:20,2:20-2:30,00:00版本,0.432400,0.475100,640.824917,0.000000,640.824917,585.439783,585.439783,0.000000,0.000000,0.000000,55.385133,0.000000,0.000000,0.000000,9469.238871,9407.699834,278.142441,0.000000,0.000000,0.000000,0.000000,278.142441
2025-01-01,初始化,15,02:20-02:30,2:30-2:40,00:00版本,0.436700,0.488000,705.770000,0.000000,705.770000,586.144750,586.144750,0.000000,0.000000,0.000000,119.625250,0.000000,0.000000,0.000000,9407.699834,9274.782889,286.038638,0.000000,0.000000,0.000000,0.000000,286.038638
2025-01-01,初始化,16,02:30-02:40,2:40-2:50,00:00版本,0.434800,0.521500,684.995917,0.000000,684.995917,586.320767,586.320767,0.000000,0.000000,0.000000,98.675150,0.000000,0.000000,0.000000,9274.782889,9165.143834,305.766280,0.000000,0.000000,0.000000,0.000000,305.766280
2025-01-01,初始化,17,02:40-02:50,2:50-3:00,00:00版本,0.433500,0.549800,666.149083,0.000000,666.149083,586.425300,586.425300,0.000000,0.000000,0.000000,79.723783,0.000000,0.000000,0.000000,9165.143834,9076.561852,322.416630,0.000000,0.000000,0.000000,0.000000,322.416630
2025-01-01,初始化,18,02:50-03:00,3:00-3:10,00:00版本,0.435700,0.547100,683.698333,0.000000,683.698333,586.849600,586.849600,0.000000,0.000000,0.000000,96.848733,0.000000,0.000000,0.000000,9076.561852,8968.952149,321.065416,0.000000,0.000000,0.000000,0.000000,321.065416
2025-01-01,初始化,19,03:00-03:10,3:10-3:20,00:00版本,0.437400,0.506700,681.009617,0.000000,681.009617,587.821017,587.821017,0.000000,0.000000,0.000000,93.188600,0.000000,0.000000,0.000000,8968.952149,8865.409260,297.848909,0.000000,0.000000,0.000000,0.000000,297.848909
2025-01-01,初始化,20,03:10-03:20,3:20-3:30,00:00版本,0.437100,0.476900,688.960433,0.000000,688.960433,589.547567,589.547567,0.000000,0.000000,0.000000,99.412867,0.000000,0.000000,0.000000,8865.409260,8754.950519,281.155235,0.000000,0.000000,0.000000,0.000000,281.155235
2025-01-01,初始化,21,03:20-03:30,3:30-3:40,00:00版本,0.435600,0.466900,696.530000,0.000000,696.530000,590.813467,590.813467,0.000000,0.000000,0.000000,105.716533,0.000000,0.000000,0.000000,8754.950519,8637.487704,275.850808,0.000000,0.000000,0.000000,0.000000,275.850808
2025-01-01,初始化,22,03:30-03:40,3:40-3:50,00:00版本,0.435300,0.450100,658.895183,0.000000,658.895183,590.213117,590.213117,0.000000,0.000000,0.000000,68.682067,0.000000,0.000000,0.000000,8637.487704,8561.174297,265.654924,0.000000,0.000000,0.000000,0.000000,265.654924
2025-01-01,初始化,23,03:40-03:50,3:50-4:00,00:00版本,0.436000,0.460800,651.791600,0.000000,651.791600,591.066267,591.066267,0.000000,0.000000,0.000000,60.725333,0.000000,0.000000,0.000000,8561.174297,8493.701704,272.363336,0.000000,0.000000,0.000000,0.000000,272.363336
2025-01-01,初始化,24,03:50-04:00,4:00-4:10,00:00版本,0.437800,0.492700,683.218333,0.000000,683.218333,593.367833,593.367833,0.000000,0.000000,0.000000,89.850500,0.000000,0.000000,0.000000,8493.701704,8393.867815,292.352331,0.000000,0.000000,0.000000,0.000000,292.352331
2025-01-01,初始化,25,04:00-04:10,4:10-4:20,00:00版本,0.440100,0.497600,687.310383,0.000000,687.310383,593.659683,593.659683,0.000000,0.000000,0.000000,93.650700,0.000000,0.000000,0.000000,8393.867815,8289.811482,295.405058,0.000000,0.000000,0.000000,0.000000,295.405058
2025-01-01,初始化,26,04:10-04:20,4:20-4:30,00:00版本,0.438900,0.488900,694.834467,0.000000,694.834467,592.786383,592.786383,0.000000,0.000000,0.000000,102.048083,0.000000,0.000000,0.000000,8289.811482,8176.424723,289.813263,0.000000,0.000000,0.000000,0.000000,289.813263
