日期,真实时间段,实际充电量（kWh）,实际放电量（kWh）,时刻,实际储电量（kWh）
2025-03-20,0:00-4:00,4491.730883,292.938117,,
2025-03-20,4:00-8:00,1238.690848,5171.172983,,
2025-03-20,8:00-12:00,4911.814963,2777.377217,,
2025-03-20,12:00-16:00,4208.765974,500.239159,,
2025-03-20,16:00-20:00,120.415396,6309.088695,,
2025-03-20,20:00-24:00,5399.838264,1449.901454,,
2025-03-20,,,,00:00,6000.000000
2025-03-20,,,,24:00,6000.000000
2025-06-21,0:00-4:00,68.542367,3344.366133,,
2025-06-21,4:00-8:00,1528.920582,1678.019560,,
2025-06-21,8:00-12:00,5234.122838,0.000000,,
2025-06-21,12:00-16:00,4481.883914,0.000000,,
2025-06-21,16:00-20:00,105.794699,5691.854748,,
2025-06-21,20:00-24:00,4921.112391,2613.256670,,
2025-06-21,,,,00:00,5982.463870
2025-06-21,,,,24:00,5880.472859
2025-09-23,0:00-4:00,3087.612428,97.026883,,
2025-09-23,4:00-8:00,1957.664091,6630.103358,,
2025-09-23,8:00-12:00,4009.973150,1682.932706,,
2025-09-23,12:00-16:00,6589.496005,573.321033,,
2025-09-23,16:00-20:00,10.415067,6141.856283,,
2025-09-23,20:00-24:00,5433.222467,1953.025525,,
2025-09-23,,,,00:00,6000.000000
2025-09-23,,,,24:00,6003.694010
2025-12-21,0:00-4:00,5284.953645,235.750767,,
2025-12-21,4:00-8:00,460.182604,931.934117,,
2025-12-21,8:00-12:00,5527.292483,7380.295673,,
2025-12-21,12:00-16:00,7527.511459,2561.830377,,
2025-12-21,16:00-20:00,194.034183,5620.561970,,
2025-12-21,20:00-24:00,5333.545041,2878.752383,,
2025-12-21,,,,00:00,5893.149511
2025-12-21,,,,24:00,6000.000000
