日期,指标,真实时间段,数值,单位
2025-03-20,指定时段最终有效非紧急购电量,10:00-10:10,0.000000,kWh
2025-03-20,指定时段最终有效非紧急购电量,12:00-12:10,517.478283,kWh
2025-03-20,指定时段最终有效非紧急购电量,14:00-14:10,0.000000,kWh
2025-03-20,指定时段最终有效非紧急购电量,16:00-16:10,522.255817,kWh
2025-03-20,指定时段最终有效非紧急购电量,18:00-18:10,0.000000,kWh
2025-03-20,指定时段最终有效非紧急购电量,20:00-20:10,699.713200,kWh
2025-03-20,全天最终有效非紧急购电量,00:00-24:00,67136.656490,kWh
2025-03-20,全天实际总购电费（含调整与紧急购电）,00:00-24:00,44665.126959,元
2025-06-21,指定时段最终有效非紧急购电量,10:00-10:10,0.000000,kWh
2025-06-21,指定时段最终有效非紧急购电量,12:00-12:10,0.000000,kWh
2025-06-21,指定时段最终有效非紧急购电量,14:00-14:10,0.000000,kWh
2025-06-21,指定时段最终有效非紧急购电量,16:00-16:10,150.084733,kWh
2025-06-21,指定时段最终有效非紧急购电量,18:00-18:10,426.041400,kWh
2025-06-21,指定时段最终有效非紧急购电量,20:00-20:10,0.000000,kWh
2025-06-21,全天最终有效非紧急购电量,00:00-24:00,34867.820811,kWh
2025-06-21,全天实际总购电费（含调整与紧急购电）,00:00-24:00,17545.415102,元
2025-09-23,指定时段最终有效非紧急购电量,10:00-10:10,0.000000,kWh
2025-09-23,指定时段最终有效非紧急购电量,12:00-12:10,416.304017,kWh
2025-09-23,指定时段最终有效非紧急购电量,14:00-14:10,0.000000,kWh
2025-09-23,指定时段最终有效非紧急购电量,16:00-16:10,505.206550,kWh
2025-09-23,指定时段最终有效非紧急购电量,18:00-18:10,0.000000,kWh
2025-09-23,指定时段最终有效非紧急购电量,20:00-20:10,0.000000,kWh
2025-09-23,全天最终有效非紧急购电量,00:00-24:00,66921.748091,kWh
2025-09-23,全天实际总购电费（含调整与紧急购电）,00:00-24:00,47715.419694,元
2025-12-21,指定时段最终有效非紧急购电量,10:00-10:10,0.000000,kWh
2025-12-21,指定时段最终有效非紧急购电量,12:00-12:10,944.312117,kWh
2025-12-21,指定时段最终有效非紧急购电量,14:00-14:10,0.000000,kWh
2025-12-21,指定时段最终有效非紧急购电量,16:00-16:10,830.295900,kWh
2025-12-21,指定时段最终有效非紧急购电量,18:00-18:10,726.032600,kWh
2025-12-21,指定时段最终有效非紧急购电量,20:00-20:10,0.000000,kWh
2025-12-21,全天最终有效非紧急购电量,00:00-24:00,94700.111598,kWh
2025-12-21,全天实际总购电费（含调整与紧急购电）,00:00-24:00,72348.005089,元
