类别,校验项,数值,单位,结论
输入,附件4实际电价矩阵,365×144,天×时段,通过
输入,实际电价最小值,0.007600,元/kWh,通过
因果性,价格调参最晚日期早于计划日,1,布尔值,通过
因果性,购电决策价格口径,0点价格预测全天冻结,,通过
因果性,实时价格口径,当前实际价＋未来0点预测价,,通过
预测,正式期价格MAE,0.049201,元/kWh,参考
预测,正式期价格RMSE,0.067840,元/kWh,参考
求解,购电求解次数,1460,次,通过
求解,松弛后固定模式LP次数,1460,次,通过
求解,购电MILP回退次数,0,次,参考
求解,实时储能求解次数,52560,次,通过
约束,最大实际电量平衡残差,0.000000,kWh,通过
约束,最大实际状态转移残差,0.000000,kWh,通过
费用,费用等价式最大残差,0.000000,元,通过
输出,正式期日期数,334,天,通过
输出,正式期逐时段数,48096,个,通过
费用,1月初始化期实际总费,1897775.986661,元,参考
费用,正式期初始计划费,13322286.272873,元,参考
费用,正式期增购费,630025.106406,元,参考
费用,正式期减购退费,29006.513493,元,参考
费用,正式期减购违约费,14503.256747,元,参考
费用,正式期紧急购电费,444995.749996,元,参考
费用,2月1日至12月31日实际总费,14382803.872527,元,参考
状态,2025-01-01初始储电量,6000.000000,kWh,通过
状态,2025-02-01初始储电量,5967.514799,kWh,参考
状态,12月31日实际末态,5894.577132,kWh,通过
状态,实际年末区间越界量,0.000000,kWh,通过
价格参数选择,2025-01-01价格候选,水平0.6-0.3-0.1×形态14天,历史验证0天,预设
价格参数选择,2025-01-02价格候选,水平0.6-0.3-0.1×形态14天,历史验证1天,加权MAE=0.162658
价格参数选择,2025-01-03价格候选,水平0.6-0.3-0.1×形态14天,历史验证2天,加权MAE=0.161767
价格参数选择,2025-01-04价格候选,水平1×形态7天,历史验证3天,加权MAE=0.126678
价格参数选择,2025-01-05价格候选,水平1×形态7天,历史验证4天,加权MAE=0.106222
价格参数选择,2025-01-06价格候选,水平1×形态7天,历史验证5天,加权MAE=0.118388
价格参数选择,2025-01-07价格候选,水平1×形态7天,历史验证6天,加权MAE=0.127216
价格参数选择,2025-01-08价格候选,水平1×形态7天,历史验证7天,加权MAE=0.132500
价格参数选择,2025-01-09价格候选,水平1×形态7天,历史验证8天,加权MAE=0.116451
价格参数选择,2025-01-10价格候选,水平1×形态7天,历史验证9天,加权MAE=0.104243
价格参数选择,2025-01-11价格候选,水平1×形态7天,历史验证10天,加权MAE=0.096868
价格参数选择,2025-01-12价格候选,水平1×形态7天,历史验证11天,加权MAE=0.091078
价格参数选择,2025-01-13价格候选,水平1×形态28天,历史验证12天,加权MAE=0.084831
价格参数选择,2025-01-14价格候选,水平1×形态28天,历史验证13天,加权MAE=0.079704
价格参数选择,2025-01-15价格候选,水平1×形态28天,历史验证14天,加权MAE=0.074304
价格参数选择,2025-01-16价格候选,水平1×形态28天,历史验证15天,加权MAE=0.069687
价格参数选择,2025-01-17价格候选,水平1×形态28天,历史验证16天,加权MAE=0.065774
价格参数选择,2025-01-18价格候选,水平1×形态28天,历史验证17天,加权MAE=0.063796
价格参数选择,2025-01-19价格候选,水平1×形态28天,历史验证18天,加权MAE=0.062048
价格参数选择,2025-01-20价格候选,水平1×形态28天,历史验证19天,加权MAE=0.059542
价格参数选择,2025-01-21价格候选,水平1×形态28天,历史验证20天,加权MAE=0.056752
价格参数选择,2025-01-22价格候选,水平1×形态28天,历史验证21天,加权MAE=0.054811
价格参数选择,2025-01-23价格候选,水平1×形态28天,历史验证22天,加权MAE=0.052789
价格参数选择,2025-01-24价格候选,水平1×形态28天,历史验证23天,加权MAE=0.051051
价格参数选择,2025-01-25价格候选,水平1×形态28天,历史验证24天,加权MAE=0.051287
价格参数选择,2025-01-26价格候选,水平1×形态28天,历史验证25天,加权MAE=0.052084
价格参数选择,2025-01-27价格候选,水平1×形态28天,历史验证26天,加权MAE=0.050661
价格参数选择,2025-01-28价格候选,水平1×形态28天,历史验证27天,加权MAE=0.049115
价格参数选择,2025-01-29价格候选,水平1×形态28天,历史验证28天,加权MAE=0.047829
价格参数选择,2025-01-30价格候选,水平1×形态28天,历史验证28天,加权MAE=0.046195
价格参数选择,2025-01-31价格候选,水平1×形态28天,历史验证28天,加权MAE=0.044309
价格参数选择,2025-02-01价格候选,水平1×形态28天,历史验证28天,加权MAE=0.044618
价格参数选择,2025-02-02价格候选,水平1×形态28天,历史验证28天,加权MAE=0.046815
价格参数选择,2025-02-03价格候选,水平1×形态28天,历史验证28天,加权MAE=0.048413
价格参数选择,2025-02-04价格候选,水平1×形态28天,历史验证28天,加权MAE=0.048757
