日期,阶段,价格候选,最晚验证日期,验证天数,历史加权MAE,预测日均价,实际日均价,当日MAE,当日RMSE,预测最高价,实际最高价
2025-01-01,初始化,水平0.6-0.3-0.1×形态14天,附件1冷启动,0,,0.766197,0.926522,0.162658,0.202058,1.395200,1.599300
2025-01-02,初始化,水平0.6-0.3-0.1×形态14天,2025-01-01,1,0.162658,0.766197,0.926603,0.160938,0.180672,1.322559,1.609800
2025-01-03,初始化,水平0.6-0.3-0.1×形态14天,2025-01-02,2,0.161767,0.766197,0.738624,0.063632,0.080162,1.326995,1.426400
2025-01-04,初始化,水平1×形态7天,2025-01-03,3,0.126678,0.766197,0.730317,0.052932,0.070060,1.385391,1.445900
2025-01-05,初始化,水平1×形态7天,2025-01-04,4,0.106222,0.766197,0.925232,0.159226,0.172704,1.425622,1.574700
2025-01-06,初始化,水平1×形态7天,2025-01-05,5,0.118388,0.766197,0.928992,0.163022,0.179885,1.393912,1.613500
2025-01-07,初始化,水平1×形态7天,2025-01-06,6,0.127216,0.766197,0.923422,0.157376,0.174030,1.379305,1.567200
2025-01-08,初始化,水平1×形态7天,2025-01-07,7,0.132500,0.926522,0.917374,0.031166,0.038397,1.647817,1.596800
2025-01-09,初始化,水平1×形态7天,2025-01-08,8,0.116451,0.926603,0.920592,0.032471,0.040865,1.641102,1.572600
2025-01-10,初始化,水平1×形态7天,2025-01-09,9,0.104243,0.738624,0.729304,0.049632,0.061903,1.299632,1.415100
2025-01-11,初始化,水平1×形态7天,2025-01-10,10,0.096868,0.730317,0.734212,0.051164,0.064231,1.308135,1.451900
2025-01-12,初始化,水平1×形态7天,2025-01-11,11,0.091078,0.925232,0.925422,0.040604,0.051344,1.686229,1.622600
2025-01-13,初始化,水平1×形态28天,2025-01-12,12,0.084831,0.928992,0.914920,0.039846,0.050121,1.676351,1.530300
2025-01-14,初始化,水平1×形态28天,2025-01-13,13,0.079704,0.923422,0.916901,0.030188,0.037949,1.653500,1.580900
2025-01-15,初始化,水平1×形态28天,2025-01-14,14,0.074304,0.917374,0.923103,0.030271,0.038602,1.637234,1.585400
2025-01-16,初始化,水平1×形态28天,2025-01-15,15,0.069687,0.920592,0.915051,0.031023,0.038931,1.637743,1.604100
2025-01-17,初始化,水平1×形态28天,2025-01-16,16,0.065774,0.729304,0.724536,0.045597,0.059596,1.295912,1.433800
2025-01-18,初始化,水平1×形态28天,2025-01-17,17,0.063796,0.734212,0.722370,0.045449,0.056649,1.316067,1.394500
