文物采样点,含量合计,有效,文物编号,纹饰,类型,颜色,文物风化,点位风化,论文阶段,论文风化,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
01,97.61,True,01,C,高钾,蓝绿,无风化,无风化,2,无风化,71.02755865,0,10.23460711,6.47474644,0.8913021207,4.026226821,1.782604241,3.964757709,0,0,1.19864768,0,0,0.3995492265
02,99.89,True,02,A,铅钡,浅蓝,风化,风化,3,风化,36.31995195,0,1.051156272,2.342576835,1.181299429,5.736309941,1.862048253,0.2602863149,47.48223045,0,3.573931324,0.1902092302,0,0
03部位1,100,True,03,A,高钾,蓝绿,无风化,无风化,4,风化,87.05,0,5.19,2.01,0,4.06,0,0.78,0.25,0,0.66,0,0,0
03部位2,98.88,True,03,A,高钾,蓝绿,无风化,无风化,2,无风化,62.40898058,0,12.51011327,5.936488673,1.122572816,5.562297735,2.184466019,5.147653722,1.425970874,2.892394822,0.7079288026,0.1011326861,0,0
04,96.06,True,04,A,高钾,蓝绿,无风化,无风化,2,无风化,68.58213616,0,10.06662503,7.412034145,1.623985009,6.704143244,2.144493025,2.269414949,0,0,0.822402665,0,0,0.3747657714
05,96.51,True,05,A,高钾,蓝绿,无风化,无风化,2,无风化,63.80685939,0,11.34597451,7.61579111,1.834006839,7.771215418,2.714744586,3.388249922,0,0,0.9739923324,0.06216972334,0,0.4869961662
06部位1,98.92,True,06,A,高钾,蓝绿,无风化,无风化,1,无风化,68.38859685,0,7.450465022,0,2.001617469,11.27173474,2.416093813,2.537403963,0.2021835827,1.395066721,4.225636878,0.1112009705,0,0
06部位2,98.84,True,06,A,高钾,蓝绿,无风化,无风化,1,无风化,60.51193849,0,7.770133549,5.473492513,1.750303521,10.1679482,6.110886281,2.205584783,0.3541076487,0.981384055,4.552812626,0.1214083367,0,0
07,99.7,True,07,B,高钾,蓝绿,风化,风化,3,风化,92.90872618,0,0,1.073219659,0,1.985957874,0.1705115346,3.249749248,0,0,0.6118355065,0,0,0
08,99.82,True,08,C,铅钡,紫,风化,风化,4,风化,20.17631737,0,0,1.482668804,0,1.342416349,0,10.42877179,28.73171709,31.28631537,3.596473653,0.370667201,0,2.584652374
08严重风化点,98.24,True,08,C,铅钡,紫,风化,风化,4,风化,4.692589577,0,0,3.247149837,0,1.129885993,0,3.196254072,33.03135179,31.16856678,7.695439739,0.539495114,0,15.2992671
09,99.77,True,09,B,高钾,蓝绿,风化,风化,3,风化,95.23904981,0,0.5913601283,0.6214292874,0,1.323042999,0.3207376967,1.553573218,0,0,0.3508068558,0,0,0
10,99.81,True,10,B,高钾,蓝绿,风化,风化,3,风化,96.954213,0,0.9217513275,0.2103997595,0,0.8115419297,0.2604949404,0.8415990382,0,0,0,0,0,0
11,95.39,True,11,C,铅钡,浅蓝,风化,风化,4,风化,35.21333473,0,0.2201488626,3.679630989,0.7443128211,2.820002097,0,5.168256631,26.61704581,15.31607087,9.833315861,0.3878813293,0,0
12,99.57,True,12,B,高钾,蓝绿,风化,风化,3,风化,94.69719795,0,1.014361756,0.7231093703,0,1.466305112,0.2912523853,1.65712564,0,0,0.1506477855,0,0,0
13,98.14,True,13,C,高钾,浅蓝,无风化,无风化,2,无风化,60.12838802,2.914204198,12.76747504,8.864886896,0,6.276747504,2.934583248,4.819645405,0,0,1.294069696,0,0,0
