文物采样点,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
01,True,False,True,True,True,True,True,True,False,False,True,False,False,True
02,True,False,True,True,True,True,True,True,True,False,True,True,False,False
03部位1,True,False,True,True,False,True,False,True,True,False,True,False,False,False
03部位2,True,False,True,True,True,True,True,True,True,True,True,True,False,False
04,True,False,True,True,True,True,True,True,False,False,True,False,False,True
05,True,False,True,True,True,True,True,True,False,False,True,True,False,True
06部位1,True,False,True,False,True,True,True,True,True,True,True,True,False,False
06部位2,True,False,True,True,True,True,True,True,True,True,True,True,False,False
07,True,False,False,True,False,True,True,True,False,False,True,False,False,False
08,True,False,False,True,False,True,False,True,True,True,True,True,False,True
08严重风化点,True,False,False,True,False,True,False,True,True,True,True,True,False,True
09,True,False,True,True,False,True,True,True,False,False,True,False,False,False
10,True,False,True,True,False,True,True,True,False,False,False,False,False,False
11,True,False,True,True,True,True,False,True,True,True,True,True,False,False
12,True,False,True,True,False,True,True,True,False,False,True,False,False,False
13,True,True,True,True,False,True,True,True,False,False,True,False,False,False
14,True,True,True,True,True,True,True,True,True,False,True,False,False,False
16,True,True,True,True,True,True,True,True,True,False,False,True,False,False
18,True,False,True,False,True,True,False,False,False,False,True,True,True,False
19,True,False,False,True,True,True,True,True,True,True,True,True,False,False
20,True,False,True,False,False,True,True,True,True,True,True,False,False,False
21,True,False,False,True,True,True,True,True,True,True,True,False,False,False
22,True,False,True,True,True,True,True,True,False,False,True,False,False,False
23未风化点,True,True,False,True,True,True,False,True,True,True,False,True,False,False
24,True,False,False,True,False,True,False,True,True,True,True,True,False,False
25未风化点,True,True,False,True,False,True,True,True,True,True,True,True,False,False
26,True,False,False,True,False,True,False,True,True,True,True,True,False,True
26严重风化点,True,False,True,True,False,True,False,True,True,True,True,True,False,True
27,True,False,False,True,True,True,True,True,False,False,True,False,False,False
28未风化点,True,False,True,True,True,True,True,True,True,True,True,True,True,False
29未风化点,True,True,True,True,True,True,True,True,True,True,True,True,False,False
30部位1,True,False,True,True,True,True,True,False,True,True,False,True,True,False
30部位2,True,False,False,True,True,True,True,False,True,True,True,True,True,False
31,True,False,False,True,True,True,True,True,True,True,True,True,False,False
32,True,False,True,True,False,True,True,True,True,True,True,False,False,False
33,True,False,True,True,True,True,False,True,True,True,True,False,False,False
34,True,False,True,True,False,True,True,True,True,True,True,True,False,False
35,True,False,False,True,False,True,True,True,True,True,True,False,False,False
36,True,True,True,True,False,True,True,True,True,True,True,True,False,False
37,True,False,True,True,False,True,False,True,True,True,True,True,False,True
38,True,True,False,True,False,True,True,True,True,True,True,True,False,False
39,True,False,False,True,False,True,False,True,True,True,True,True,False,False
40,True,False,False,True,False,True,True,False,True,True,True,True,False,False
41,True,False,True,True,True,True,True,True,True,True,True,True,False,False
42未风化点1,True,True,True,True,True,True,False,True,True,True,True,True,False,False
42未风化点2,True,True,True,False,True,True,False,True,True,True,False,False,False,False
43部位1,True,False,False,True,True,True,True,True,True,True,False,True,False,False
43部位2,True,False,False,True,True,True,True,True,True,True,True,True,False,False
44未风化点,True,True,True,True,False,True,True,True,True,True,False,True,False,False
45,True,True,True,True,True,True,False,True,True,True,False,True,False,False
46,True,False,True,False,True,True,False,True,True,True,True,True,False,False
47,True,True,True,True,True,True,False,True,True,True,True,True,False,False
48,True,True,True,True,True,True,True,False,True,True,True,True,True,False
49,True,False,False,True,True,True,True,True,True,True,True,True,False,False
49未风化点,True,False,True,True,True,True,True,True,True,True,True,True,False,False
50,True,False,False,True,True,True,True,True,True,True,True,True,False,False
50未风化点,True,False,False,True,True,True,False,True,True,True,True,True,False,False
51部位1,True,False,False,True,True,True,True,True,True,True,True,True,True,False
51部位2,True,False,False,True,True,True,True,True,True,False,True,False,False,False
52,True,True,False,True,True,True,True,True,True,True,True,True,False,False
53未风化点,True,True,True,True,True,True,False,True,True,True,False,True,False,False
54,True,False,True,True,True,True,False,True,True,True,True,True,False,False
54严重风化点,True,False,False,False,True,True,False,True,True,False,True,True,False,False
55,True,True,False,True,False,True,False,True,True,True,True,False,False,False
56,True,False,False,True,False,True,False,True,True,True,True,False,False,False
57,True,False,False,True,False,True,False,True,True,True,False,False,False,False
58,True,False,True,True,True,True,True,True,True,True,True,True,False,False
