分组口径,类型,风化,数据空间,成分,n,均值,标准差,最小值,Q1,中位数,Q3,最大值,偏度,超额峰度,CV
文物风化,高钾,无风化,raw,SiO2,12,67.98416667,8.755098731,59.01,61.6775,65.53,71.1675,87.05,1.158092024,0.5363730586,0.1287814378
文物风化,高钾,无风化,raw,Na2O,12,0.695,1.286916682,0,0,0,0.525,3.38,1.497490301,0.5591716158,1.851678679
文物风化,高钾,无风化,raw,K2O,12,9.330833333,3.920302535,0,7.6025,9.83,12.3025,14.52,-1.20344678,1.900331883,0.4201449533
文物风化,高钾,无风化,raw,CaO,12,5.3325,3.092478044,0,4.035,6.095,7.57,8.7,-0.8752475541,-0.5176953712,0.5799302474
文物风化,高钾,无风化,raw,MgO,12,1.079166667,0.6761449325,0,0.625,1.165,1.6025,1.98,-0.4338003221,-1.014588759,0.6265435668
文物风化,高钾,无风化,raw,Al2O3,12,6.62,2.491509218,3.05,5.14,6.185,7.9325,11.15,0.4821727784,-0.4922455044,0.376360909
文物风化,高钾,无风化,raw,Fe2O3,12,1.931666667,1.666694242,0,0.48,2.11,2.4475,6.04,1.175870417,2.567947838,0.8628270451
文物风化,高钾,无风化,raw,CuO,12,2.4525,1.659989732,0,0.9975,2.345,3.4275,5.09,0.1005956501,-1.058214172,0.6768561597
文物风化,高钾,无风化,raw,PbO,12,0.4116666667,0.5889873179,0,0,0.155,0.5125,1.62,1.373589166,0.4179671007,1.430738424
文物风化,高钾,无风化,raw,BaO,12,0.5983333333,0.9821019511,0,0,0,1.0725,2.86,1.493083471,1.238170108,1.641396019
文物风化,高钾,无风化,raw,P2O5,12,1.4025,1.433959078,0,0.69,1.02,1.2925,4.5,1.677553079,1.876197359,1.022430715
文物风化,高钾,无风化,raw,SrO,12,0.04166666667,0.04839859753,0,0,0.02,0.0775,0.12,0.5707242024,-1.452238803,1.161566341
文物风化,高钾,无风化,raw,SnO2,12,0.1966666667,0.6812733176,0,0,0,0,2.36,3.464101615,12,3.464101615
文物风化,高钾,无风化,raw,SO2,12,0.1016666667,0.1855132112,0,0,0,0.09,0.47,1.396431226,0.05546322247,1.82472011
文物风化,高钾,无风化,closed,SiO2,12,69.23145232,8.701644636,60.12838802,62.92800272,67.31085162,72.72864706,87.05,1.008050658,0.0256824657,0.1256891824
文物风化,高钾,无风化,closed,Na2O,12,0.7051895909,1.305063371,0,0,0,0.5334823697,3.414141414,1.492935765,0.5326725063,1.850656033
文物风化,高钾,无风化,closed,K2O,12,9.515033946,4.001146602,0,7.690216417,10.15061607,12.43055862,14.75459811,-1.227167414,1.869845416,0.4205078642
文物风化,高钾,无风化,closed,CaO,12,5.440411982,3.163653999,0,4.088066382,6.205617557,7.790126161,8.864886896,-0.8738360258,-0.5535073125,0.581510005
文物风化,高钾,无风化,closed,MgO,12,1.102537338,0.6922124374,0,0.6321003963,1.180450029,1.655564637,2.001617469,-0.4352746905,-1.053852936,0.6278358236
文物风化,高钾,无风化,closed,Al2O3,12,6.73855255,2.515070744,3.136246787,5.186723301,6.281418917,8.159219644,11.27173474,0.4390038377,-0.5582976751,0.3732360512
文物风化,高钾,无风化,closed,Fe2O3,12,1.968775878,1.690123277,0,0.4854843527,2.164479522,2.490756506,6.110886281,1.141095142,2.453739524,0.8584640312
文物风化,高钾,无风化,closed,CuO,12,2.500334921,1.691155416,0,1.010465908,2.403409456,3.532376869,5.147653722,0.07998726149,-1.097073435,0.676371554
文物风化,高钾,无风化,closed,PbO,12,0.4162854442,0.5956731063,0,0,0.1569804206,0.5193363192,1.636363636,1.371162208,0.403949919,1.430924657
文物风化,高钾,无风化,closed,BaO,12,0.6057032991,0.9941251026,0,0,0,1.084804721,2.892394822,1.49148244,1.226459759,1.641274043
文物风化,高钾,无风化,closed,P2O5,12,1.426007416,1.44862686,0,0.6959466019,1.045258448,1.320166668,4.552812626,1.665694096,1.853101504,1.01586208
文物风化,高钾,无风化,closed,SrO,12,0.0423781189,0.04906473824,0,0,0.02032313789,0.07926774736,0.1214083367,0.5536559527,-1.487389407,1.157784713
文物风化,高钾,无风化,closed,SnO2,12,0.2022279349,0.7005381158,0,0,0,0,2.426735219,3.464101615,12,3.464101615
文物风化,高钾,无风化,closed,SO2,12,0.1051092637,0.1918045279,0,0,0,0.09369144285,0.4869961662,1.397231879,0.06147038614,1.824810879
文物风化,高钾,无风化,paper_clr,SiO2,12,3.165686854,0.3632048188,2.266608607,3.04466346,3.152993728,3.339007551,3.712287605,-1.09372598,3.036563079,
文物风化,高钾,无风化,paper_clr,Na2O,12,-0.01358521375,0.2620012857,-0.7602766896,0,0,0,0.3201818481,-2.150622327,7.015733381,
文物风化,高钾,无风化,paper_clr,K2O,12,1.145963273,0.5431751671,0,0.9327265644,1.101373527,1.444992684,2.210661941,-0.1848566332,1.635378672,
文物风化,高钾,无风化,paper_clr,CaO,12,0.5990711474,0.5354726862,-0.1821885486,0.2641685335,0.6443073654,0.8162544471,1.647769441,0.3788939084,-0.1567021062,
文物风化,高钾,无风化,paper_clr,MgO,12,-0.6749681058,0.4731240538,-1.332161368,-1.025159063,-0.6506578096,-0.3477237457,0,0.06151906713,-1.292381777,
文物风化,高钾,无风化,paper_clr,Al2O3,12,0.7761039878,0.5156379255,0.006978463153,0.4345798086,0.6582289689,1.27403007,1.508083554,-0.03147983754,-1.409963594,
文物风化,高钾,无风化,paper_clr,Fe2O3,12,-0.3904643786,0.6350641178,-1.590841042,-0.6675876453,-0.2957741084,0,0.7479497418,-0.3945378544,0.4725403094,
文物风化,高钾,无风化,paper_clr,CuO,12,-0.2629417641,0.6103235207,-1.652716446,-0.4078414451,-0.1310643932,0.05278390838,0.5955305338,-1.180632665,1.577446212,
文物风化,高钾,无风化,paper_clr,PbO,12,-0.9873376888,1.102638602,-2.672139982,-2.141861704,-0.5517126523,0,0,-0.5522509026,-1.629147179,
文物风化,高钾,无风化,paper_clr,BaO,12,-0.1798230957,0.3546525647,-1.080913478,-0.1286913885,0,0,0.01907432804,-1.906416053,3.016385262,
文物风化,高钾,无风化,paper_clr,P2O5,12,-0.9384997879,0.9196411553,-2.730275325,-1.405015113,-1.066692234,-0.4835348088,0.5269553023,0.05756653273,0.3172551132,
文物风化,高钾,无风化,paper_clr,SrO,12,-1.723790166,1.810324287,-3.774602224,-3.403613746,-1.555315429,0,0,-0.03717577655,-2.376521246,
文物风化,高钾,无风化,paper_clr,SnO2,12,-0.007794679924,0.02700156331,-0.09353615908,0,0,0,0,-3.464101615,12,
文物风化,高钾,无风化,paper_clr,SO2,12,-0.5076203814,0.9259005976,-2.240722645,-0.429053523,0,0,0,-1.388056202,-0.01145489767,
文物风化,铅钡,风化,raw,SiO2,36,33.61472222,17.22148401,3.72,21.0475,29.395,50.7725,68.08,0.3978330932,-0.7777608161,0.5123196881
文物风化,铅钡,风化,raw,Na2O,36,0.9525,1.920000558,0,0,0,0.995,7.92,2.372657395,5.327811377,2.015748617
文物风化,铅钡,风化,raw,K2O,36,0.1427777778,0.2147105841,0,0,0,0.27,1.05,2.354964074,7.973327615,1.503809538
文物风化,铅钡,风化,raw,CaO,36,2.345555556,1.611576769,0,1.03,2.205,3.19,6.4,0.5903683994,-0.2104635046,0.6870767845
文物风化,铅钡,风化,raw,MgO,36,0.7008333333,0.6561418618,0,0,0.71,1.165,2.73,0.7198025845,0.7640582552,0.9362309563
文物风化,铅钡,风化,raw,Al2O3,36,3.838333333,3.412625717,0.45,1.615,3.01,4.8375,14.34,1.972511673,3.821180893,0.8890905038
文物风化,铅钡,风化,raw,Fe2O3,36,0.5558333333,0.6919635622,0,0,0.305,0.9025,2.74,1.335326231,1.422425924,1.244911956
文物风化,铅钡,风化,raw,CuO,36,1.996111111,2.487958748,0,0.695,1,2.7875,10.57,2.429337658,6.22781,1.246402935
文物风化,铅钡,风化,raw,PbO,36,36.87194444,15.16372152,12.31,24.7975,39.795,46.7675,70.21,0.09786638587,-0.734801494,0.4112536442
文物风化,铅钡,风化,raw,BaO,36,10.48722222,8.867532629,0,5.9125,8.15,11.125,35.45,1.640734963,2.297264128,0.8455559004
文物风化,铅钡,风化,raw,P2O5,36,4.155277778,4.150624384,0,0.3025,3.35,7.485,14.13,0.7242686667,-0.5158306521,0.9988801245
文物风化,铅钡,风化,raw,SrO,36,0.3663888889,0.2452654862,0,0.22,0.34,0.47,1.12,0.8933617024,1.450667311,0.6694130026
文物风化,铅钡,风化,raw,SnO2,36,0.05583333333,0.2316200707,0,0,0,0,1.31,4.974621818,26.24411478,4.148419176
文物风化,铅钡,风化,raw,SO2,36,0.9866666667,3.608541454,0,0,0,0,15.95,3.923466839,14.5408127,3.657305528
文物风化,铅钡,风化,closed,SiO2,36,34.5180148,17.33580057,3.724096506,21.80940492,30.45908215,52.18244965,68.98368629,0.3564165059,-0.7779361316,0.5022247273
文物风化,铅钡,风化,closed,Na2O,36,0.9757056853,1.972145063,0,0,0,1.015021172,8.207253886,2.396459001,5.501419498,2.021249945
文物风化,铅钡,风化,closed,K2O,36,0.145069905,0.2168569622,0,0,0,0.2726785163,1.051156272,2.295009172,7.543912854,1.494844587
文物风化,铅钡,风化,closed,CaO,36,2.431059249,1.699309392,0,1.044462662,2.250788014,3.318817218,6.620461363,0.644272233,-0.1860182833,0.6989995793
文物风化,铅钡,风化,closed,MgO,36,0.7247957605,0.6838429536,0,0,0.7400320582,1.182195205,2.913242984,0.8136583611,1.183475756,0.9434974525
文物风化,铅钡,风化,closed,Al2O3,36,3.929714423,3.424143038,0.4565283555,1.655608407,3.173733333,4.948586846,14.35722867,1.934775048,3.694407556,0.8713465331
文物风化,铅钡,风化,closed,Fe2O3,36,0.5734557411,0.7161770722,0,0,0.3109876332,0.9127535581,2.869109948,1.373329222,1.616381292,1.248879418
文物风化,铅钡,风化,closed,CuO,36,2.043532069,2.507746562,0,0.7156989117,1.022487207,2.858370337,10.58906031,2.368712154,5.874334393,1.227162813
文物风化,铅钡,风化,closed,PbO,36,38.1318999,15.85129585,12.32478975,25.82088696,41.02766628,48.77861049,71.22856853,0.04161498211,-0.8886851321,0.4156964613
文物风化,铅钡,风化,closed,BaO,36,10.78769703,8.971231607,0,6.144869152,8.453151908,11.40757461,35.48903794,1.541965146,1.956455074,0.8316169411
文物风化,铅钡,风化,closed,P2O5,36,4.310358019,4.32256122,0,0.3104236244,3.354787742,7.761762282,14.57903426,0.7183199233,-0.5682558633,1.002831134
文物风化,铅钡,风化,closed,SrO,36,0.3769735444,0.2536156482,0,0.2255312052,0.3495376648,0.4900294302,1.155592241,0.8793570067,1.36114699,0.6727677631
文物风化,铅钡,风化,closed,SnO2,36,0.05686225631,0.2345776205,0,0,0,0,1.320964001,4.927212085,25.74855564,4.125366028
文物风化,铅钡,风化,closed,SO2,36,0.9948616155,3.640783246,0,0,0,0,15.96756432,3.922227551,14.51658788,3.659587614
文物风化,铅钡,风化,paper_clr,SiO2,36,2.242328828,0.923780035,-0.1313528701,1.743779759,2.24201156,3.036772154,3.937306649,-0.584810856,0.650707498,
文物风化,铅钡,风化,paper_clr,Na2O,36,0.01337067551,0.364328852,-1.093837093,0,0,0,1.043857584,-0.03801603267,3.996993362,
文物风化,铅钡,风化,paper_clr,K2O,36,-0.9679796495,1.147055806,-2.97002301,-2.118828251,0,0,0,-0.4569697556,-1.660809666,
文物风化,铅钡,风化,paper_clr,CaO,36,-0.3756537217,0.6480190813,-1.877737903,-0.9572953337,-0.09952376598,0.06836781306,0.4973577254,-0.661061513,-0.7126854985,
文物风化,铅钡,风化,paper_clr,MgO,36,-0.6934444705,0.678419512,-1.841063171,-1.410651295,-0.6245718822,0,0,-0.3403887098,-1.486423656,
文物风化,铅钡,风化,paper_clr,Al2O3,36,-0.08757628595,0.9836554735,-1.826181527,-0.7058680578,-0.03918922673,0.3063263285,2.04280181,0.1557196086,-0.2884887049,
文物风化,铅钡,风化,paper_clr,Fe2O3,36,-0.7231724213,0.8038970899,-2.575747277,-1.193383732,-0.4855025686,0,0,-0.8372628942,-0.4181315325,
文物风化,铅钡,风化,paper_clr,CuO,36,-0.8244261489,0.8769233723,-2.764779222,-1.439417589,-0.9361244775,-0.07061850959,0.8885132166,0.04388910253,-0.5995244553,
文物风化,铅钡,风化,paper_clr,PbO,36,2.402080024,0.5320923346,1.389649239,1.949024584,2.441687892,2.720760981,3.510395705,0.2393034113,-0.7535082074,
文物风化,铅钡,风化,paper_clr,BaO,36,1.035545785,0.6308233394,-0.1812752926,0.6486060376,1.057379093,1.460962753,2.167893378,-0.1266828425,-0.6017933191,
文物风化,铅钡,风化,paper_clr,P2O5,36,-0.102296286,1.131785279,-3.22933027,-0.4296993287,0,0.8268241534,1.188783691,-1.253157828,1.120938932,
文物风化,铅钡,风化,paper_clr,SrO,36,-1.827413025,0.7594142414,-2.930869278,-2.274324046,-2.074720639,-1.604644619,0,1.424905888,1.634188395,
文物风化,铅钡,风化,paper_clr,SnO2,36,-0.1193844719,0.4375421053,-1.94412178,0,0,0,0,-3.78895096,13.63291673,
文物风化,铅钡,风化,paper_clr,SO2,36,0.0280211682,0.3364507026,-0.7965621101,0,0,0,1.369228955,2.108908705,9.857279902,
文物风化,高钾,风化,raw,SiO2,6,93.96333333,1.733616644,92.35,92.6525,93.505,94.8375,96.77,0.854018054,-0.3884118384,0.01844992703
文物风化,高钾,风化,raw,Na2O,6,0,0,0,0,0,0,0,,,
文物风化,高钾,风化,raw,K2O,6,0.5433333333,0.4451816109,0,0.1475,0.665,0.875,1.01,-0.5372976537,-1.912975195,0.8193526581
文物风化,高钾,风化,raw,CaO,6,0.87,0.4877704378,0.21,0.645,0.83,1.0375,1.66,0.5037968756,0.987745269,0.5606556756
文物风化,高钾,风化,raw,MgO,6,0.1966666667,0.3063113884,0,0,0,0.405,0.64,1.01439414,-1.597713614,1.557515534
文物风化,高钾,风化,raw,Al2O3,6,1.93,0.9644895023,0.81,1.355,1.72,2.3775,3.5,0.7788833818,0.1806895939,0.4997354934
文物风化,高钾,风化,raw,Fe2O3,6,0.265,0.06949820142,0.17,0.215,0.275,0.3125,0.35,-0.3002892851,-1.417769376,0.2622573638
文物风化,高钾,风化,raw,CuO,6,1.561666667,0.9348244042,0.55,1.015,1.545,1.625,3.24,1.218065893,2.231411711,0.5986068757
文物风化,高钾,风化,raw,PbO,6,0,0,0,0,0,0,0,,,
文物风化,高钾,风化,raw,BaO,6,0,0,0,0,0,0,0,,,
文物风化,高钾,风化,raw,P2O5,6,0.28,0.2099523756,0,0.165,0.28,0.3575,0.61,0.3987162971,0.3716905577,0.7498299127
文物风化,高钾,风化,raw,SrO,6,0,0,0,0,0,0,0,,,
文物风化,高钾,风化,raw,SnO2,6,0,0,0,0,0,0,0,,,
文物风化,高钾,风化,raw,SO2,6,0,0,0,0,0,0,0,,,
文物风化,高钾,风化,closed,SiO2,6,94.33097386,1.675201569,92.35,93.14070869,94.26692708,95.10358685,96.954213,0.5154873064,-0.2411275584,0.0177587647
文物风化,高钾,风化,closed,Na2O,6,0,0,0,0,0,0,0,,,
