文物采样点,类型,点位风化,论文风化,论文阶段,重算Ward二类,重算Ward二再二类_无时间含义
01,高钾,无风化,无风化,2,1,1
03部位1,高钾,无风化,风化,4,2,3
03部位2,高钾,无风化,无风化,2,1,1
04,高钾,无风化,无风化,2,1,1
05,高钾,无风化,无风化,2,1,1
06部位1,高钾,无风化,无风化,1,1,2
06部位2,高钾,无风化,无风化,1,1,2
07,高钾,风化,风化,3,2,4
09,高钾,风化,风化,3,2,4
10,高钾,风化,风化,3,2,4
12,高钾,风化,风化,3,2,4
13,高钾,无风化,无风化,2,1,1
14,高钾,无风化,无风化,2,1,1
16,高钾,无风化,无风化,2,1,1
18,高钾,无风化,风化,4,2,3
21,高钾,无风化,风化,4,2,3
22,高钾,风化,风化,3,2,4
27,高钾,风化,风化,3,2,4
02,铅钡,风化,风化,3,1,1
08,铅钡,风化,风化,4,1,2
08严重风化点,铅钡,风化,风化,4,1,2
11,铅钡,风化,风化,4,1,2
19,铅钡,风化,风化,3,1,1
20,铅钡,无风化,风化,4,1,2
23未风化点,铅钡,无风化,无风化,1,2,3
24,铅钡,无风化,风化,4,1,2
25未风化点,铅钡,无风化,无风化,1,2,3
26,铅钡,风化,风化,4,1,2
26严重风化点,铅钡,风化,风化,4,1,2
28未风化点,铅钡,无风化,无风化,2,2,4
29未风化点,铅钡,无风化,无风化,2,2,4
30部位1,铅钡,无风化,风化,3,1,1
30部位2,铅钡,无风化,风化,3,1,1
31,铅钡,无风化,无风化,2,2,4
32,铅钡,无风化,无风化,2,2,4
33,铅钡,无风化,无风化,2,2,4
34,铅钡,风化,风化,3,1,1
35,铅钡,无风化,无风化,2,2,4
36,铅钡,风化,风化,3,1,1
37,铅钡,无风化,无风化,2,2,4
38,铅钡,风化,风化,3,1,1
39,铅钡,风化,风化,3,1,1
40,铅钡,风化,风化,3,1,1
41,铅钡,风化,风化,3,1,1
42未风化点1,铅钡,无风化,无风化,1,2,3
42未风化点2,铅钡,无风化,无风化,1,2,3
43部位1,铅钡,风化,风化,3,1,1
43部位2,铅钡,风化,风化,3,1,1
44未风化点,铅钡,无风化,无风化,2,2,4
45,铅钡,无风化,无风化,2,2,4
46,铅钡,无风化,无风化,1,2,3
47,铅钡,无风化,无风化,1,2,3
48,铅钡,风化,无风化,2,2,4
49,铅钡,风化,风化,3,1,1
49未风化点,铅钡,无风化,无风化,1,2,3
50,铅钡,风化,风化,3,1,1
50未风化点,铅钡,无风化,无风化,1,2,3
51部位1,铅钡,风化,风化,3,1,1
51部位2,铅钡,风化,风化,3,1,1
52,铅钡,风化,风化,3,1,1
53未风化点,铅钡,无风化,无风化,2,2,4
54,铅钡,风化,风化,3,1,1
54严重风化点,铅钡,风化,风化,3,1,1
55,铅钡,无风化,无风化,1,2,3
56,铅钡,风化,风化,3,1,1
57,铅钡,风化,风化,3,1,1
58,铅钡,风化,风化,3,1,1
