风化,fold,set,文物编号,文物采样点
无风化,1,train,01,01
无风化,1,train,03,03部位2
无风化,1,train,04,04
无风化,1,train,05,05
无风化,1,train,13,13
无风化,1,train,14,14
无风化,1,train,16,16
无风化,1,train,23,23未风化点
无风化,1,train,25,25未风化点
无风化,1,train,28,28未风化点
无风化,1,train,32,32
无风化,1,train,33,33
无风化,1,train,35,35
无风化,1,train,37,37
无风化,1,train,42,42未风化点1
无风化,1,train,42,42未风化点2
无风化,1,train,44,44未风化点
无风化,1,train,45,45
无风化,1,train,47,47
无风化,1,train,48,48
无风化,1,train,49,49未风化点
无风化,1,train,50,50未风化点
无风化,1,train,55,55
无风化,1,test,06,06部位1
无风化,1,test,06,06部位2
无风化,1,test,29,29未风化点
无风化,1,test,31,31
无风化,1,test,46,46
无风化,1,test,53,53未风化点
无风化,2,train,01,01
无风化,2,train,03,03部位2
无风化,2,train,06,06部位1
无风化,2,train,06,06部位2
无风化,2,train,13,13
无风化,2,train,14,14
无风化,2,train,16,16
无风化,2,train,23,23未风化点
无风化,2,train,28,28未风化点
无风化,2,train,29,29未风化点
无风化,2,train,31,31
无风化,2,train,32,32
无风化,2,train,33,33
无风化,2,train,35,35
无风化,2,train,37,37
无风化,2,train,44,44未风化点
无风化,2,train,45,45
无风化,2,train,46,46
无风化,2,train,47,47
无风化,2,train,48,48
无风化,2,train,49,49未风化点
无风化,2,train,53,53未风化点
无风化,2,train,55,55
无风化,2,test,04,04
无风化,2,test,05,05
无风化,2,test,25,25未风化点
无风化,2,test,42,42未风化点1
无风化,2,test,42,42未风化点2
无风化,2,test,50,50未风化点
无风化,3,train,03,03部位2
无风化,3,train,04,04
无风化,3,train,05,05
无风化,3,train,06,06部位1
无风化,3,train,06,06部位2
无风化,3,train,13,13
无风化,3,train,14,14
无风化,3,train,23,23未风化点
无风化,3,train,25,25未风化点
无风化,3,train,28,28未风化点
无风化,3,train,29,29未风化点
无风化,3,train,31,31
无风化,3,train,32,32
无风化,3,train,33,33
无风化,3,train,35,35
无风化,3,train,42,42未风化点1
无风化,3,train,42,42未风化点2
无风化,3,train,44,44未风化点
无风化,3,train,46,46
无风化,3,train,49,49未风化点
无风化,3,train,50,50未风化点
无风化,3,train,53,53未风化点
无风化,3,train,55,55
无风化,3,test,01,01
无风化,3,test,16,16
无风化,3,test,37,37
无风化,3,test,45,45
无风化,3,test,47,47
无风化,3,test,48,48
无风化,4,train,01,01
无风化,4,train,04,04
无风化,4,train,05,05
无风化,4,train,06,06部位1
无风化,4,train,06,06部位2
无风化,4,train,14,14
无风化,4,train,16,16
无风化,4,train,23,23未风化点
无风化,4,train,25,25未风化点
无风化,4,train,28,28未风化点
无风化,4,train,29,29未风化点
无风化,4,train,31,31
无风化,4,train,37,37
无风化,4,train,42,42未风化点1
无风化,4,train,42,42未风化点2
无风化,4,train,44,44未风化点
