类型,文物风化,文物采样点,论文表25特征,Q亚类,自动R代表,自动R代表_Q亚类
高钾,无风化,01,SnO2|CuO|CaO,1,P2O5|BaO|SO2,1
高钾,无风化,03部位1,SnO2|CuO|CaO,2,P2O5|BaO|SO2,1
高钾,无风化,03部位2,SnO2|CuO|CaO,1,P2O5|BaO|SO2,1
高钾,无风化,04,SnO2|CuO|CaO,1,P2O5|BaO|SO2,1
高钾,无风化,05,SnO2|CuO|CaO,1,P2O5|BaO|SO2,1
高钾,无风化,06部位1,SnO2|CuO|CaO,2,P2O5|BaO|SO2,2
高钾,无风化,06部位2,SnO2|CuO|CaO,1,P2O5|BaO|SO2,2
高钾,无风化,13,SnO2|CuO|CaO,1,P2O5|BaO|SO2,1
高钾,无风化,14,SnO2|CuO|CaO,1,P2O5|BaO|SO2,1
高钾,无风化,16,SnO2|CuO|CaO,1,P2O5|BaO|SO2,1
高钾,无风化,18,SnO2|CuO|CaO,2,P2O5|BaO|SO2,1
高钾,无风化,21,SnO2|CuO|CaO,1,P2O5|BaO|SO2,1
铅钡,无风化,20,Na2O|CuO|SiO2,1,SiO2|Na2O|SO2,1
铅钡,无风化,24,Na2O|CuO|SiO2,1,SiO2|Na2O|SO2,1
铅钡,无风化,30部位1,Na2O|CuO|SiO2,1,SiO2|Na2O|SO2,1
铅钡,无风化,30部位2,Na2O|CuO|SiO2,1,SiO2|Na2O|SO2,1
铅钡,无风化,31,Na2O|CuO|SiO2,2,SiO2|Na2O|SO2,2
铅钡,无风化,32,Na2O|CuO|SiO2,2,SiO2|Na2O|SO2,2
铅钡,无风化,33,Na2O|CuO|SiO2,2,SiO2|Na2O|SO2,2
铅钡,无风化,35,Na2O|CuO|SiO2,2,SiO2|Na2O|SO2,2
铅钡,无风化,37,Na2O|CuO|SiO2,2,SiO2|Na2O|SO2,2
铅钡,无风化,45,Na2O|CuO|SiO2,2,SiO2|Na2O|SO2,2
铅钡,无风化,46,Na2O|CuO|SiO2,2,SiO2|Na2O|SO2,2
铅钡,无风化,47,Na2O|CuO|SiO2,2,SiO2|Na2O|SO2,2
铅钡,无风化,55,Na2O|CuO|SiO2,2,SiO2|Na2O|SO2,2
高钾,风化,07,SnO2|CuO|SO2,1,Al2O3|P2O5|Fe2O3,1
高钾,风化,09,SnO2|CuO|SO2,2,Al2O3|P2O5|Fe2O3,2
高钾,风化,10,SnO2|CuO|SO2,2,Al2O3|P2O5|Fe2O3,2
高钾,风化,12,SnO2|CuO|SO2,2,Al2O3|P2O5|Fe2O3,2
高钾,风化,22,SnO2|CuO|SO2,2,Al2O3|P2O5|Fe2O3,1
高钾,风化,27,SnO2|CuO|SO2,2,Al2O3|P2O5|Fe2O3,1
铅钡,风化,02,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,08,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,08严重风化点,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,11,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,19,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,23未风化点,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,2
铅钡,风化,25未风化点,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,2
铅钡,风化,26,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,26严重风化点,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,28未风化点,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,2
铅钡,风化,29未风化点,Al2O3|CuO|SrO,2,SiO2|K2O|BaO,2
铅钡,风化,34,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,36,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,38,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,39,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,40,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,41,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,42未风化点1,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,2
铅钡,风化,42未风化点2,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,2
铅钡,风化,43部位1,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,43部位2,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,44未风化点,Al2O3|CuO|SrO,2,SiO2|K2O|BaO,2
铅钡,风化,48,Al2O3|CuO|SrO,2,SiO2|K2O|BaO,2
铅钡,风化,49,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,49未风化点,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,2
铅钡,风化,50,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,50未风化点,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,2
铅钡,风化,51部位1,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,51部位2,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,52,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,53未风化点,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,2
铅钡,风化,54,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,54严重风化点,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,56,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,57,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
铅钡,风化,58,Al2O3|CuO|SrO,1,SiO2|K2O|BaO,1
