类型,风化,成分,R类,自动代表,状态
高钾,无风化,SiO2,1,False,参与
高钾,无风化,Na2O,1,False,参与
高钾,无风化,K2O,1,False,参与
高钾,无风化,CaO,1,False,参与
高钾,无风化,MgO,1,False,参与
高钾,无风化,Al2O3,1,False,参与
高钾,无风化,Fe2O3,1,False,参与
高钾,无风化,P2O5,1,True,参与
高钾,无风化,SrO,1,False,参与
高钾,无风化,SnO2,1,False,参与
高钾,无风化,CuO,2,False,参与
高钾,无风化,PbO,2,False,参与
高钾,无风化,BaO,2,True,参与
高钾,无风化,SO2,3,True,参与
铅钡,无风化,SiO2,1,True,参与
铅钡,无风化,K2O,1,False,参与
铅钡,无风化,CaO,1,False,参与
铅钡,无风化,MgO,1,False,参与
铅钡,无风化,Al2O3,1,False,参与
铅钡,无风化,Fe2O3,1,False,参与
铅钡,无风化,CuO,1,False,参与
铅钡,无风化,PbO,1,False,参与
铅钡,无风化,BaO,1,False,参与
铅钡,无风化,P2O5,1,False,参与
铅钡,无风化,SrO,1,False,参与
铅钡,无风化,SnO2,1,False,参与
铅钡,无风化,Na2O,2,True,参与
铅钡,无风化,SO2,3,True,参与
高钾,风化,SiO2,1,False,参与
高钾,风化,CaO,1,False,参与
高钾,风化,MgO,1,False,参与
高钾,风化,Al2O3,1,True,参与
高钾,风化,K2O,2,False,参与
高钾,风化,CuO,2,False,参与
高钾,风化,P2O5,2,True,参与
高钾,风化,Fe2O3,3,True,参与
高钾,风化,Na2O,,False,恒定列_相关未定义
高钾,风化,PbO,,False,恒定列_相关未定义
高钾,风化,BaO,,False,恒定列_相关未定义
高钾,风化,SrO,,False,恒定列_相关未定义
高钾,风化,SnO2,,False,恒定列_相关未定义
高钾,风化,SO2,,False,恒定列_相关未定义
铅钡,风化,SiO2,1,True,参与
铅钡,风化,Na2O,1,False,参与
铅钡,风化,CaO,1,False,参与
铅钡,风化,Al2O3,1,False,参与
铅钡,风化,Fe2O3,1,False,参与
铅钡,风化,PbO,1,False,参与
铅钡,风化,P2O5,1,False,参与
铅钡,风化,SrO,1,False,参与
铅钡,风化,SnO2,1,False,参与
铅钡,风化,K2O,2,True,参与
铅钡,风化,MgO,3,False,参与
铅钡,风化,CuO,3,False,参与
铅钡,风化,BaO,3,True,参与
铅钡,风化,SO2,3,False,参与
