类型,风化,扰动成分,扰动比例,论文表25声称范围,重复次数,seed,ARI均值,ARI最小,完全一致比例
高钾,无风化,SnO2,0.05,0.1,200,2022,1,1,1
高钾,无风化,SnO2,0.1,0.1,200,2022,1,1,1
高钾,无风化,SnO2,0.15,0.1,200,2022,1,1,1
高钾,无风化,SnO2,0.2,0.1,200,2022,1,1,1
高钾,无风化,CuO,0.05,0.15,200,2022,1,1,1
高钾,无风化,CuO,0.1,0.15,200,2022,1,1,1
高钾,无风化,CuO,0.15,0.15,200,2022,1,1,1
高钾,无风化,CuO,0.2,0.15,200,2022,1,1,1
高钾,无风化,CaO,0.05,0.15,200,2022,1,1,1
高钾,无风化,CaO,0.1,0.15,200,2022,1,1,1
高钾,无风化,CaO,0.15,0.15,200,2022,0.9983240997,0.6648199446,0.995
高钾,无风化,CaO,0.2,0.15,200,2022,0.9966481994,0.6648199446,0.99
铅钡,无风化,Na2O,0.05,0.2,200,2022,1,1,1
铅钡,无风化,Na2O,0.1,0.2,200,2022,1,1,1
铅钡,无风化,Na2O,0.15,0.2,200,2022,1,1,1
铅钡,无风化,Na2O,0.2,0.2,200,2022,1,1,1
铅钡,无风化,CuO,0.05,0.2,200,2022,1,1,1
铅钡,无风化,CuO,0.1,0.2,200,2022,1,1,1
铅钡,无风化,CuO,0.15,0.2,200,2022,1,1,1
铅钡,无风化,CuO,0.2,0.2,200,2022,1,1,1
铅钡,无风化,SiO2,0.05,0.05,200,2022,0.8577647059,0.2352941176,0.79
铅钡,无风化,SiO2,0.1,0.05,200,2022,0.7600665284,-0.03174603175,0.645
铅钡,无风化,SiO2,0.15,0.05,200,2022,0.6544285558,-0.09638554217,0.47
铅钡,无风化,SiO2,0.2,0.05,200,2022,0.5443149944,-0.1142857143,0.265
高钾,风化,SnO2,0.05,0.15,200,2022,1,1,1
高钾,风化,SnO2,0.1,0.15,200,2022,1,1,1
高钾,风化,SnO2,0.15,0.15,200,2022,1,1,1
高钾,风化,SnO2,0.2,0.15,200,2022,1,1,1
高钾,风化,CuO,0.05,0.15,200,2022,1,1,1
高钾,风化,CuO,0.1,0.15,200,2022,1,1,1
高钾,风化,CuO,0.15,0.15,200,2022,0.9236956522,-0.1739130435,0.935
高钾,风化,CuO,0.2,0.15,200,2022,0.8541304348,-0.1739130435,0.875
高钾,风化,SO2,0.05,0.15,200,2022,1,1,1
高钾,风化,SO2,0.1,0.15,200,2022,1,1,1
高钾,风化,SO2,0.15,0.15,200,2022,1,1,1
高钾,风化,SO2,0.2,0.15,200,2022,1,1,1
铅钡,风化,Al2O3,0.05,0.15,200,2022,1,1,1
铅钡,风化,Al2O3,0.1,0.15,200,2022,1,1,1
铅钡,风化,Al2O3,0.15,0.15,200,2022,1,1,1
铅钡,风化,Al2O3,0.2,0.15,200,2022,0.992662129,0.386381631,0.985
铅钡,风化,CuO,0.05,0.1,200,2022,1,1,1
铅钡,风化,CuO,0.1,0.1,200,2022,1,1,1
铅钡,风化,CuO,0.15,0.1,200,2022,1,1,1
铅钡,风化,CuO,0.2,0.1,200,2022,1,1,1
铅钡,风化,SrO,0.05,0.15,200,2022,1,1,1
铅钡,风化,SrO,0.1,0.15,200,2022,1,1,1
铅钡,风化,SrO,0.15,0.15,200,2022,1,1,1
铅钡,风化,SrO,0.2,0.15,200,2022,1,1,1
