文物编号,扰动比例,重复次数,seed,论文规则标签保持率,重训树标签保持率,PbO重训树标签保持率,解释
A1,0,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A1,0.05,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A1,0.1,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A1,0.2,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A1,0.5,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A1,1,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A2,0,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A2,0.05,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A2,0.1,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A2,0.2,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A2,0.5,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A2,1,200,2022,0.91,0.79,0.925,有限次乘性扰动；零值不变；保持率不是准确率
A3,0,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A3,0.05,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A3,0.1,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A3,0.2,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A3,0.5,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A3,1,200,2022,0.91,1,0.94,有限次乘性扰动；零值不变；保持率不是准确率
A4,0,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A4,0.05,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A4,0.1,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A4,0.2,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A4,0.5,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A4,1,200,2022,0.81,1,0.84,有限次乘性扰动；零值不变；保持率不是准确率
A5,0,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A5,0.05,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A5,0.1,200,2022,1,0.98,1,有限次乘性扰动；零值不变；保持率不是准确率
A5,0.2,200,2022,1,0.725,1,有限次乘性扰动；零值不变；保持率不是准确率
A5,0.5,200,2022,1,0.61,1,有限次乘性扰动；零值不变；保持率不是准确率
A5,1,200,2022,0.74,0.535,0.78,有限次乘性扰动；零值不变；保持率不是准确率
A6,0,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A6,0.05,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A6,0.1,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A6,0.2,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A6,0.5,200,2022,1,0.865,1,有限次乘性扰动；零值不变；保持率不是准确率
A6,1,200,2022,1,0.735,1,有限次乘性扰动；零值不变；保持率不是准确率
A7,0,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A7,0.05,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A7,0.1,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A7,0.2,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A7,0.5,200,2022,1,0.885,1,有限次乘性扰动；零值不变；保持率不是准确率
A7,1,200,2022,1,0.69,1,有限次乘性扰动；零值不变；保持率不是准确率
A8,0,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A8,0.05,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A8,0.1,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A8,0.2,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A8,0.5,200,2022,1,1,1,有限次乘性扰动；零值不变；保持率不是准确率
A8,1,200,2022,0.78,1,0.84,有限次乘性扰动；零值不变；保持率不是准确率
