类型,母序列,子序列,采样点,关联系数
高钾,SiO2,Na2O,01,0.9063649983
高钾,SiO2,Na2O,03部位1,0.8845762845
高钾,SiO2,Na2O,03部位2,0.9160682069
高钾,SiO2,Na2O,04,0.9107325954
高钾,SiO2,Na2O,05,0.91623555
高钾,SiO2,Na2O,06部位1,0.9084865831
高钾,SiO2,Na2O,06部位2,0.9185200887
高钾,SiO2,Na2O,07,0.8779303051
高钾,SiO2,Na2O,09,0.8751141789
高钾,SiO2,Na2O,10,0.8730635923
高钾,SiO2,Na2O,12,0.8759724164
高钾,SiO2,Na2O,13,0.6127269075
高钾,SiO2,Na2O,14,0.5686134961
高钾,SiO2,Na2O,16,0.6994098281
高钾,SiO2,Na2O,18,0.8937794428
高钾,SiO2,Na2O,21,0.8971983956
高钾,SiO2,Na2O,22,0.8782614144
高钾,SiO2,Na2O,27,0.8778239302
高钾,SiO2,K2O,01,0.9310253403
高钾,SiO2,K2O,03部位1,0.9660087625
高钾,SiO2,K2O,03部位2,0.8853693907
高钾,SiO2,K2O,04,0.9315323754
高钾,SiO2,K2O,05,0.906127238
高钾,SiO2,K2O,06部位1,0.9722392613
高钾,SiO2,K2O,06部位2,0.9557767383
高钾,SiO2,K2O,07,0.8779303051
高钾,SiO2,K2O,09,0.8834900957
高钾,SiO2,K2O,10,0.8861327143
高钾,SiO2,K2O,12,0.8904377787
高钾,SiO2,K2O,13,0.8798550562
高钾,SiO2,K2O,14,0.8875839966
高钾,SiO2,K2O,16,0.859381164
高钾,SiO2,K2O,18,0.9541234198
高钾,SiO2,K2O,21,0.8971983956
高钾,SiO2,K2O,22,0.8888687694
高钾,SiO2,K2O,27,0.8778239302
高钾,SiO2,CaO,01,0.9226284162
高钾,SiO2,CaO,03部位1,0.9354214075
高钾,SiO2,CaO,03部位2,0.9243942737
高钾,SiO2,CaO,04,0.8979820952
高钾,SiO2,CaO,05,0.8871272201
高钾,SiO2,CaO,06部位1,0.9084865831
高钾,SiO2,CaO,06部位2,0.9340201242
高钾,SiO2,CaO,07,0.9038881824
高钾,SiO2,CaO,09,0.8898745005
高钾,SiO2,CaO,10,0.8779846989
高钾,SiO2,CaO,12,0.8931942542
高钾,SiO2,CaO,13,0.8529173866
高钾,SiO2,CaO,14,0.8674745109
高钾,SiO2,CaO,16,0.8696875454
高钾,SiO2,CaO,18,0.8937794428
高钾,SiO2,CaO,21,0.9771654725
高钾,SiO2,CaO,22,0.9192315558
高钾,SiO2,CaO,27,0.9005408441
高钾,SiO2,MgO,01,0.9795044112
高钾,SiO2,MgO,03部位1,0.8845762845
高钾,SiO2,MgO,03部位2,0.9358489525
高钾,SiO2,MgO,04,0.8853192331
高钾,SiO2,MgO,05,0.8564751714
高钾,SiO2,MgO,06部位1,0.840539411
高钾,SiO2,MgO,06部位2,0.8588843136
高钾,SiO2,MgO,07,0.8779303051
高钾,SiO2,MgO,09,0.8751141789
高钾,SiO2,MgO,10,0.8730635923
高钾,SiO2,MgO,12,0.8759724164
高钾,SiO2,MgO,13,0.919556391
