,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
SiO2,1,0.8995704025,0.9199747916,0.921237354,0.9314890536,0.9530785945,0.9110460952,0.9151067449,0.9343458008,0.9357484714,0.8958041574,0.9241783839,0.8843182397,0.8821438446
Na2O,0.9011529364,1,0.8901807822,0.8767752541,0.8871711737,0.8950193715,0.8827272942,0.8818380939,0.8840143645,0.8876193663,0.8658984637,0.8882421895,0.8924294701,0.8942999744
K2O,0.9180857205,0.8863437526,1,0.9069053033,0.9192525316,0.920159002,0.9121182151,0.8975990179,0.8997757017,0.9059237734,0.8909275122,0.9033955961,0.9026437385,0.8916482846
CaO,0.9208941923,0.8744944725,0.9086393883,1,0.9323193601,0.9307999463,0.9284445213,0.9171673901,0.9456047496,0.9208818488,0.9459397182,0.9373844522,0.8915988462,0.8879880333
MgO,0.9280589236,0.8805082122,0.9174511117,0.9292591798,1,0.9424814762,0.9148665928,0.8920952497,0.9209474188,0.898476982,0.9088238699,0.9190306625,0.8895934754,0.8741113217
Al2O3,0.950047018,0.8869056255,0.9171717684,0.9266860936,0.9417911415,1,0.9141772743,0.9068558222,0.9327255105,0.922284946,0.9020752809,0.9208243611,0.8856967983,0.8753104777
Fe2O3,0.9099915789,0.8798576363,0.913051766,0.9278694611,0.9176824197,0.9182297688,1,0.8919784497,0.9058862785,0.8923137587,0.9109018082,0.8991032282,0.9057071368,0.8833094451
CuO,0.9192333164,0.8854957545,0.904399314,0.9214660346,0.9017020598,0.9163577243,0.8980634117,1,0.922466871,0.9443935136,0.9164318303,0.9246438421,0.885831096,0.9115756821
PbO,0.9368558645,0.8861479939,0.9054798675,0.9480367595,0.9274817503,0.9391048635,0.9103244878,0.9213815261,1,0.9437971094,0.9264038223,0.955857173,0.8852745763,0.8883491749
BaO,0.9371873535,0.8884036263,0.9100897794,0.9230667773,0.9052631214,0.9285009652,0.8959379943,0.9427839261,0.9429065555,1,0.9111964328,0.9430338123,0.8848817301,0.9083794311
P2O5,0.8997404174,0.8684899256,0.8970303066,0.9482056051,0.9162300007,0.9113102654,0.9150608106,0.915376596,0.9264554347,0.9124616417,1,0.9255255587,0.8896081183,0.8997804609
SrO,0.9259009575,0.8889319421,0.9075658302,0.9390838612,0.9245188425,0.92723593,0.9024511529,0.9224885705,0.9550193118,0.9429833063,0.9243678054,1,0.8861301463,0.8946155346
SnO2,0.8895154347,0.8951611543,0.9084128506,0.8966985723,0.8983855085,0.8965758435,0.9104841676,0.885831096,0.8868114487,0.8875937157,0.8907991852,0.888901593,1,0.9167289143
SO2,0.8874053488,0.8969681759,0.8978549261,0.8931549525,0.8840198313,0.886974234,0.889047798,0.9115756821,0.8898167044,0.910565734,0.900847849,0.8971605231,0.9167289143,1
