feature,y,week,bmi,age,height_z,weight_z,draw,week_sq,bmi_sq,week_bmi
y,1,0.126560028447,-0.151299813925,-0.119390900147,-0.104650626644,-0.180600945571,0.329890052766,0.131830105417,-0.156701013135,0.0615757716164
week,0.126560028447,1,0.149912633169,-0.0027418826803,0.0215507797445,0.130248722812,0.781648584259,0.994729902845,0.153126127228,0.93434516733
bmi,-0.151299813925,0.149912633169,1,0.00141748715752,0.0880371941225,0.835303768941,0.137881091084,0.149197355195,0.996216514729,0.482443065148
age,-0.119390900147,-0.0027418826803,0.00141748715752,1,0.0738956686523,0.0459741829498,-0.0133020066537,-0.00383390396865,0.00332505662935,-0.00391365233923
height_z,-0.104650626644,0.0215507797445,0.0880371941225,0.0738956686523,1,0.618590586968,-0.0169616398879,0.0210985177015,0.0916039960074,0.0491607642004
weight_z,-0.180600945571,0.130248722812,0.835303768941,0.0459741829498,0.618590586968,1,0.0984390361338,0.129359647121,0.835185084687,0.407612800603
draw,0.329890052766,0.781648584259,0.137881091084,-0.0133020066537,-0.0169616398879,0.0984390361338,1,0.762283234108,0.132871605907,0.735290322682
week_sq,0.131830105417,0.994729902845,0.149197355195,-0.00383390396865,0.0210985177015,0.129359647121,0.762283234108,1,0.152538659272,0.930618136785
bmi_sq,-0.156701013135,0.153126127228,0.996216514729,0.00332505662935,0.0916039960074,0.835185084687,0.132871605907,0.152538659272,1,0.485078201728
week_bmi,0.0615757716164,0.93434516733,0.482443065148,-0.00391365233923,0.0491607642004,0.407612800603,0.735290322682,0.930618136785,0.485078201728,1
