mode,solver,target,k,group,bmi_lower,bmi_upper,n,week,feasible,within_10_25_weeks,group_risk,minimum_group_size,empirical_coverage,empirical_inverse_week
GPR,GA,50,3,1,-inf,30.1582063724,65,11,True,True,65,52,0.507692307692,11
GPR,GA,50,3,2,30.1582063724,31.49474171,61,11.7142857143,True,True,61,52,0.508196721311,11.7142857143
GPR,GA,50,3,3,31.49474171,inf,134,12,True,True,134,52,0.507462686567,12
GPR,DP,50,3,1,-inf,30.3521024229,69,11,True,True,69,52,0.507246376812,11
GPR,DP,50,3,2,30.3521024229,31.6686908381,62,11.4571428572,True,True,62,52,0.5,11.2
GPR,DP,50,3,3,31.6686908381,inf,129,12,True,True,129,52,0.503875968992,12
GPR,GA,50,4,1,-inf,29.8600085764,50,11.4,True,True,50,39,0.5,11
GPR,GA,50,4,2,29.8600085764,32.7461857581,110,11.1714285715,True,True,110,39,0.5,11.1428571429
GPR,GA,50,4,3,32.7461857581,34.9950896875,61,11.5714285714,True,True,61,39,0.508196721311,11.5714285714
GPR,GA,50,4,4,34.9950896875,inf,39,12.8571428571,True,True,390,39,0.512820512821,12.8571428571
GPR,DP,50,4,1,-inf,29.480968858,39,12,True,True,39,39,0.512820512821,12
GPR,DP,50,4,2,29.480968858,30.644127545,49,10,True,True,49,39,0.510204081633,10
GPR,DP,50,4,3,30.644127545,31.6686908381,43,11.2,True,True,43,39,0.511627906977,11.2
GPR,DP,50,4,4,31.6686908381,inf,129,12,True,True,129,39,0.503875968992,12
GPR,GA,50,5,1,-inf,29.480968858,39,12,True,True,39,31,0.512820512821,12
GPR,GA,50,5,2,29.480968858,30.4890738825,39,10,True,True,39,31,0.538461538462,10
GPR,GA,50,5,3,30.4890738825,32.2276153307,71,11.2,True,True,71,31,0.521126760563,11.2
GPR,GA,50,5,4,32.2276153307,35.54333333,79,11.5714285714,True,True,79,31,0.506329113924,11.5714285714
GPR,GA,50,5,5,35.54333333,inf,32,13.1428571428,True,True,320,31,0.5,12.8571428571
GPR,DP,50,5,1,-inf,29.4012255288,34,11.4,True,True,34,31,0.5,11
GPR,DP,50,5,2,29.4012255288,30.42719786,39,10,True,True,39,31,0.512820512821,10
GPR,DP,50,5,3,30.42719786,30.8999798004,31,12,True,True,31,31,0.516129032258,12
GPR,DP,50,5,4,30.8999798004,31.81679622,31,11.5714285714,True,True,31,31,0.516129032258,11.5714285714
GPR,DP,50,5,5,31.81679622,inf,125,12,True,True,125,31,0.504,12
GPR,GA,50,6,1,-inf,29.908172635,56,11.4,True,True,56,26,0.5,11
GPR,GA,50,6,2,29.908172635,30.5741036425,26,10.5,True,True,26,26,0.5,10
GPR,GA,50,6,3,30.5741036425,31.496786045,45,11.8571428571,True,True,45,26,0.511111111111,11.8571428571
GPR,GA,50,6,4,31.496786045,32.6580650567,31,11.1428571429,True,True,31,26,0.516129032258,11.1428571429
GPR,GA,50,6,5,32.6580650567,35.75595619,75,11.5714285714,True,True,75,26,0.506666666667,11.5714285714
GPR,GA,50,6,6,35.75595619,inf,27,13.5714285714,True,True,270,26,0.518518518519,13.5714285714
GPR,DP,50,6,1,-inf,29.362033315,32,11.9,True,True,32,26,0.5,11.8
GPR,DP,50,6,2,29.362033315,30.6553293031,57,10,True,True,57,26,0.508771929825,10
GPR,DP,50,6,3,30.6553293031,32.63762972,68,11.25,True,True,68,26,0.5,11.2
GPR,DP,50,6,4,32.63762972,33.4905102494,31,10.4,True,True,31,26,0.516129032258,10.4
GPR,DP,50,6,5,33.4905102494,35.8127098658,46,11.5,True,True,46,26,0.5,11.4285714286
GPR,DP,50,6,6,35.8127098658,inf,26,13.6428571429,True,True,260,26,0.5,13.5714285714
GPR,GA,75,3,1,-inf,30.5741036425,82,13.1071428572,True,True,820,52,0.743902439024,13.1428571429
GPR,GA,75,3,2,30.5741036425,32.9420211591,87,13,True,True,870,52,0.758620689655,13
GPR,GA,75,3,3,32.9420211591,inf,91,13.8571428571,True,True,910,52,0.769230769231,13.8571428571
GPR,DP,75,3,1,-inf,30.46875,77,13,True,True,770,52,0.753246753247,13
GPR,DP,75,3,2,30.46875,33.251953125,100,13.0357142857,True,True,1000,52,0.75,13
GPR,DP,75,3,3,33.251953125,inf,83,13.8571428571,True,True,830,52,0.759036144578,13.8571428571
GPR,GA,75,4,1,-inf,29.900913836,55,12.9285714286,True,True,550,39,0.745454545455,13
GPR,GA,75,4,2,29.900913836,32.63191065,101,13,True,True,1010,39,0.752475247525,13
GPR,GA,75,4,3,32.63191065,34.440835603,55,13.0714285714,True,True,550,39,0.745454545455,13.1428571429
GPR,GA,75,4,4,34.440835603,inf,49,16.1428571429,True,True,490,39,0.755102040816,16.1428571429
GPR,DP,75,4,1,-inf,29.8844518025,53,12.8571428571,True,True,530,39,0.754716981132,12.8571428571
GPR,DP,75,4,2,29.8844518025,30.712484475,39,13.2142857143,True,True,390,39,0.74358974359,13.2857142857
GPR,DP,75,4,3,30.712484475,33.3902527334,91,13,True,True,910,39,0.758241758242,13
GPR,DP,75,4,4,33.3902527334,inf,77,13.8571428571,True,True,770,39,0.753246753247,13.8571428571
GPR,GA,75,5,1,-inf,29.76124885,45,13,True,True,450,31,0.755555555556,13
GPR,GA,75,5,2,29.76124885,30.5427335078,34,13.2142857143,True,True,340,31,0.735294117647,13.2857142857
GPR,GA,75,5,3,30.5427335078,31.3215400633,44,13.1785714286,True,True,440,31,0.75,13.1428571429
GPR,GA,75,5,4,31.3215400633,33.822939626,72,12.8571428571,True,True,720,31,0.763888888889,12.8571428571
GPR,GA,75,5,5,33.822939626,inf,65,15.5714285714,True,True,650,31,0.753846153846,15.5714285714
GPR,DP,75,5,1,-inf,29.900913836,55,12.9285714286,True,True,550,31,0.745454545455,13
GPR,DP,75,5,2,29.900913836,30.9445601675,52,13.4642857143,True,True,520,31,0.75,13.4285714286
GPR,DP,75,5,3,30.9445601675,31.9591974172,33,12.2857142857,True,True,330,31,0.757575757576,12.2857142857
GPR,DP,75,5,4,31.9591974172,33.3902527334,43,13,True,True,430,31,0.767441860465,13
GPR,DP,75,5,5,33.3902527334,inf,77,13.8571428571,True,True,770,31,0.753246753247,13.8571428571
GPR,GA,75,6,1,-inf,29.8790859852,51,12.9285714286,True,True,510,26,0.745098039216,13
GPR,GA,75,6,2,29.8790859852,30.8462766725,49,13.1428571429,True,True,490,26,0.755102040816,13.1428571429
GPR,GA,75,6,3,30.8462766725,31.496786045,27,13.1428571428,True,True,270,26,0.740740740741,13.2857142857
GPR,GA,75,6,4,31.496786045,32.462195925,27,12.8571428571,True,True,270,26,0.777777777778,12.8571428571
GPR,GA,75,6,5,32.462195925,33.39100346,30,13.1071428572,True,True,300,26,0.733333333333,13.1428571429
GPR,GA,75,6,6,33.39100346,inf,76,14.1178571428,True,True,760,26,0.75,13.8571428571
GPR,DP,75,6,1,-inf,29.8844518025,53,12.8571428571,True,True,530,26,0.754716981132,12.8571428571
GPR,DP,75,6,2,29.8844518025,30.7018218608,38,13.25,True,True,380,26,0.736842105263,13.2857142857
GPR,DP,75,6,3,30.7018218608,33.0078125,81,13,True,True,810,26,0.753086419753,13
GPR,DP,75,6,4,33.0078125,34.0254513521,28,11.8571428572,True,True,28,26,0.75,11.7142857143
GPR,DP,75,6,5,34.0254513521,35.8127098658,34,13.5,True,True,340,26,0.735294117647,13.5714285714
GPR,DP,75,6,6,35.8127098658,inf,26,16.3928571429,True,True,260,26,0.730769230769,16.4285714286
GPR,GA,90,3,1,-inf,31.8622415388,138,16,True,True,1380,52,0.905797101449,16
GPR,GA,90,3,2,31.8622415388,33.8466056318,59,14.22,True,True,590,52,0.898305084746,15.1
GPR,GA,90,3,3,33.8466056318,inf,63,19.2371428571,True,True,630,52,0.888888888889,19.5714285714
GPR,DP,90,3,1,-inf,30.5974876567,85,16.2285714286,True,True,850,52,0.894117647059,16.2857142857
GPR,DP,90,3,2,30.5974876567,32.7461857581,75,13.8571428571,True,True,750,52,0.906666666667,13.8571428571
GPR,DP,90,3,3,32.7461857581,inf,100,17.0285714286,True,True,1000,52,0.9,17
GPR,GA,90,4,1,-inf,30.8999798004,104,16.1428571429,True,True,1040,39,0.903846153846,16.1428571429
