mode,target,k,ga_risk,dp_risk,gap,minimum_group_size,n_subjects
GPR,50,3,260,260,0,52,260
GPR,50,4,611,260,351,39,260
GPR,50,5,548,260,288,31,260
GPR,50,6,503,494,9,26,260
GPR,75,3,2600,2600,0,52,260
GPR,75,4,2600,2600,0,39,260
GPR,75,5,2600,2600,0,31,260
GPR,75,6,2600,2348,252,26,260
GPR,90,3,2600,2600,0,52,260
GPR,90,4,2600,2600,0,39,260
GPR,90,5,2600,2600,0,31,260
GPR,90,6,2600,2600,0,26,260
GPR,95,3,2600,2600,0,52,260
GPR,95,4,2600,2600,0,39,260
GPR,95,5,2600,2600,0,31,260
GPR,95,6,2600,2600,0,26,260
GPR,99,3,2600,2600,0,52,260
GPR,99,4,2600,2600,0,39,260
GPR,99,5,2600,2600,0,31,260
GPR,99,6,2600,2600,0,26,260
