target,group,reproduced_week,paper_week,week_difference,reproduced_n,reproduced_upper,paper_upper,paper_n
50,1,11,11,0,65,30.1582063724,29.88,55
50,2,11.7142857143,11.64,0.0742857143,61,31.49474171,31.82,82
50,3,12,12,0,134,inf,inf,125
75,1,13.1071428572,12.86,0.247142857175,82,30.5741036425,29.89,54
75,2,13,13.11,-0.11,87,32.9420211591,34.03,146
75,3,13.8571428571,16.04,-2.1828571429,91,inf,inf,60
90,1,16,16.09,-0.09,138,31.8622415388,30.33,68
90,2,14.22,15.19,-0.97,59,33.8466056318,34.26,138
90,3,19.2371428571,20.27,-1.03285714288,63,inf,inf,54
99,1,21.8614285714,20.71,1.1514285714,63,30.110278895,31.25,121
99,2,18.69,19.67,-0.98000000003,131,33.7801939188,34.16,83
99,3,24.85,25.09,-0.23999999999,66,inf,inf,56
