sigma_y,target,group,coverage_mean,coverage_sd,censored_mean,repetitions,finite_week_median,infeasible_fraction
0,50,1,0.0615384615385,,0,1,12.8571428571,0
0,50,2,0.129032258065,,1,1,12.7142857143,0
0,50,3,0.192857142857,,6,1,13,0
0,75,1,0.578313253012,,1,1,13.7142857143,0
0,75,2,0.674157303371,,2,1,13.4285714286,0
0,75,3,0.694736842105,,4,1,16,0
0,90,1,0.877697841727,,1,1,16.2857142857,0
0,90,2,0.868852459016,,2,1,16.2857142857,0
0,90,3,0.820895522388,,4,1,23.4285714286,0
0,95,1,0.907894736842,,1,1,20.8571428571,0
0,95,2,0.921568627451,,2,1,18.8571428571,0
0,95,3,0.898876404494,,4,1,26.4285714286,0
0,99,1,0.984126984127,,0,1,26.1428571429,0
0,99,2,0.932835820896,,3,1,,1
0,99,3,0.928571428571,,4,1,,1
0.002,50,1,0.0615384615385,0,0,100,12.8571428571,0
0.002,50,2,0.13,0.00384972994477,1.06,100,12.7142857143,0
0.002,50,3,0.194571428571,0.00593026193322,6.46,100,13,0
0.002,75,1,0.575060240964,0.00887425464415,0.94,100,13.7142857143,0
0.002,75,2,0.669101123596,0.0160795106437,2.12,100,13.4285714286,0
0.002,75,3,0.702526315789,0.0111580752897,4.46,100,15.5714285714,0
0.002,90,1,0.871870503597,0.0092423059047,1.06,100,16.4285714286,0
0.002,90,2,0.863278688525,0.0161800987754,2.28,100,15.9285714286,0
0.002,90,3,0.819552238806,0.0130935251514,4.18,100,23.4285714286,0
0.002,95,1,0.903947368421,0.0068714864193,0.94,100,20.8571428571,0
0.002,95,2,0.921960784314,0.0160048847102,2.12,100,19.4285714286,0
0.002,95,3,0.898202247191,0.00886591801724,4.46,100,26.4285714286,0.51
0.002,99,1,0.976031746032,0.0104598528721,0,100,26.1428571429,0
0.002,99,2,0.932462686567,0.010888333037,3.34,100,,1
0.002,99,3,0.926285714286,0.00946300938874,4.18,100,,1
0.005,50,1,0.0586153846154,0.00644790807151,0,100,12.8571428571,0
0.005,50,2,0.133870967742,0.0090255060179,1.12,100,12.7142857143,0
0.005,50,3,0.193142857143,0.00731537690273,5.87,100,13,0
0.005,75,1,0.574578313253,0.0147007103176,0.78,100,13.7142857143,0
0.005,75,2,0.663820224719,0.0196035714383,2.28,100,13.4285714286,0
0.005,75,3,0.707473684211,0.0172085988382,3.93,100,15.5714285714,0
0.005,90,1,0.871223021583,0.0111311946032,1.12,100,16.4285714286,0
0.005,90,2,0.85393442623,0.0183609810015,2.25,100,16.2857142857,0
0.005,90,3,0.821791044776,0.0197666234252,3.62,100,22,0
0.005,95,1,0.906315789474,0.012859454383,0.78,100,20.8571428571,0
0.005,95,2,0.913431372549,0.01740748673,2.28,100,20.1428571429,0
0.005,95,3,0.899662921348,0.0142174178997,3.93,100,24,0.29
0.005,99,1,0.973650793651,0.013389104368,0,100,26.1428571429,0
0.005,99,2,0.92947761194,0.0123868244867,3.37,100,,1
0.005,99,3,0.939,0.0149008957269,3.62,100,,1
