mode,solver,target,k,group,bmi_lower,bmi_upper,n,week,feasible,within_10_25_weeks,group_risk,minimum_group_size,predicted_coverage
paper_history,GA,50,3,1,-inf,32.3117085768,162,12.5714285714,True,True,810,50,0.523194406714
paper_history,GA,50,3,2,32.3117085768,33.8308993299,50,12,True,True,50,50,0.502544999123
paper_history,GA,50,3,3,33.8308993299,inf,55,13.8571428571,True,True,275,50,0.501264653036
paper_history,DP,50,3,1,-inf,32.24206349,161,12.5714285714,True,True,805,50,0.522002096687
paper_history,DP,50,3,2,32.24206349,33.8632982242,52,12,True,True,52,50,0.503032565117
paper_history,DP,50,3,3,33.8632982242,inf,54,14,True,True,270,50,0.501790583134
paper_history,GA,75,3,1,-inf,30.1808820146,88,16.8571428571,True,True,440,50,0.753943903106
paper_history,GA,75,3,2,30.1808820146,32.8125,93,15.8571428571,True,True,465,50,0.753728483404
paper_history,GA,75,3,3,32.8125,inf,86,19.2857142857,True,True,430,50,0.754684099129
paper_history,DP,75,3,1,-inf,29.44636678,56,16.8571428571,True,True,280,50,0.750078584467
paper_history,DP,75,3,2,29.44636678,30.6293529774,57,16.5714285714,True,True,285,50,0.752216551985
paper_history,DP,75,3,3,30.6293529774,inf,154,17,True,True,770,50,0.750605583191
paper_history,GA,90,3,1,-inf,29.41176471,53,29.4285714286,True,False,530,50,0.900745851653
paper_history,GA,90,3,2,29.41176471,33.9760383005,164,27.5714285714,True,False,820,50,0.900730235236
paper_history,GA,90,3,3,33.9760383005,inf,50,32.5714285714,True,False,500,50,0.900801871504
paper_history,DP,90,3,1,-inf,29.37239738,50,29.2857142857,True,False,500,50,0.900020377977
paper_history,DP,90,3,2,29.37239738,33.9760383005,167,27.5714285714,True,False,835,50,0.900231753077
paper_history,DP,90,3,3,33.9760383005,inf,50,32.5714285714,True,False,500,50,0.900801871504
paper_history,GA,95,3,1,-inf,30.11099051,82,35.5714285714,True,False,820,50,0.950783976487
paper_history,GA,95,3,2,30.11099051,33.0200653601,105,34.8571428571,True,False,1050,50,0.950514750821
paper_history,GA,95,3,3,33.0200653601,inf,80,36.5714285714,True,False,800,50,0.950422031539
paper_history,DP,95,3,1,-inf,32.24206349,161,35.4285714286,True,False,1610,50,0.950315466949
paper_history,DP,95,3,2,32.24206349,33.8632982242,52,32.8571428571,True,False,520,50,0.950378954411
paper_history,DP,95,3,3,33.8632982242,inf,54,37.2857142857,True,False,540,50,0.950401970318
paper_history,GA,99,3,1,-inf,32.04614645,157,inf,False,False,157000000,50,0.987634718418
paper_history,GA,99,3,2,32.04614645,33.9504634757,59,40,True,False,590,50,0.990104496479
paper_history,GA,99,3,3,33.9504634757,inf,51,inf,False,False,51000000,50,0.982410907745
paper_history,DP,99,3,1,-inf,32,153,inf,False,False,153000000,50,0.987661838531
paper_history,DP,99,3,2,32,33.8632982242,60,40,True,False,600,50,0.990200161934
paper_history,DP,99,3,3,33.8632982242,inf,54,inf,False,False,54000000,50,0.982472479343
static_interval,GA,50,3,1,-inf,30.47052154,104,10.7142857143,True,True,104,50,0.515006252698
static_interval,GA,50,3,2,30.47052154,32.9258922119,80,10.8571428571,True,True,80,50,0.540970717158
static_interval,GA,50,3,3,32.9258922119,inf,83,10.8571428571,True,True,83,50,0.504993511098
static_interval,DP,50,3,1,-inf,29.37239738,50,10.7142857143,True,True,50,50,0.51562997273
static_interval,DP,50,3,2,29.37239738,33.211258836,144,10.7142857143,True,True,144,50,0.503629863262
