generation,best_risk,feasible_fraction,target,k,mode
0,1335,0.16,50,3,paper_history
1,1335,0.34,50,3,paper_history
2,1335,0.65,50,3,paper_history
3,1335,0.88,50,3,paper_history
4,1335,0.81,50,3,paper_history
5,1335,0.89,50,3,paper_history
6,1335,0.89,50,3,paper_history
7,1335,0.92,50,3,paper_history
8,1335,0.93,50,3,paper_history
9,1335,0.89,50,3,paper_history
10,1335,0.96,50,3,paper_history
11,1335,0.92,50,3,paper_history
12,1335,0.93,50,3,paper_history
13,1335,0.94,50,3,paper_history
14,1335,0.97,50,3,paper_history
15,1335,0.94,50,3,paper_history
16,1335,0.91,50,3,paper_history
17,1335,0.93,50,3,paper_history
18,1335,0.95,50,3,paper_history
19,1335,0.89,50,3,paper_history
20,1335,0.92,50,3,paper_history
21,1335,0.92,50,3,paper_history
22,1335,0.94,50,3,paper_history
23,1335,0.94,50,3,paper_history
24,1335,0.89,50,3,paper_history
25,1335,0.91,50,3,paper_history
26,1335,0.9,50,3,paper_history
27,1335,0.91,50,3,paper_history
28,1335,0.93,50,3,paper_history
29,1335,0.93,50,3,paper_history
30,1135,0.89,50,3,paper_history
31,1135,0.92,50,3,paper_history
32,1135,0.9,50,3,paper_history
33,1135,0.82,50,3,paper_history
34,1135,0.86,50,3,paper_history
35,1135,0.86,50,3,paper_history
36,1135,0.91,50,3,paper_history
37,1135,0.89,50,3,paper_history
38,1135,0.91,50,3,paper_history
39,1135,0.92,50,3,paper_history
40,1135,0.94,50,3,paper_history
41,1135,0.94,50,3,paper_history
42,1135,0.96,50,3,paper_history
43,1135,0.99,50,3,paper_history
44,1135,0.94,50,3,paper_history
45,1135,0.91,50,3,paper_history
46,1135,0.94,50,3,paper_history
47,1135,0.91,50,3,paper_history
48,1135,0.84,50,3,paper_history
49,1135,0.89,50,3,paper_history
50,1135,0.9,50,3,paper_history
0,1335,0.18,75,3,paper_history
1,1335,0.35,75,3,paper_history
2,1335,0.67,75,3,paper_history
3,1335,0.88,75,3,paper_history
4,1335,0.88,75,3,paper_history
