target,group,reproduced_week,paper_week,week_difference,reproduced_n,reproduced_upper,paper_upper
50,1,12.5714285714,11.43,1.14142857143,162,32.3117085768,28.5
50,2,12,11.86,0.14,50,33.8308993299,32
50,3,13.8571428571,12.29,1.56714285714,55,inf,inf
75,1,16.8571428571,12.71,4.14714285714,88,30.1808820146,29.1
75,2,15.8571428571,13.57,2.28714285714,93,32.8125,33.5
75,3,19.2857142857,14.86,4.42571428571,86,inf,inf
90,1,29.4285714286,14.29,15.1385714286,53,29.41176471,29.8
90,2,27.5714285714,16.14,11.4314285714,164,33.9760383005,34.1
90,3,32.5714285714,18.43,14.1414285714,50,inf,inf
99,1,inf,18.86,inf,157,32.04614645,30.5
99,2,40,21,19,59,33.9504634757,34.8
99,3,inf,24.57,inf,51,inf,inf
