sigma_y,repeat,target,group,week,base_week,feasible,coverage_at_base
0,0,50,1,12.5714285714,12.5714285714,True,0.523194283247
0,0,50,2,12,12,True,0.502544999123
0,0,50,3,13.8571428571,13.8571428571,True,0.501264682838
0,0,75,1,16.8571428571,16.8571428571,True,0.753943698747
0,0,75,2,15.8571428571,15.8571428571,True,0.753728176866
0,0,75,3,19.2857142857,19.2857142857,True,0.754684158734
0,0,90,1,29.4285714286,29.4285714286,True,0.900745749474
0,0,90,2,27.5714285714,27.5714285714,True,0.90073036296
0,0,90,3,32.5714285714,32.5714285714,True,0.900801828929
0,0,95,1,35.5714285714,35.5714285714,True,0.950783780643
0,0,95,2,34.8571428571,34.8571428571,True,0.950514784881
0,0,95,3,36.5714285714,36.5714285714,True,0.950422108173
0,0,99,1,inf,inf,False,
0,0,99,2,40,40,True,0.990104436874
0,0,99,3,inf,inf,False,
0.002,0,50,1,12.4285714286,12.5714285714,True,0.524078407458
0.002,0,50,2,12,12,True,0.503056704998
0.002,0,50,3,14,13.8571428571,True,0.49970257708
0.002,0,75,1,16.7142857143,16.8571428571,True,0.755382401603
0.002,0,75,2,15.8571428571,15.8571428571,True,0.754182721887
0.002,0,75,3,19.2857142857,19.2857142857,True,0.753495241914
0.002,0,90,1,29.2857142857,29.4285714286,True,0.901631048747
0.002,0,90,2,27.5714285714,27.5714285714,True,0.900805464813
0.002,0,90,3,32.5714285714,32.5714285714,True,0.900240489415
0.002,0,95,1,35.5714285714,35.5714285714,True,0.9510233828
0.002,0,95,2,34.8571428571,34.8571428571,True,0.950593684401
0.002,0,95,3,36.5714285714,36.5714285714,True,0.950240458761
0.002,0,99,1,inf,inf,False,
0.002,0,99,2,40,40,True,0.990092158318
0.002,0,99,3,inf,inf,False,
0.002,1,50,1,12.4285714286,12.5714285714,True,0.5242327622
0.002,1,50,2,12,12,True,0.502553224564
0.002,1,50,3,13.8571428571,13.8571428571,True,0.500889876059
0.002,1,75,1,16.7142857143,16.8571428571,True,0.755086464541
0.002,1,75,2,15.8571428571,15.8571428571,True,0.754195017474
0.002,1,75,3,19.2857142857,19.2857142857,True,0.754151199545
0.002,1,90,1,29.2857142857,29.4285714286,True,0.901251392705
0.002,1,90,2,27.5714285714,27.5714285714,True,0.900909500463
0.002,1,90,3,32.5714285714,32.5714285714,True,0.90055833544
0.002,1,95,1,35.5714285714,35.5714285714,True,0.95093952758
0.002,1,95,2,34.8571428571,34.8571428571,True,0.95063072443
0.002,1,95,3,36.5714285714,36.5714285714,True,0.950350948742
0.002,1,99,1,inf,inf,False,
0.002,1,99,2,40,40,True,0.990100026131
0.002,1,99,3,inf,inf,False,
0.002,2,50,1,12.5714285714,12.5714285714,True,0.522528082132
0.002,2,50,2,12,12,True,0.502256214619
0.002,2,50,3,13.8571428571,13.8571428571,True,0.500275535243
0.002,2,75,1,16.8571428571,16.8571428571,True,0.75287929603
0.002,2,75,2,15.8571428571,15.8571428571,True,0.752959259919
0.002,2,75,3,19.2857142857,19.2857142857,True,0.754232142653
0.002,2,90,1,29.4285714286,29.4285714286,True,0.900273587023
0.002,2,90,2,27.5714285714,27.5714285714,True,0.900377758912
0.002,2,90,3,32.5714285714,32.5714285714,True,0.900682219437
0.002,2,95,1,35.5714285714,35.5714285714,True,0.950595779078
0.002,2,95,2,34.8571428571,34.8571428571,True,0.950371231352
0.002,2,95,3,36.5714285714,36.5714285714,True,0.950344528471
0.002,2,99,1,inf,inf,False,
0.002,2,99,2,40,40,True,0.990067780018
0.002,2,99,3,inf,inf,False,
0.002,3,50,1,12.5714285714,12.5714285714,True,0.523567923478
0.002,3,50,2,12,12,True,0.501846373081
0.002,3,50,3,14,13.8571428571,True,0.499740153551
0.002,3,75,1,16.7142857143,16.8571428571,True,0.754333010742
0.002,3,75,2,15.8571428571,15.8571428571,True,0.754105780806
0.002,3,75,3,19.2857142857,19.2857142857,True,0.753373520715
0.002,3,90,1,29.2857142857,29.4285714286,True,0.90130757434
0.002,3,90,2,27.5714285714,27.5714285714,True,0.900528337274
0.002,3,90,3,32.5714285714,32.5714285714,True,0.900502494403
0.002,3,95,1,35.5714285714,35.5714285714,True,0.950856796333
0.002,3,95,2,34.8571428571,34.8571428571,True,0.950547984668
0.002,3,95,3,36.5714285714,36.5714285714,True,0.950246231897
0.002,3,99,1,inf,inf,False,
0.002,3,99,2,40,40,True,0.990062534809
0.002,3,99,3,inf,inf,False,
0.002,4,50,1,12.5714285714,12.5714285714,True,0.522953259093
0.002,4,50,2,12,12,True,0.501824498177
0.002,4,50,3,13.8571428571,13.8571428571,True,0.500514302935
0.002,4,75,1,16.7142857143,16.8571428571,True,0.754327620779
0.002,4,75,2,15.8571428571,15.8571428571,True,0.7522433315
0.002,4,75,3,19.2857142857,19.2857142857,True,0.754362940788
0.002,4,90,1,29.2857142857,29.4285714286,True,0.90146535635
0.002,4,90,2,27.5714285714,27.5714285714,True,0.900150299072
0.002,4,90,3,32.5714285714,32.5714285714,True,0.900810607842
0.002,4,95,1,35.5714285714,35.5714285714,True,0.950882256031
0.002,4,95,2,34.8571428571,34.8571428571,True,0.950270618711
0.002,4,95,3,36.5714285714,36.5714285714,True,0.950375029019
0.002,4,99,1,inf,inf,False,
0.002,4,99,2,40,40,True,0.990054666996
0.002,4,99,3,inf,inf,False,
0.002,5,50,1,12.5714285714,12.5714285714,True,0.523599837508
0.002,5,50,2,12,12,True,0.503596842289
0.002,5,50,3,13.8571428571,13.8571428571,True,0.500553109816
0.002,5,75,1,16.7142857143,16.8571428571,True,0.75428208283
0.002,5,75,2,15.8571428571,15.8571428571,True,0.75457660641
0.002,5,75,3,19.2857142857,19.2857142857,True,0.75465125697
0.002,5,90,1,29.4285714286,29.4285714286,True,0.90073703868
0.002,5,90,2,27.5714285714,27.5714285714,True,0.901219035898
