sigma_y,target,group,week_mean,week_sd,delta_mean,feasible_fraction,coverage_mean
0,50,1,12.5714285714,,0,1,0.523194283247
0,50,2,12,,0,1,0.502544999123
0,50,3,13.8571428571,,0,1,0.501264682838
0,75,1,16.8571428571,,0,1,0.753943698747
0,75,2,15.8571428571,,0,1,0.753728176866
0,75,3,19.2857142857,,0,1,0.754684158734
0,90,1,29.4285714286,,0,1,0.900745749474
0,90,2,27.5714285714,,0,1,0.90073036296
0,90,3,32.5714285714,,0,1,0.900801828929
0,95,1,35.5714285714,,0,1,0.950783780643
0,95,2,34.8571428571,,0,1,0.950514784881
0,95,3,36.5714285714,,0,1,0.950422108173
0,99,1,,,,0,
0,99,2,40,,0,1,0.990104436874
0,99,3,,,,0,
0.002,50,1,12.56,0.0389514177635,-0.0114285714286,1,0.523170044294
0.002,50,2,12,0,0,1,0.502497941852
0.002,50,3,13.8714285714,0.0688570290934,0.0142857142857,1,0.501223036093
0.002,75,1,16.8028571429,0.0696902473164,-0.0542857142857,1,0.753864837374
0.002,75,2,15.84,0.0466569474816,-0.0171428571429,1,0.753697491203
0.002,75,3,19.2814285714,0.0244923725711,-0.00428571428571,1,0.754679636955
0.002,90,1,29.4142857143,0.0591982438579,-0.0142857142857,1,0.900714623332
0.002,90,2,27.57,0.0142857142857,-0.00142857142857,1,0.900713727815
0.002,90,3,32.57,0.0142857142857,-0.00142857142857,1,0.900799850481
0.002,95,1,35.5714285714,0,0,1,0.950769274235
0.002,95,2,34.8571428571,0,0,1,0.950513514195
0.002,95,3,36.5714285714,0,0,1,0.950413685015
0.002,99,1,,,,0,
0.002,99,2,40,0,0,1,0.990101811886
0.002,99,3,,,,0,
0.005,50,1,12.5385714286,0.0604217978117,-0.0328571428571,1,0.522804131593
0.005,50,2,12.0257142857,0.0551604170951,0.0257142857143,1,0.501763823926
0.005,50,3,13.8885714286,0.108550161204,0.0314285714286,1,0.500984090183
0.005,75,1,16.8057142857,0.0799917538525,-0.0514285714286,1,0.75355285338
0.005,75,2,15.83,0.0877934458616,-0.0271428571429,1,0.753158969879
0.005,75,3,19.2671428571,0.0482853812842,-0.0185714285714,1,0.754335966366
0.005,90,1,29.4171428571,0.126282332002,-0.0114285714286,1,0.900660046935
0.005,90,2,27.5928571429,0.0821655969528,0.0214285714286,1,0.900472178204
0.005,90,3,32.58,0.0636290009582,0.00857142857143,1,0.900700857299
0.005,95,1,35.5571428571,0.0517673625242,-0.0142857142857,1,0.950716720649
0.005,95,2,34.8642857143,0.0621705914127,0.00714285714286,1,0.950407052466
0.005,95,3,36.5757142857,0.0377418675652,0.00428571428571,1,0.950363285627
0.005,99,1,,,,0,
0.005,99,2,40,0,0,0.71,0.990071314573
0.005,99,3,,,,0,
