outer_fold,model,trial,log_loss,params,refit_estimators
1,t13,0,0.178620685219,"{""is_unbalance"": true, ""learning_rate"": 0.09316316040169828, ""n_estimators"": 500, ""num_leaves"": 32}",21
1,t13,1,0.17778816206,"{""is_unbalance"": true, ""learning_rate"": 0.08802235691342176, ""n_estimators"": 500, ""num_leaves"": 21}",18
1,t13,2,0.165861993195,"{""is_unbalance"": true, ""learning_rate"": 0.06162163155438649, ""n_estimators"": 500, ""num_leaves"": 49}",7
1,t13,3,0.15929428983,"{""is_unbalance"": true, ""learning_rate"": 0.03306525020290049, ""n_estimators"": 500, ""num_leaves"": 89}",33
1,t13,4,0.160223625862,"{""is_unbalance"": true, ""learning_rate"": 0.02978410166368085, ""n_estimators"": 500, ""num_leaves"": 101}",33
1,t13,5,0.162306729086,"{""is_unbalance"": true, ""learning_rate"": 0.06649770181687145, ""n_estimators"": 500, ""num_leaves"": 67}",24
1,t13,6,0.161913659634,"{""is_unbalance"": true, ""learning_rate"": 0.04622890220788106, ""n_estimators"": 500, ""num_leaves"": 73}",21
1,t13,7,0.159199359778,"{""is_unbalance"": true, ""learning_rate"": 0.031053018741113107, ""n_estimators"": 500, ""num_leaves"": 28}",44
1,t13,8,0.157344759305,"{""is_unbalance"": true, ""learning_rate"": 0.01942414906019978, ""n_estimators"": 500, ""num_leaves"": 76}",28
1,t13,9,0.158844108272,"{""is_unbalance"": true, ""learning_rate"": 0.020246278225465215, ""n_estimators"": 500, ""num_leaves"": 50}",68
1,t13,10,0.155864681984,"{""is_unbalance"": true, ""learning_rate"": 0.06187732741485143, ""n_estimators"": 500, ""num_leaves"": 133}",28
1,t13,11,0.163963475009,"{""is_unbalance"": true, ""learning_rate"": 0.06694558244981018, ""n_estimators"": 500, ""num_leaves"": 145}",20
1,t18,0,0.232822705186,"{""is_unbalance"": true, ""learning_rate"": 0.03707859970419569, ""n_estimators"": 500, ""num_leaves"": 36}",45
1,t18,1,0.234269478187,"{""is_unbalance"": true, ""learning_rate"": 0.039086440927139754, ""n_estimators"": 500, ""num_leaves"": 103}",26
1,t18,2,0.234935651226,"{""is_unbalance"": true, ""learning_rate"": 0.061027372087229206, ""n_estimators"": 500, ""num_leaves"": 66}",14
1,t18,3,0.232318757252,"{""is_unbalance"": true, ""learning_rate"": 0.0441473423972137, ""n_estimators"": 500, ""num_leaves"": 11}",21
1,t18,4,0.235956625322,"{""is_unbalance"": true, ""learning_rate"": 0.025332904089434092, ""n_estimators"": 500, ""num_leaves"": 27}",35
1,t18,5,0.237792802748,"{""is_unbalance"": true, ""learning_rate"": 0.07231611487636774, ""n_estimators"": 500, ""num_leaves"": 133}",17
