outer_fold,model,feature,gain
1,t13,age,34.2906725931
1,t13,height,8.08474105597
1,t13,weight,80.6720154859
1,t13,bmi,963.384677208
1,t13,week,102.158442837
1,t13,reads,92.3815950192
1,t13,mapping,20.4186057048
1,t13,duplicate,40.6251553995
1,t13,unique_reads,50.2363369995
1,t13,unique_ratio,10.8451304538
1,t13,gc,361.478612309
1,t13,z13,21.8046190927
1,t13,z18,207.985584915
1,t13,z21,460.894550014
1,t13,zx,543.212212587
1,t13,x,2068.75844079
1,t13,gc13,1077.41855294
1,t13,gc18,365.765631567
1,t13,gc21,332.198356778
1,t13,filtered,446.299214899
1,t13,ivf,0
1,t13,pregnancies,2.7827399208e-05
1,t13,parity,4.78187496356e-06
1,t18,age,431.268922807
1,t18,height,883.44006034
1,t18,weight,193.112809759
1,t18,bmi,1587.55664272
1,t18,week,196.324618125
1,t18,reads,187.572028544
1,t18,mapping,331.494460364
1,t18,duplicate,214.278039216
1,t18,unique_reads,120.221556096
1,t18,unique_ratio,485.776298832
1,t18,gc,607.603921259
1,t18,z13,783.774548363
1,t18,z18,894.274425235
1,t18,z21,319.93162303
1,t18,zx,512.96381922
1,t18,x,3694.22056056
1,t18,gc13,2646.51175446
1,t18,gc18,158.209963259
1,t18,gc21,193.986024363
1,t18,filtered,1195.82627154
1,t18,ivf,0
1,t18,pregnancies,40.260330677
1,t18,parity,25.5385799408
1,t21,age,8.88177996184e-16
1,t21,height,0
1,t21,weight,0
1,t21,bmi,0
1,t21,week,532.804084778
1,t21,reads,0
1,t21,mapping,659.843017578
1,t21,duplicate,1029.07995605
1,t21,unique_reads,0
1,t21,unique_ratio,1278.79003906
1,t21,gc,0
1,t21,z13,0
1,t21,z18,0
1,t21,z21,1954.21295166
1,t21,zx,0
1,t21,x,0
1,t21,gc13,0
1,t21,gc18,92.5849990845
1,t21,gc21,0
1,t21,filtered,1040.13000488
1,t21,ivf,0
1,t21,pregnancies,0
1,t21,parity,0
1,interaction,age,2.22044901387e-15
1,interaction,height,46.2034055638
1,interaction,weight,2403.37450214
1,interaction,bmi,3749.32101244
1,interaction,week,0
1,interaction,reads,5.18096004466e-12
1,interaction,mapping,2.22045001972e-16
1,interaction,duplicate,702.818422557
1,interaction,unique_reads,0
1,interaction,unique_ratio,0
1,interaction,gc,39.8972101212
