outer_fold,model,n,positives,log_loss,auc,recall
1,t13,202,7,0.148794689788,0.692307692308,0
1,t18,202,16,0.246881869321,0.760080645161,0.3125
1,t21,202,3,0.0798847445114,0.564489112228,0
1,interaction,202,4,0.0964662380047,0.52904040404,0
2,t13,201,9,0.169428738172,0.654513888889,0
2,t18,201,15,0.263431972443,0.716129032258,0
2,t21,201,4,0.0973037256802,0.564720812183,0
2,interaction,201,6,0.127742914506,0.730341880342,0
3,t13,202,7,0.163228587974,0.603663003663,0
3,t18,202,15,0.241486733881,0.73137254902,0
3,t21,202,6,0.151290048933,0.357142857143,0
3,interaction,202,5,0.095022366273,0.927918781726,0
