outer_fold,role,person_id
1,train,B002
1,train,B003
1,train,B004
1,train,B005
1,train,B006
1,train,B007
1,train,B008
1,train,B009
1,train,B010
1,train,B011
1,train,B012
1,train,B013
1,train,B014
1,train,B015
1,train,B016
1,train,B018
1,train,B019
1,train,B020
1,train,B021
1,train,B022
1,train,B027
1,train,B029
1,train,B032
1,train,B033
1,train,B034
1,train,B035
1,train,B036
1,train,B037
1,train,B039
1,train,B040
1,train,B041
1,train,B043
1,train,B045
1,train,B046
1,train,B047
1,train,B048
1,train,B049
1,train,B050
1,train,B052
1,train,B053
1,train,B054
1,train,B055
1,train,B056
1,train,B057
1,train,B058
1,train,B059
1,train,B060
1,train,B061
1,train,B062
1,train,B065
1,train,B067
1,train,B068
1,train,B071
1,train,B073
1,train,B075
1,train,B080
1,train,B081
1,train,B083
1,train,B084
1,train,B085
1,train,B086
1,train,B087
1,train,B088
1,train,B089
1,train,B090
1,train,B091
1,train,B092
1,train,B093
1,train,B094
1,train,B097
1,train,B099
1,train,B102
1,train,B103
1,train,B104
1,train,B106
1,train,B107
1,train,B109
1,train,B110
1,train,B111
1,train,B112
1,train,B115
1,train,B117
1,train,B118
1,train,B119
1,train,B120
1,train,B122
1,train,B124
1,train,B125
1,train,B127
1,train,B130
1,train,B131
1,train,B133
1,train,B135
1,train,B136
1,train,B139
1,train,B141
1,train,B142
1,train,B143
1,train,B146
1,test,B001
1,test,B017
1,test,B023
1,test,B024
1,test,B025
1,test,B026
1,test,B028
1,test,B030
1,test,B031
1,test,B038
1,test,B042
1,test,B044
1,test,B051
1,test,B063
1,test,B064
1,test,B066
1,test,B069
1,test,B070
1,test,B072
1,test,B074
1,test,B076
1,test,B077
1,test,B078
1,test,B079
1,test,B082
1,test,B095
1,test,B096
1,test,B098
1,test,B100
1,test,B101
1,test,B105
1,test,B108
1,test,B113
1,test,B114
1,test,B116
1,test,B121
1,test,B123
1,test,B126
1,test,B128
1,test,B129
1,test,B132
1,test,B134
1,test,B137
1,test,B138
1,test,B140
1,test,B144
1,test,B145
1,test,B147
2,train,B001
2,train,B004
2,train,B006
2,train,B007
2,train,B008
2,train,B011
2,train,B012
2,train,B013
2,train,B015
2,train,B016
2,train,B017
2,train,B022
2,train,B023
2,train,B024
2,train,B025
2,train,B026
2,train,B028
2,train,B030
2,train,B031
2,train,B032
2,train,B036
2,train,B038
2,train,B040
2,train,B041
2,train,B042
2,train,B044
2,train,B045
2,train,B047
2,train,B048
2,train,B049
2,train,B051
2,train,B053
2,train,B054
2,train,B055
2,train,B056
2,train,B057
2,train,B058
2,train,B059
2,train,B061
2,train,B063
2,train,B064
2,train,B066
2,train,B069
2,train,B070
2,train,B072
2,train,B073
2,train,B074
2,train,B075
2,train,B076
2,train,B077
2,train,B078
2,train,B079
2,train,B081
2,train,B082
2,train,B083
