outer_fold,row_id,person_id,p_t13,p_t18,p_t21,p_interaction
1,5,B002,0.0137251518316,0.0176253243684,0.0255092322287,0.0184449757899
1,6,B002,0.126805064603,0.101113451583,0.0255092322287,0.0205956532206
1,7,B002,0.012595474367,0.0180025746262,0.0255092322287,0.0184430726077
1,8,B002,0.0482852032494,0.0154008022256,0.0255092322287,0.0205968238322
1,9,B003,0.0124916272553,0.136537422738,0.0257947827078,0.024869581776
1,10,B003,0.00971883131698,0.0845660870942,0.0257947827078,0.0248368476814
1,11,B003,0.00647314949809,0.21930566658,0.0257947827078,0.024869581776
1,12,B003,0.0112593269807,0.466231974126,0.0257947827078,0.0704699754983
1,13,B004,0.00755702476868,0.0495173496319,0.0257947827078,0.0248261715101
1,14,B004,0.00968606738314,0.0431893940444,0.0257947827078,0.0248597019745
1,15,B004,0.0154709787704,0.150971694797,0.0257947827078,0.024869581776
1,16,B004,0.0791083231804,0.262174583889,0.0257947827078,0.024869581776
1,17,B005,0.0292018724035,0.0571898710409,0.0255092322287,0.0184449672049
1,18,B005,0.0152529535053,0.0453666076567,0.0255092322287,0.0184304170851
1,19,B005,0.0304562671519,0.0556928511192,0.0377312332226,0.0275754231727
1,20,B005,0.0134356901907,0.0332500508233,0.0255092322287,0.0184379080955
1,21,B006,0.00892301558521,0.0326140760264,0.0257947827078,0.0248261715101
1,22,B006,0.00825980284671,0.048628288945,0.0257947827078,0.0700107410188
1,23,B006,0.00995032695874,0.118889010299,0.0257947827078,0.0248368476814
1,24,B006,0.0104045226467,0.101599267338,0.0390503020051,0.024869581776
1,25,B007,0.0106324955845,0.0319172789641,0.0221926286586,0.0249598229435
1,26,B007,0.214971833967,0.096389891132,0.0385558695702,0.0993105105699
1,27,B007,0.0355746076915,0.0171668530535,0.0221926286586,0.0321522913035
1,28,B007,0.0262051297843,0.0200643958304,0.0221926286586,0.0427235592003
1,29,B007,0.0395359942617,0.100295241889,0.0221926286586,0.081474109202
1,30,B007,0.00871931184214,0.0892406331128,0.0221926286586,0.0286624583883
1,31,B008,0.0726263503321,0.0967138938972,0.0221926286586,0.0456307233122
1,32,B008,0.0101817969298,0.0282915375783,0.0221926286586,0.0411764995694
1,33,B008,0.00725348253284,0.0575507019624,0.0221926286586,0.0249627332102
1,34,B008,0.00710283706127,0.0749560932042,0.0368177424076,0.0249625699123
1,35,B009,0.0262000481907,0.06812647046,0.0221926286586,0.0431817738742
1,36,B009,0.0288084568295,0.084836274689,0.0221926286586,0.0431230898648
1,37,B009,0.0193746044675,0.0515173673901,0.0221926286586,0.0249623553153
1,38,B009,0.037095710125,0.0500844507282,0.0221926286586,0.0249598229435
1,39,B009,0.0180387778412,0.360851482845,0.0221926286586,0.0249598229435
1,40,B010,0.112781505285,0.0372145406466,0.0257947827078,0.0248261715101
1,41,B010,0.0102242519448,0.0775946341143,0.0257947827078,0.189418794867
1,42,B010,0.0456446684463,0.0560915144546,0.0390503020051,0.024869581776
1,43,B010,0.0160341463358,0.0584144402781,0.0257947827078,0.0248517369484
1,44,B011,0.0179397371802,0.0783059169647,0.0257947827078,0.0248261715101
1,45,B011,0.0297108266771,0.0438664154621,0.0257947827078,0.0248261715101
1,46,B011,0.00869373269757,0.0540538944379,0.0257947827078,0.024869581776
1,47,B011,0.0130483276379,0.0856178610269,0.0390503020051,0.0704699754983
1,48,B011,0.00651593365423,0.0595136935173,0.0390503020051,0.024869581776
1,49,B011,0.00734228854768,0.0588693330914,0.0257947827078,0.024869581776
1,50,B012,0.00712466713558,0.0309289808638,0.0255092322287,0.0243937429608
1,51,B012,0.00702066768019,0.0323320606213,0.0255092322287,0.0313348990614
1,52,B012,0.0105341897528,0.031555493408,0.0255092322287,0.0244043511987
1,53,B012,0.0205630626509,0.112102734159,0.0255092322287,0.0184425795626
1,54,B013,0.181843095391,0.228672338289,0.0221926286586,0.0362183417365
1,55,B013,0.0180880075351,0.313531331427,0.0221926286586,0.024962724396
1,56,B013,0.0177169174984,0.56712919868,0.0221926286586,0.024962724396
1,57,B013,0.0254639298344,0.0500579825943,0.0221926286586,0.0286942257627
1,58,B014,0.0265561332928,0.0349945921009,0.0396843653565,0.0203270498892
1,59,B014,0.0071575892539,0.0191531033273,0.0255092322287,0.0184429699493
1,60,B014,0.0158610603159,0.0409937907003,0.0255092322287,0.0184355336399
1,61,B014,0.017690226687,0.0769214569635,0.0255092322287,0.0184354520289
1,62,B014,0.0573395511217,0.0394420474675,0.0255092322287,0.0184294019066
1,63,B014,0.00786619632551,0.109045278117,0.0255092322287,0.018441383313
1,64,B015,0.00945651609846,0.0156286044093,0.0255092322287,0.0184449757899
1,65,B015,0.0137178448223,0.0357512888881,0.0255092322287,0.0184319763525
1,66,B015,0.0135409646274,0.0268349140595,0.0255092322287,0.0184452062411
1,67,B015,0.00997662338428,0.042797701064,0.0255092322287,0.031109623992
1,68,B016,0.167295631188,0.104203266389,0.0221926286586,0.0482300799123
1,69,B016,0.308523098157,0.0475669413698,0.0221926286586,0.0457655183502
1,70,B016,0.0302772200591,0.0288037669031,0.0221926286586,0.0383062177195
1,71,B016,0.245356860617,0.0172214768878,0.0368177424076,0.0492399107588
1,75,B018,0.0087621651681,0.0330786685751,0.0221926286586,0.0395775234274
1,76,B018,0.108886535968,0.12294259742,0.0221926286586,0.126130728751
1,77,B018,0.0528674000674,0.144632713346,0.0368177424076,0.0511747745823
1,78,B018,0.00963785019032,0.0419348459349,0.0221926286586,0.041160840727
1,79,B019,0.0178547118029,0.0619674761741,0.0377312332226,0.0266272838165
1,80,B019,0.0668070594703,0.125263312175,0.0377312332226,0.0391578825539
1,81,B019,0.0454353244345,0.189176962152,0.0255092322287,0.0266292664004
1,82,B019,0.0141346613584,0.415924417339,0.0255092322287,0.0203341580358
1,83,B020,0.0369528338039,0.017484523941,0.0221926286586,0.044275529351
1,84,B020,0.036231294444,0.439925164066,0.0221926286586,0.115405115345
1,85,B020,0.0093870033757,0.0244124511198,0.0221926286586,0.0249597213176
1,86,B020,0.00724806488891,0.0480080924015,0.0221926286586,0.0249597301308
1,87,B021,0.0108192615809,0.0170638220889,0.0221926286586,0.0249627239846
1,88,B021,0.00644640445112,0.0402462758155,0.0221926286586,0.033761694907
1,89,B021,0.0105698754071,0.0287309361151,0.0221926286586,0.0249627239846
1,90,B021,0.00704005202716,0.142040235463,0.0368177424076,0.0249627239846
1,91,B022,0.0216135064979,0.0336222803802,0.0221926286586,0.0305575751733
1,92,B022,0.0269165874514,0.0942909238786,0.0221926286586,0.0305604701402
1,93,B022,0.0145299204532,0.152204367302,0.0221926286586,0.0305604701402
1,94,B022,0.334203292458,0.118800372864,0.0221926286586,0.0663053211307
1,111,B027,0.00701022848324,0.0246050020859,0.0221926286586,0.0249601915764
1,112,B027,0.00701155001695,0.0304768143559,0.0221926286586,0.0249601915764
1,113,B027,0.0144314689642,0.0212119825973,0.0221926286586,0.0249627239846
1,114,B027,0.00788901645199,0.0546867080064,0.0221926286586,0.0249601915764
1,119,B029,0.00640538775637,0.0338540999161,0.0257947827078,0.0248517369484
1,120,B029,0.00705727292502,0.0202440168073,0.0257947827078,0.024869581776
1,121,B029,0.0960786021103,0.0663613071119,0.0257947827078,0.0248261715101
1,122,B029,0.009855059236,0.0621795211013,0.0257947827078,0.189418794867
1,133,B032,0.00714305308569,0.0206681751419,0.0255092322287,0.031109623992
1,134,B032,0.00853539056476,0.0273919752723,0.0255092322287,0.0284597591927
1,135,B032,0.011230470022,0.0168722781984,0.0255092322287,0.028435644739
1,136,B032,0.00860570246145,0.0179794602852,0.0255092322287,0.0284483499798
1,137,B032,0.016241799053,0.0177164169982,0.0255092322287,0.0184173886427
1,138,B032,0.0538156074764,0.0172792431472,0.0255092322287,0.0297037506064
1,139,B033,0.341196912748,0.208386719868,0.0255092322287,0.0184407368786
1,140,B033,0.0162107123991,0.0236283005941,0.0255092322287,0.021515551947
1,141,B033,0.0112232277541,0.020860318899,0.0255092322287,0.0310400292815
1,142,B033,0.400000556645,0.128226406598,0.0255092322287,0.0297019661541
1,143,B034,0.0576323411985,0.0422050161778,0.0377312332226,0.0205860686017
1,144,B034,0.0955237570369,0.158669274341,0.0377312332226,0.0205836051542
1,145,B034,0.00787455578852,0.0376786069936,0.0255092322287,0.0184458712834
1,146,B034,0.389947817474,0.305201992998,0.0377312332226,0.115525584947
1,147,B035,0.0114698543463,0.0623582409335,0.0257947827078,0.0248517369484
1,148,B035,0.00698301453572,0.0329896770919,0.0257947827078,0.024869581776
1,149,B035,0.0136145418459,0.0679768538325,0.0390503020051,0.024869581776
1,150,B035,0.0486164798024,0.259313074101,0.0257947827078,0.0248597019745
1,151,B036,0.0886371873632,0.279850377351,0.0396843653565,0.0297081167748
1,152,B036,0.0108141672584,0.053560737521,0.0396843653565,0.0351301888011
1,153,B036,0.139578258429,0.17433767499,0.0396843653565,0.0227073485429
1,154,B036,0.130756595203,0.115428376847,0.0396843653565,0.0205856892203
1,155,B037,0.159059834501,0.0168385686964,0.0221926286586,0.0403585886647
1,156,B037,0.0162802140829,0.0238138824753,0.0221926286586,0.024962724396
1,157,B037,0.0160214994568,0.0289926011908,0.0221926286586,0.0249627332102
1,158,B037,0.583423683611,0.082386505869,0.0221926286586,0.0457812145406
1,159,B037,0.0794857830602,0.0176117190382,0.0221926286586,0.0321527626594
1,160,B037,0.0325815368767,0.0200901450438,0.0221926286586,0.024962724396
1,161,B037,0.0189714807323,0.0230417736025,0.0221926286586,0.0249627332102
