variant,label,precision,recall,f1-score,support
stack,无非整倍体,0.893155258765,0.994423791822,0.94107299912,538
stack,T13,0,0,0,10
stack,T18,1,0.0606060606061,0.114285714286,33
stack,T13+T18,0.25,0.0909090909091,0.133333333333,11
stack,T21,0,0,0,9
stack,T13+T21,0,0,0,2
stack,T18+T21,0,0,0,2
stack,macro avg,0.306165036966,0.163705563334,0.169813149534,605
stack,weighted avg,0.853334759034,0.889256198347,0.845513006223,605
stack_plus_z_rule,无非整倍体,0.893155258765,0.994423791822,0.94107299912,538
stack_plus_z_rule,T13,0,0,0,10
stack_plus_z_rule,T18,1,0.0606060606061,0.114285714286,33
stack_plus_z_rule,T13+T18,0.25,0.0909090909091,0.133333333333,11
stack_plus_z_rule,T21,0,0,0,9
stack_plus_z_rule,T13+T21,0,0,0,2
stack_plus_z_rule,T18+T21,0,0,0,2
stack_plus_z_rule,macro avg,0.306165036966,0.163705563334,0.169813149534,605
stack_plus_z_rule,weighted avg,0.853334759034,0.889256198347,0.845513006223,605
