scope,variant,n,positives,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,multiclass_accuracy
OOF_all,stack,605,67,0.889256198347,0.519599955612,0.5,0.044776119403,0.0821917808219,0.670365643899,0.256532746776,0.889256198347
OOF_all,stack_plus_z_rule,605,67,0.889256198347,0.519599955612,0.5,0.044776119403,0.0821917808219,0.670365643899,0.256532746776,0.889256198347
fold_1,stack,202,22,0.891089108911,0.559848484848,0.5,0.136363636364,0.214285714286,0.631313131313,0.262399831825,0.891089108911
fold_1,stack_plus_z_rule,202,22,0.891089108911,0.559848484848,0.5,0.136363636364,0.214285714286,0.631313131313,0.262399831825,0.891089108911
fold_2,stack,201,22,0.890547263682,0.5,0,0,0,0.729304215338,0.345884387559,0.890547263682
fold_2,stack_plus_z_rule,201,22,0.890547263682,0.5,0,0,0,0.729304215338,0.345884387559,0.890547263682
fold_3,stack,202,23,0.886138613861,0.5,0,0,0,0.704153509837,0.320574911644,0.886138613861
fold_3,stack_plus_z_rule,202,23,0.886138613861,0.5,0,0,0,0.704153509837,0.320574911644,0.886138613861
OOF_all,all_normal_baseline,605,67,0.889256198347,0.5,0,0,0,0.5,0.110743801653,0.889256198347
OOF_all,z3_baseline,605,67,0.829752066116,0.486142706542,0.0714285714286,0.044776119403,0.0550458715596,0.486142706542,0.10898341821,0.82479338843
