variant,kind,true,predicted,count
stack,multiclass,0,0,535
stack,multiclass,0,1,0
stack,multiclass,0,2,0
stack,multiclass,0,3,3
stack,multiclass,0,4,0
stack,multiclass,0,5,0
stack,multiclass,0,6,0
stack,multiclass,0,7,0
stack,multiclass,1,0,10
stack,multiclass,1,1,0
stack,multiclass,1,2,0
stack,multiclass,1,3,0
stack,multiclass,1,4,0
stack,multiclass,1,5,0
stack,multiclass,1,6,0
stack,multiclass,1,7,0
stack,multiclass,2,0,31
stack,multiclass,2,1,0
stack,multiclass,2,2,2
stack,multiclass,2,3,0
stack,multiclass,2,4,0
stack,multiclass,2,5,0
stack,multiclass,2,6,0
stack,multiclass,2,7,0
stack,multiclass,3,0,10
stack,multiclass,3,1,0
stack,multiclass,3,2,0
stack,multiclass,3,3,1
stack,multiclass,3,4,0
stack,multiclass,3,5,0
stack,multiclass,3,6,0
stack,multiclass,3,7,0
stack,multiclass,4,0,9
stack,multiclass,4,1,0
stack,multiclass,4,2,0
stack,multiclass,4,3,0
stack,multiclass,4,4,0
stack,multiclass,4,5,0
stack,multiclass,4,6,0
stack,multiclass,4,7,0
stack,multiclass,5,0,2
stack,multiclass,5,1,0
stack,multiclass,5,2,0
stack,multiclass,5,3,0
stack,multiclass,5,4,0
stack,multiclass,5,5,0
stack,multiclass,5,6,0
stack,multiclass,5,7,0
stack,multiclass,6,0,2
stack,multiclass,6,1,0
stack,multiclass,6,2,0
stack,multiclass,6,3,0
stack,multiclass,6,4,0
stack,multiclass,6,5,0
stack,multiclass,6,6,0
stack,multiclass,6,7,0
stack,multiclass,7,0,0
stack,multiclass,7,1,0
stack,multiclass,7,2,0
stack,multiclass,7,3,0
stack,multiclass,7,4,0
stack,multiclass,7,5,0
stack,multiclass,7,6,0
stack,multiclass,7,7,0
stack,binary,0,0,535
stack,binary,0,1,3
stack,binary,1,0,64
stack,binary,1,1,3
stack_plus_z_rule,multiclass,0,0,535
stack_plus_z_rule,multiclass,0,1,0
stack_plus_z_rule,multiclass,0,2,0
stack_plus_z_rule,multiclass,0,3,3
stack_plus_z_rule,multiclass,0,4,0
stack_plus_z_rule,multiclass,0,5,0
stack_plus_z_rule,multiclass,0,6,0
stack_plus_z_rule,multiclass,0,7,0
stack_plus_z_rule,multiclass,1,0,10
stack_plus_z_rule,multiclass,1,1,0
stack_plus_z_rule,multiclass,1,2,0
stack_plus_z_rule,multiclass,1,3,0
stack_plus_z_rule,multiclass,1,4,0
stack_plus_z_rule,multiclass,1,5,0
stack_plus_z_rule,multiclass,1,6,0
stack_plus_z_rule,multiclass,1,7,0
stack_plus_z_rule,multiclass,2,0,31
stack_plus_z_rule,multiclass,2,1,0
stack_plus_z_rule,multiclass,2,2,2
stack_plus_z_rule,multiclass,2,3,0
stack_plus_z_rule,multiclass,2,4,0
stack_plus_z_rule,multiclass,2,5,0
stack_plus_z_rule,multiclass,2,6,0
stack_plus_z_rule,multiclass,2,7,0
stack_plus_z_rule,multiclass,3,0,10
stack_plus_z_rule,multiclass,3,1,0
stack_plus_z_rule,multiclass,3,2,0
stack_plus_z_rule,multiclass,3,3,1
stack_plus_z_rule,multiclass,3,4,0
stack_plus_z_rule,multiclass,3,5,0
stack_plus_z_rule,multiclass,3,6,0
stack_plus_z_rule,multiclass,3,7,0
stack_plus_z_rule,multiclass,4,0,9
stack_plus_z_rule,multiclass,4,1,0
stack_plus_z_rule,multiclass,4,2,0
stack_plus_z_rule,multiclass,4,3,0
stack_plus_z_rule,multiclass,4,4,0
stack_plus_z_rule,multiclass,4,5,0
stack_plus_z_rule,multiclass,4,6,0
stack_plus_z_rule,multiclass,4,7,0
stack_plus_z_rule,multiclass,5,0,2
stack_plus_z_rule,multiclass,5,1,0
stack_plus_z_rule,multiclass,5,2,0
stack_plus_z_rule,multiclass,5,3,0
stack_plus_z_rule,multiclass,5,4,0
stack_plus_z_rule,multiclass,5,5,0
stack_plus_z_rule,multiclass,5,6,0
stack_plus_z_rule,multiclass,5,7,0
stack_plus_z_rule,multiclass,6,0,2
stack_plus_z_rule,multiclass,6,1,0
stack_plus_z_rule,multiclass,6,2,0
stack_plus_z_rule,multiclass,6,3,0
stack_plus_z_rule,multiclass,6,4,0
stack_plus_z_rule,multiclass,6,5,0
stack_plus_z_rule,multiclass,6,6,0
stack_plus_z_rule,multiclass,6,7,0
stack_plus_z_rule,multiclass,7,0,0
stack_plus_z_rule,multiclass,7,1,0
stack_plus_z_rule,multiclass,7,2,0
stack_plus_z_rule,multiclass,7,3,0
stack_plus_z_rule,multiclass,7,4,0
stack_plus_z_rule,multiclass,7,5,0
stack_plus_z_rule,multiclass,7,6,0
stack_plus_z_rule,multiclass,7,7,0
stack_plus_z_rule,binary,0,0,535
stack_plus_z_rule,binary,0,1,3
stack_plus_z_rule,binary,1,0,64
stack_plus_z_rule,binary,1,1,3
