文物采样点,含量合计,有效,文物编号,纹饰,类型,颜色,文物风化,点位风化,论文阶段,论文风化,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
01,97.61,True,01,C,高钾,蓝绿,无风化,无风化,2,无风化,3.045978413,0,1.108685292,0.650819908,-1.332161368,0.1757401257,-0.6390141869,0.1603552069,0,0,-1.035895551,0,0,-2.13450784
02,99.89,True,02,A,铅钡,浅蓝,风化,风化,3,风化,2.67666364,0,-0.8658128215,-0.06445205629,-0.7490885472,0.8311125451,-0.2940264979,-2.261676634,2.944651954,0,0.3579626101,-2.575334192,0,0
03部位1,100,True,03,A,高钾,蓝绿,无风化,无风化,4,风化,3.586159396,0,0.7664104265,-0.1821885486,0,0.5208597029,0,-1.12878463,-2.266617632,0,-1.295838715,0,0,0
03部位2,98.88,True,03,A,高钾,蓝绿,无风化,无风化,2,无风化,3.090698696,0,1.48352689,0.7381073371,-0.9273872815,0.6730007954,-0.2616390751,0.5955305338,-0.6881575924,0.01907432804,-1.388422241,-3.33433239,0,0
04,96.06,True,04,A,高钾,蓝绿,无风化,无风化,2,无风化,2.968763508,0,1.049956912,0.7438363276,-0.7743855765,0.6434571423,-0.496365415,-0.439746521,0,0,-1.454793731,0,0,-2.240722645
05,96.51,True,05,A,高钾,蓝绿,无风化,无风化,2,无风化,3.159145635,0,1.432147949,1.033508806,-0.3902119611,1.053711513,0.001982810069,0.2235984772,0,0,-1.023066911,-3.774602224,0,-1.716214092
06部位1,98.92,True,06,A,高钾,蓝绿,无风化,无风化,1,无风化,3.31099141,0,1.094061762,0,-0.2202590996,1.508083554,-0.03206257832,0.01692680888,-2.512793857,-0.5812724451,0.5269553023,-3.110630857,0,0
06部位2,98.84,True,06,A,高钾,蓝绿,无风化,无风化,1,无风化,3.040718601,0,0.988165277,0.6377948227,-0.5023328616,1.257118364,0.7479497418,-0.2711293933,-2.100276395,-1.080913478,0.4536231266,-3.170717806,0,0
07,99.7,True,07,B,高钾,蓝绿,风化,风化,3,风化,3.830498276,0,0,-0.6304561386,0,-0.01501794238,-2.470071629,0.4774585427,0,0,-1.192411109,0,0,0
08,99.82,True,08,C,铅钡,紫,风化,风化,4,风化,1.440546222,0,0,-1.170119577,0,-1.269492051,0,0.7806052174,1.794038351,1.879217506,-0.2840094627,-2.556413939,0,-0.6143722663
08严重风化点,98.24,True,08,C,铅钡,紫,风化,风化,4,风化,-0.1313528701,0,0,-0.4995598103,0,-1.555220712,0,-0.5153579272,1.820119716,1.762072663,0.3632904631,-2.294459,0,1.050467477
09,99.77,True,09,B,高钾,蓝绿,风化,风化,3,风化,4.257651808,0,-0.8240683296,-0.7744713885,0,-0.01880385091,-1.435869871,0.1418193434,0,0,-1.346257712,0,0,0
10,99.81,True,10,B,高钾,蓝绿,风化,风化,3,风化,4.372977095,0,-0.2827415431,-1.760007682,0,-0.4100809655,-1.546433582,-0.3737133214,0,0,0,0,0,0
11,95.39,True,11,C,铅钡,浅蓝,风化,风化,4,风化,2.253030836,0,-2.821845316,-0.005581530193,-1.603687877,-0.2716563741,0,0.3341414204,1.973157828,1.420508658,0.9773821953,-2.255449841,0,0
12,99.57,True,12,B,高钾,蓝绿,风化,风化,3,风化,4.264655313,0,-0.2717694957,-0.6102238936,0,0.09671660913,-1.519594183,0.2190554613,0,0,-2.178839811,0,0,0
13,98.14,True,13,C,高钾,浅蓝,无风化,无风化,2,无风化,2.266608607,-0.7602766896,0.7170274545,0.3522247113,0,0.006978463153,-0.7533080202,-0.2571731119,0,0,-1.572081414,0,0,0
14,99,True,14,C,高钾,深绿,无风化,无风化,2,无风化,3.23699258,0.3201818481,1.610278061,1.210092153,-1.313209305,1.324765187,-1.590841042,-1.652716446,-0.4152677121,0,-2.730275325,0,0,0
16,98.41,True,16,C,高钾,浅蓝,无风化,无风化,2,无风化,3.712287605,0.2770722764,2.210661941,1.647769441,-1.118791536,1.356453203,-1.332365636,-0.3972064199,-2.672139982,0,0,-3.683740893,0,0
18,97.25,True,18,A,高钾,深蓝,无风化,无风化,4,风化,3.423055972,0,1.29063731,0,-0.5269300427,0.1629438125,0,0,0,0,-0.6447130784,-3.611457815,-0.09353615908,0
19,98.76,True,19,A,铅钡,,风化,风化,3,风化,2.11898673,0,0,-0.1951356478,-1.797770813,0.002427524917,-0.9849591286,-0.0145220334,2.486867212,0.40695849,0.9080169437,-2.930869278,0,0
20,88.41,True,20,A,铅钡,浅蓝,无风化,无风化,4,风化,1.85952359,0,-2.103567332,0,0,-0.06546141456,-1.348967372,-0.1966364767,0.4689373769,1.398048797,-0.01187716842,0,0,0
21,98.52,True,21,A,高钾,蓝绿,无风化,无风化,4,风化,3.146841821,0,0,0.3568888112,-0.9939482381,0.6301359898,-0.3299091417,-0.004955674464,-1.192799097,-0.5147655541,-1.097488917,0,0,0
22,100,True,22,B,高钾,蓝绿,风化,风化,3,风化,4.234402306,0,-0.5922884939,0.2156342013,-0.7374705037,0.9615795674,-1.341005526,-0.8890204018,0,0,-1.851831149,0,0,0
23未风化点,96.5,True,23,A,铅钡,蓝绿,风化,无风化,1,无风化,2.800496854,0.8848004834,0,-1.877737903,-1.527081031,-0.8339338508,0,-0.08931733499,1.647445458,1.288580671,0,-2.293253347,0,0
24,98.88,True,24,C,铅钡,紫,无风化,无风化,4,风化,2.228045167,0,0,-1.99083656,0,-0.7720799597,0,0.8995351977,2.136297825,2.031089818,-3.201926832,-1.330124655,0,0
25未风化点,97.06,True,25,C,铅钡,浅蓝,风化,无风化,1,无风化,3.166163935,0.07926227476,0,-1.220020709,0,-0.1161313636,-0.3197303188,-0.6446565645,2.70462076,1.136631605,-2.418716457,-2.367423162,0,0
26,99.82,True,26,C,铅钡,紫,风化,风化,4,风化,1.515670176,0,0,-1.10486347,0,-1.826181527,0,0.8885132166,1.915900112,2.00401146,-0.3284735788,-2.26801428,0,-0.7965621101
26严重风化点,99.89,True,26,C,铅钡,紫,风化,风化,4,风化,-0.08650620626,0,-2.316520606,-0.2982897958,0,-1.234715436,0,-0.1192960291,1.998297279,2.167893378,0.3981741374,-1.878265675,0,1.369228955
