文物采样点,含量合计,有效,文物编号,纹饰,类型,颜色,文物风化,点位风化,论文阶段,论文风化,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
01,97.61,True,01,C,高钾,蓝绿,无风化,无风化,2,无风化,5.12517827,-3.742559743,3.18788515,2.730019765,0.7470384896,2.254939983,1.44018567,2.239555064,-3.742559743,-3.742559743,1.043304306,-3.742559743,-3.742559743,-0.05530798292
02,99.89,True,02,A,铅钡,浅蓝,风化,风化,3,风化,4.253941839,-3.943195498,0.7114653777,1.512826143,0.828189652,2.408390744,1.283251701,-0.6843984345,4.521930153,-3.943195498,1.935240809,-0.9980559933,-3.943195498,-3.943195498
03部位1,100,True,03,A,高钾,蓝绿,无风化,无风化,4,风化,6.328556001,-2.742396606,3.508807032,2.560208057,-2.742396606,3.263256309,-2.742396606,1.613611976,0.475778974,-2.742396606,1.446557891,-2.742396606,-2.742396606,-2.742396606
03部位2,98.88,True,03,A,高钾,蓝绿,无风化,无风化,2,无风化,4.300958831,-4.437620495,2.693787025,1.948367472,0.2828728535,1.88326093,0.9486210599,1.805790669,0.5221025426,1.229334463,-0.1781621057,-2.124072255,-4.437620495,-4.437620495
04,96.06,True,04,A,高钾,蓝绿,无风化,无风化,2,无风化,5.063027311,-3.769674845,3.144220715,2.838100131,1.319878227,2.737720945,1.597898388,1.654517282,-3.769674845,-3.769674845,0.6394700717,-3.769674845,-3.769674845,-0.1464588423
05,96.51,True,05,A,高钾,蓝绿,无风化,无风化,2,无风化,4.759569969,-4.001060836,3.032572283,2.63393314,1.210212373,2.654135847,1.602407144,1.824022811,-4.001060836,-4.001060836,0.5773574228,-2.17417789,-4.001060836,-0.1157897578
06部位1,98.92,True,06,A,高钾,蓝绿,无风化,无风化,1,无风化,4.887844209,-3.942131995,2.67091456,-3.942131995,1.356593699,3.084936352,1.54479022,1.593779607,-0.9359410585,0.9955803531,2.1038081,-1.533778059,-3.942131995,-3.942131995
06部位2,98.84,True,06,A,高钾,蓝绿,无风化,无风化,1,无风化,4.255074076,-4.452636741,2.202520752,1.852150298,0.7120226132,2.471473839,1.962305217,0.9432260815,-0.8859209198,0.1334419972,1.667978601,-1.956362331,-4.452636741,-4.452636741
07,99.7,True,07,B,高钾,蓝绿,风化,风化,3,风化,6.862206369,-2.273781069,-2.273781069,2.401251954,-2.273781069,3.01669015,0.5616364635,3.509166635,-2.273781069,-2.273781069,1.839296984,-2.273781069,-2.273781069,-2.273781069
08,99.82,True,08,C,铅钡,紫,风化,风化,4,风化,3.643629561,-3.965550009,-3.965550009,1.032963761,-3.965550009,0.9335912874,-3.965550009,2.983688556,3.997121689,4.082300845,1.919073876,-0.3533305999,-3.965550009,1.588711072
08严重风化点,98.24,True,08,C,铅钡,紫,风化,风化,4,风化,2.11222124,-4.038433399,-4.038433399,1.7440143,-4.038433399,0.6883533988,-4.038433399,1.728216183,4.063693827,4.005646774,2.606864574,-0.05088488896,-4.038433399,3.294041587
09,99.77,True,09,B,高钾,蓝绿,风化,风化,3,风化,6.709255897,-2.451604089,1.627535759,1.6771327,-2.451604089,2.432800238,1.015734218,2.593423432,-2.451604089,-2.451604089,1.105346377,-2.451604089,-2.451604089,-2.451604089
10,99.81,True,10,B,高钾,蓝绿,风化,风化,3,风化,7.119052299,-2.059556403,2.463333661,0.9860675217,-2.059556403,2.335994239,1.199641622,2.372361883,-2.059556403,-2.059556403,-2.059556403,-2.059556403,-2.059556403,-2.059556403
11,95.39,True,11,C,铅钡,浅蓝,风化,风化,4,风化,3.942506296,-4.223688649,-1.132369856,1.683893929,0.08578758294,1.417819086,-4.223688649,2.02361688,3.662633288,3.109984118,2.666857655,-0.5659743815,-4.223688649,-4.223688649
12,99.57,True,12,B,高钾,蓝绿,风化,风化,3,风化,6.709904832,-2.44524952,2.173480024,1.835025626,-2.44524952,2.541966129,0.9256553369,2.664304981,-2.44524952,-2.44524952,0.2664097081,-2.44524952,-2.44524952,-2.44524952
13,98.14,True,13,C,高钾,浅蓝,无风化,无风化,2,无风化,5.024227239,1.997341943,3.474646087,3.109843344,-3.676824843,2.764597096,2.004310612,2.500445521,-3.676824843,-3.676824843,1.185537218,-3.676824843,-3.676824843,-3.676824843
14,99,True,14,C,高钾,深绿,无风化,无风化,2,无风化,4.811996667,1.895185935,3.185282148,2.78509624,0.2617947813,2.899769274,-0.0158369553,-0.07771235902,1.159736375,-3.937510217,-1.155271238,-3.937510217,-3.937510217,-3.937510217
16,98.41,True,16,C,高钾,浅蓝,无风化,无风化,2,无风化,5.165334158,1.730118829,3.663708494,3.100815994,0.3342550172,2.809499756,0.1206809169,1.055840133,-1.219093429,-3.632616382,-3.632616382,-2.23069434,-3.632616382,-3.632616382
18,97.25,True,18,A,高钾,深蓝,无风化,无风化,4,风化,6.215332434,-2.792276461,4.082913772,-2.792276461,2.265346419,2.955220274,-2.792276461,-2.792276461,-2.792276461,-2.792276461,2.147563383,-0.8191813538,2.698740302,-2.792276461
19,98.76,True,19,A,铅钡,,风化,风化,3,风化,3.801096929,-4.205275499,-4.205275499,1.486974552,-0.1156606134,1.684537724,0.6971510709,1.667588166,4.168977412,2.08906869,2.590127143,-1.248759078,-4.205275499,-4.205275499
20,88.41,True,20,A,铅钡,浅蓝,无风化,无风化,4,风化,4.640451646,-3.707904074,0.6773607234,-3.707904074,-3.707904074,2.715466641,1.431960683,2.584291579,3.249865433,4.178976853,2.769050887,-3.707904074,-3.707904074,-3.707904074
21,98.52,True,21,A,高钾,蓝绿,无风化,无风化,4,风化,5.222691739,-3.736529852,-3.736529852,2.432738729,1.08190168,2.705985908,1.745940776,2.070894244,0.8830508212,1.561084364,0.978361001,-3.736529852,-3.736529852,-3.736529852
22,100,True,22,B,高钾,蓝绿,风化,风化,3,风化,6.332582337,-2.797573375,1.505891538,2.313814233,1.360709528,3.059759599,0.757174506,1.20915963,-2.797573375,-2.797573375,0.2463488822,-2.797573375,-2.797573375,-2.797573375
23未风化点,96.5,True,23,A,铅钡,蓝绿,风化,无风化,1,无风化,4.880813983,2.965117612,-3.744570832,0.202579226,0.5532360976,1.246383278,-3.744570832,1.990999794,3.727762587,3.3688978,-3.744570832,-0.212936218,-3.744570832,-3.744570832
