类型,成分,阶段依据,a,b,c,R2,阶段1中心,阶段2中心,阶段3中心,阶段4中心
高钾,SiO2,table13_14,0.2272270455,-0.8011069594,3.752787447,0.9997573251,3.175855006,3.068639292,3.385352396,4.187044865
高钾,Na2O,table13_14,0.005822234465,-0.02678227854,0.0174667034,0.4,0,-0.02328893786,0,0
高钾,K2O,table13_14,-0.3365576341,1.20316063,0.2091560874,0.9852478021,1.041113519,1.3731835,0.685682579,-0.3284779771
高钾,CaO,table13_14,-0.3287652697,1.263444623,-0.5370664024,0.9031642213,0.3188974114,0.9109083834,0.05823342086,-0.6648166858
高钾,MgO,table13_14,0.1738491175,-0.8139513156,0.2330830952,0.7650920054,-0.3612959806,-0.8365924325,-0.5069594269,-0.2868594087
高钾,Al2O3,table13_14,0.09785525689,-0.8766727195,2.148477292,0.9957710589,1.382600959,0.74772949,0.4379798351,0.1945293936
高钾,Fe2O3,table13_14,-0.1306412248,0.09278117509,0.199976555,0.6811770828,0.3579435818,-0.7245072236,-0.1099697139,-1.714985419
高钾,CuO,table13_14,0.1108180672,-0.5465092049,0.3307589807,0.8340729541,-0.1271012922,-0.2524797544,-0.3779134348,-0.06001962811
高钾,PbO,table13_14,-0.1535074367,1.398120477,-3.343755544,0.7076687461,-2.306535126,-0.5393664694,-1.15313891,0
高钾,BaO,table13_14,-0.1655573368,1.05968323,-1.657517194,0.8050344926,-0.8310929614,0.002724904006,-0.171588518,0
高钾,P2O5,table13_14,0.3728719769,-2.379145855,2.360389871,0.8353198752,0.4902892145,-1.314933596,-1.012680237,-1.32641514
高钾,SrO,table13_14,-0.09876106836,1.469806793,-4.405385067,0.9550238124,-3.140674332,-1.541810787,-1.203819272,0
高钾,SnO2,table13_14,0.007794679924,-0.04209127159,0.03897339962,0.4,0,0,-0.03117871969,0
高钾,SO2,table13_14,0.217551592,-1.000737323,0.6526547761,0.4,0,-0.8702063682,0,0
铅钡,SiO2,table13_14,-0.3395967611,1.070457961,2.322306293,0.8837885894,2.926763607,3.484046828,2.098097668,1.296993845
铅钡,Na2O,table13_14,0.1037232296,-0.605090568,0.7859346598,0.8641366933,0.3097113832,-0.08478574309,-0.02039579215,0
铅钡,K2O,table13_14,0.03007591106,0.05385532248,-1.545640128,0.235540881,-1.276151261,-1.874298737,-0.556718062,-1.034561894
铅钡,CaO,table13_14,-0.1474510139,0.7624856826,-1.358623843,0.5872899113,-0.6873078332,-0.5923005589,-0.2293818961,-0.7241786777
铅钡,MgO,table13_14,0.03584503193,-0.04035670766,-0.7429498785,0.3290457805,-0.8492194844,-0.3750093757,-0.8466885046,-0.2290982681
铅钡,Al2O3,table13_14,-0.3738141437,1.417568674,-0.7969829169,0.8702319772,0.1382953053,0.868326782,-0.2340331125,-0.9992582107
铅钡,Fe2O3,table13_14,0.3083105391,-1.610001685,1.253770226,0.8462327011,-0.1084791857,-0.5513161915,-0.983114775,-0.1927096246
铅钡,CuO,table13_14,0.4279443945,-1.751705444,0.45063189,0.9996623017,-0.8781379659,-1.325975002,-0.9680113108,0.2959292313
铅钡,PbO,table13_14,-0.2202871336,1.01991261,1.287475441,0.4709681249,2.200097163,2.10716339,2.703617805,1.729535498
铅钡,BaO,table13_14,0.2492662865,-1.042784343,1.941102623,0.8984347013,1.096832932,1.004853986,0.9038912692,1.808977469
铅钡,P2O5,table13_14,-0.2075703132,1.447143543,-2.676942731,0.8651659014,-1.348657321,-0.8790734366,0.06249161885,-0.2982057495
铅钡,SrO,table13_14,-0.01798801933,0.001265014025,-1.510904283,0.9926407369,-1.523747339,-1.591966177,-1.657361569,-1.797532484
铅钡,SnO2,table13_14,0.1215919533,-0.6138016532,0.5009725298,0.9747596524,0,-0.2139744736,-0.2723933396,0
铅钡,SO2,table13_14,0.02995003898,-0.1089484063,0.08985011693,0.8349209203,0,0.0243087091,0,0.144108865
