采样点,来源,类
02,原始,1
08,原始,1
08严重风化点,原始,2
11,原始,1
19,原始,1
20,原始,1
23未风化点,原始,1
24,原始,1
25未风化点,原始,1
26,原始,1
26严重风化点,原始,2
28未风化点,原始,1
29未风化点,原始,1
30部位1,原始,1
30部位2,原始,1
31,原始,1
32,原始,1
33,原始,1
34,原始,1
35,原始,1
36,原始,1
37,原始,1
38,原始,1
39,原始,1
40,原始,1
41,原始,1
42未风化点1,原始,1
42未风化点2,原始,1
43部位1,原始,1
43部位2,原始,1
44未风化点,原始,1
45,原始,1
46,原始,1
47,原始,1
48,原始,1
49,原始,1
49未风化点,原始,1
50,原始,1
50未风化点,原始,1
51部位1,原始,1
51部位2,原始,1
52,原始,1
53未风化点,原始,1
54,原始,1
54严重风化点,原始,1
55,原始,1
56,原始,1
57,原始,1
58,原始,1
*02,预测,1
*08,预测,1
*08严重风化点,预测,1
*11,预测,1
*19,预测,1
*20,预测,1
*24,预测,1
*26,预测,1
*26严重风化点,预测,1
*30部位1,预测,1
*30部位2,预测,1
*34,预测,1
*36,预测,1
*38,预测,1
*39,预测,1
*40,预测,1
*41,预测,1
*43部位1,预测,1
*43部位2,预测,1
*49,预测,1
*50,预测,1
*51部位1,预测,1
*51部位2,预测,1
*52,预测,1
*54,预测,1
*54严重风化点,预测,1
*56,预测,1
*57,预测,1
*58,预测,1
