文物采样点,文物编号,类型,论文阶段,拟合阶段_表13_14,预测方法,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,含量合计
03部位1,03,高钾,4,3,shift,73.91701635,0,7.278584113,2.347686736,0,11.28810143,0,1.010126282,0.05489061021,0,4.103594483,0,0,0,100
07,07,高钾,3,4,shift,67.1077393,0,0,6.629802023,0,12.52914172,1.80776111,6.268900965,0,0,5.656654883,0,0,0,100
09,09,高钾,3,4,shift,72.0041398,0,5.149867078,4.018185363,0,8.736783184,3.559291782,3.136892187,0,0,3.394840604,0,0,0,100
10,10,高钾,3,4,shift,79.12652565,0,8.66504357,1.468576208,0,5.784975996,3.120512143,1.834366438,0,0,0,0,0,0,100
12,12,高钾,3,4,shift,69.62922465,0,8.591101794,4.54730681,0,9.417030257,3.143367036,3.25413317,0,0,1.417836282,0,0,0,100
18,18,高钾,4,3,shift,66.04773406,0,12.93195424,0,1.999913331,8.300961849,0,0,0,0,8.277384303,0.008412314314,2.4336399,0,100
21,21,高钾,4,3,shift,60.51628101,0,0,5.113043291,1.514120153,15.99558,5.481240079,3.947929475,0.2040668797,0.8710984654,6.356640647,0,0,0,100
22,22,高钾,3,4,shift,59.04085486,0,5.449404232,9.07652614,0.9470142279,19.54424815,3.284391767,0.9390827884,0,0,1.718477836,0,0,0,100
27,27,高钾,3,4,shift,68.38303217,0,0,5.929234433,0.9217846748,16.16902524,2.165090727,3.033340096,0,0,3.39849265,0,0,0,100
02,02,铅钡,3,3,shift,55.37286482,0,0.9010045613,1.42155672,1.012557507,5.743427794,3.39078149,0.2416528617,30.83627219,0,0.8920847785,0.1877972786,0,0,100
08,08,铅钡,4,4,shift,66.31521848,0,0,0.6876221712,0,2.602076385,0,1.628812607,18.35502133,8.498348858,0.5269815507,0.2419333422,0,1.143985276,100
08严重风化点,08,铅钡,4,4,shift,26.85237257,0,0,2.62184395,0,3.812994879,0,0.8691165918,36.73824854,14.73994141,1.963137677,0.6130527867,0,11.7892916,100
11,11,铅钡,4,4,shift,78.70196809,0,0.07488620958,1.160425124,0.2531867086,3.716972718,0,0.5488948579,11.56272769,2.829011006,0.9797734153,0.1721541814,0,0,100
19,19,铅钡,3,3,shift,49.14351806,0,0,1.933634048,0.549981437,3.887255519,2.633885126,3.543921065,30.24222485,5.464632892,2.396938802,0.2040081999,0,0,100
20,20,铅钡,4,4,shift,82.65175739,0,0.2390619946,0,0,7.110550601,0.6243242344,0.5025042917,3.998988738,4.305711909,0.5671008435,0,0,0,100
