文物采样点,文物编号,类型,论文阶段,拟合阶段_表13_14,预测方法,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,含量合计
03部位1,03,高钾,4,3,signed_sqrt,76.75829575,0,5.193411043,1.539179675,0,11.50171193,0,0.7519796863,0.06770402912,0,4.187717888,0,0,0,100
07,07,高钾,3,4,signed_sqrt,61.65396271,0,0,9.689709711,0,11.41760698,2.062981599,8.849378826,0,0,6.32636017,0,0,0,100
09,09,高钾,3,4,signed_sqrt,77.48705686,0,3.656953894,3.06951089,0,6.012119602,3.859410779,3.554318658,0,0,2.360629319,0,0,0,100
10,10,高钾,3,4,signed_sqrt,82.71858705,0,8.680588261,1.210728084,0,3.997337086,2.222821552,1.169937966,0,0,0,0,0,0,100
12,12,高钾,3,4,signed_sqrt,72.39246393,0,8.999686919,4.864235095,0,6.398381788,2.612799116,3.536393536,0,0,1.196039619,0,0,0,100
18,18,高钾,4,3,signed_sqrt,67.54275826,0,14.13258443,0,2.226034275,5.746209613,0,0,0,0,8.167791975,0.02191252796,2.162708914,0,100
21,21,高钾,4,3,signed_sqrt,49.06918175,0,0,6.421275856,1.238018195,21.37558703,7.24531534,5.26264505,0.1825574309,0.747879133,8.457540214,0,0,0,100
22,22,高钾,3,4,signed_sqrt,62.19540304,0,3.758046344,8.197549673,0.6806703886,19.39288535,3.710067047,0.7585714264,0,0,1.30680673,0,0,0,100
27,27,高钾,3,4,signed_sqrt,61.81210098,0,0,7.778122769,0.8390144421,21.12585576,1.783767156,3.93924304,0,0,2.721895852,0,0,0,100
02,02,铅钡,3,3,signed_sqrt,57.27602818,0,0.7279017147,1.46574853,0.8180228794,5.233409894,3.362323555,0.2301817093,29.87185782,0,0.8695833046,0.1449424042,0,0,100
08,08,铅钡,4,4,signed_sqrt,72.4281354,0,0,0.4759647943,0,1.740956867,0,1.710011067,13.15422434,9.07276732,0.3676987437,0.1843101713,0,0.8659312973,100
08严重风化点,08,铅钡,4,4,signed_sqrt,30.97258747,0,0,3.279406719,0,3.000532176,0,0.7787251979,31.76473096,15.34162179,2.317334509,0.4895141276,0,12.05554705,100
11,11,铅钡,4,4,signed_sqrt,75.75241396,0,0.07517423799,1.355455184,0.2541605189,4.035149418,0,0.6496419378,14.62045907,2.226317351,0.8922288759,0.1389994426,0,0,100
19,19,铅钡,3,3,signed_sqrt,40.39367963,0,0,2.588743373,0.5748394777,3.295646836,2.155007265,3.817974834,39.6794334,4.884022161,2.365739438,0.2449135858,0,0,100
20,20,铅钡,4,4,signed_sqrt,84.64353559,0,0.2126077532,0,0,6.190094643,0.5830883373,0.3619964326,4.350790192,3.01228233,0.6456047203,0,0,0,100
24,24,铅钡,4,4,signed_sqrt,72.03950493,0,0,0.1830383872,0,2.7783282,0,1.108191322,16.85797066,6.460257338,0.05122570325,0.521483458,0,0,100
26,26,铅钡,4,4,signed_sqrt,67.79826058,0,0,0.4366210793,0,0.9754004624,0,1.609374929,18.80082285,9.200759533,0.2992815435,0.1938961115,0,0.6855829122,100
26严重风化点,26,铅钡,4,4,signed_sqrt,22.4987338,0,0.3214137426,2.845841856,0,2.920989222,0,0.7174040668,38.9885059,19.47500544,1.688187516,0.5288681469,0,10.0150503,100
30部位1,30,铅钡,3,3,signed_sqrt,40.8820258,0,1.173394135,2.985381392,0.8155505334,5.423265168,4.737560801,0,31.28267555,11.73078207,0,0.2763287411,0.6930358053,0,100
30部位2,30,铅钡,3,3,signed_sqrt,46.21673683,0,0,2.725504924,0.4028261664,4.444523589,5.354957369,0,28.27958754,11.28619031,0.2725794792,0.3405677343,0.6765260514,0,100
34,34,铅钡,3,3,signed_sqrt,58.65465824,0,0.1894318691,0.3326039049,0,1.124794348,0.618153446,1.360890395,27.88912979,9.582595156,0.09528330155,0.1524595525,0,0,100
36,36,铅钡,3,3,signed_sqrt,59.28677431,3.140041811,0.1169264417,0.2002987546,0,1.984658649,0.4696879487,0.78333094,24.41879787,9.376031474,0.04809271855,0.1753590779,0,0,100
38,38,铅钡,3,3,signed_sqrt,54.72735463,1.149928773,0,0.308962356,0,2.735448677,0.4911995235,0.4640561273,29.95739578,9.644835996,0.1173204582,0.4034976787,0,0,100
39,39,铅钡,3,3,signed_sqrt,36.73594985,0,0,0.6521305267,0,0.9456703041,0,0.7511477942,53.33777808,6.384926997,0.2958541535,0.8965422927,0,0,100
40,40,铅钡,3,3,signed_sqrt,27.73796877,0,0,1.850725338,0,0.9343440941,0.7038701774,0,60.44380323,6.758263509,0.4569106896,1.114114192,0,0,100
41,41,铅钡,3,3,signed_sqrt,27.38957303,0,0.4265191819,3.581186849,2.646357651,4.081518229,4.729356006,0.3178334972,41.43623521,12.98986452,1.991173445,0.4103823855,0,0,100
43部位1,43,铅钡,3,3,signed_sqrt,24.79184519,0,0,4.060398822,0.8608564248,2.137263344,1.418286224,4.757214512,55.28554351,6.114176763,0,0.5744152165,0,0,100
43部位2,43,铅钡,3,3,signed_sqrt,35.91960615,0,0,4.964085986,0.9873985317,3.225930076,2.391117908,1.775752131,42.93769047,4.207229416,3.140106965,0.4510823683,0,0,100
49,49,铅钡,3,3,signed_sqrt,45.5212756,0,0,4.304291853,1.569949904,8.465209472,7.913040555,0.7572805921,21.57177791,6.239255507,3.188449433,0.4694691785,0,0,100
50,50,铅钡,3,3,signed_sqrt,27.8186149,0,0,2.823047879,0.4746200227,1.818632534,0.8730201153,1.156998196,42.93284369,19.23127202,1.892103838,0.978846798,0,0,100
