风化口径,风化,评估,集合,n,seed,训练测试重叠文物,accuracy,precision_macro,recall_macro,F1_macro
论文风化,无风化,70/30采样点划分,训练集,20,2022,,1,1,1,1
论文风化,无风化,70/30采样点划分,测试集,9,2022,,1,1,1,1
论文风化,无风化,70/30采样点划分_预选PbO,训练集,20,2022,,1,1,1,1
论文风化,无风化,70/30采样点划分_预选PbO,测试集,9,2022,,1,1,1,1
论文风化,无风化,按文物分组5折CV,第1折测试集,6,2022,,1,1,1,1
论文风化,无风化,按文物分组5折CV_预选PbO,第1折测试集,6,2022,,1,1,1,1
论文风化,无风化,按文物分组5折CV,第2折测试集,6,2022,,1,1,1,1
论文风化,无风化,按文物分组5折CV_预选PbO,第2折测试集,6,2022,,1,1,1,1
论文风化,无风化,按文物分组5折CV,第3折测试集,6,2022,,1,1,1,1
论文风化,无风化,按文物分组5折CV_预选PbO,第3折测试集,6,2022,,1,1,1,1
论文风化,无风化,按文物分组5折CV,第4折测试集,6,2022,,1,1,1,1
论文风化,无风化,按文物分组5折CV_预选PbO,第4折测试集,6,2022,,1,1,1,1
论文风化,无风化,按文物分组5折CV,第5折测试集,5,2022,,1,1,1,1
论文风化,无风化,按文物分组5折CV_预选PbO,第5折测试集,5,2022,,1,1,1,1
论文风化,风化,70/30采样点划分,训练集,26,2022,30|54,1,1,1,1
论文风化,风化,70/30采样点划分,测试集,12,2022,30|54,1,1,1,1
论文风化,风化,70/30采样点划分_预选PbO,训练集,26,2022,30|54,1,1,1,1
论文风化,风化,70/30采样点划分_预选PbO,测试集,12,2022,30|54,1,1,1,1
论文风化,风化,按文物分组5折CV,第1折测试集,8,2022,,1,1,1,1
论文风化,风化,按文物分组5折CV_预选PbO,第1折测试集,8,2022,,1,1,1,1
论文风化,风化,按文物分组5折CV,第2折测试集,8,2022,,1,1,1,1
论文风化,风化,按文物分组5折CV_预选PbO,第2折测试集,8,2022,,0.875,0.8333333333,0.9166666667,0.8545454545
论文风化,风化,按文物分组5折CV,第3折测试集,8,2022,,1,1,1,1
论文风化,风化,按文物分组5折CV_预选PbO,第3折测试集,8,2022,,1,1,1,1
论文风化,风化,按文物分组5折CV,第4折测试集,7,2022,,1,1,1,1
论文风化,风化,按文物分组5折CV_预选PbO,第4折测试集,7,2022,,1,1,1,1
论文风化,风化,按文物分组5折CV,第5折测试集,7,2022,,1,1,1,1
论文风化,风化,按文物分组5折CV_预选PbO,第5折测试集,7,2022,,1,1,1,1
